Results of vaccination are already evident.,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Global Covid-19 deaths hit 5M...  The United States, which has been battling vaccine misinformation that has caused about one-third of the population to avoid inoculations, surpassed 700,000 deaths on Friday, the highest toll of any country.",negative
UPDATE NSW received $6.15 billion in Covid-19 disaster payments compared to $2.4 billion for Victo…,negative
Can someone please make it make sense.,negative
Are you sure?,positive
Super simple poll.,positive
👈🏼💦,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Crimes against humanity continue.,neutral
"‚The decision, made without the owner’s authorization, has triggered an outpouring of anger &amp; disapproval on Chinese social media, with animal rights advocates &amp; others calling for health authorities to offer a more ethical &amp; standardized way to treat 🦠 infected animals.‘",negative
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
I keep learning new things about Science,positive
"\"A pill has cut the risk of hospitalization or death from Covid-19 by half in a study, Merck and Ridgeback Biotherapeutics said Friday\"",negative
"There are currently 1,005 COVID-19 cases admitted to hospital, with 202 people in intensive care, 99 of whom require ventila…",negative
"It took losing both feet to COVID-19 for this unvaccinated Texan to say, ‘Learn from me’",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Is Covid-19 more lethal in a funeral??,negative
65% say…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"Like, politicians announce vaccine mandates for kids",negative
↓,neutral
"",""
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
Why max 100 people in a Funeral but max 75…,negative
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
Biden administration WILL NOT mandate COVID-19 vaccine passports  via,negative
"And, make sure you read the following open letter from those organizations, which highlights that the COVID-19 vaccines are…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
