"",""
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
Lov my Gov!,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The US surpassed 700,000 deaths from COVID-19 today, according to data from Johns Hopkins University. The US continues to h…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Heading into the weekend, it’s important to remember to follow all public health measures for indoor &amp; outdoor gatherings…",positive
There will be 1 million dead before this is done. 1 million unnecessary deaths! More than any other country on earth! With all our modern communication skills &amp; medical knowledge we are no better off than the last pandemic! This is about our selfishness.,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BS! Ivanka Trump is not responsible for his failures responding to COVID-19 pandemic. Donald Trump is a complete moron…,negative
In pandemic time of Covid-19 volunteers of  serving nation by arrange covid vaccination camp with the p…,positive
New York City Teachers Petition U.S. Supreme Court to Suspend COVID-19 Injection Mandate,negative
"COVID-19 Testing &amp; Vaccination locations for Saturday 2nd, October 2021",negative
Please. Get. Vaccinated.,negative
More of this!,positive
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
I'm legitimately starting to believe that the Californian government is trying to make as many of their demented liberals move to other states to try and ruin them just like they ruined California.,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
What's the LogicalReason why Biden is allowing 100K+ of migrants into the USA without testing them for COVID-19 or requiri…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"Julia, an ICU nurse,  wants you to know that if you don’t get vaccinated, you can’t protect the vulnerable ones in your l…",negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
"\"Rural America\" = Trump red states.",neutral
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"New Job - Covid-19 - Multiskilled Operative - Loca... in Sunderland College, Washington Campus at",positive
↓,neutral
🔹 Listen to,positive
We must avoid this by not just focusing on the 'total population'. Subgroups matter.,negative
LOL  FDA's top vaccine leader explains why Covid-19 'boosters' may really just be the 3rd shot in the primary series…,positive
"There's two statistics you need to remember, but the government wants you to forget",positive
This will go into effect following full…,positive
"UPDATE PNP Health Service recorded the following total number of confirmed COVID-19 cases, death and recoveries on September 3…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
65% say…,positive
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
BREAKING Trusted viruses have just confirmed that there won't be a third wave of COVID-19 in India because 3 States are g…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
What a waste.,negative
COVID-19 tests positive for a drunk Supreme Court Justice.,positive
"Monday Oct 4 students, staff and household members are invited to COVID-19 vaccination clinics at school for first and…",negative
This saddens me on so many levels😞😞,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
COVID-19 death rate in rural America now double that of urban communities,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Kudos to my friends Wendy and Wayne Holman for giving the world another tool to crush Covid-19. Extra credit for getting this to low cost global distribution swiftly. 👊,positive
"Michigan reports 8,058 new COVID-19 cases, 79 additional deaths in last two days-The Oakland Press",negative
COVID-19 death rate in rural America now double that of urban communities,negative
"US–CDC AUG. 27, 2021",negative
"",""
"As a very pro-vaccine physician, this is not a good idea.",negative
SDX job jobs,negative
"",""
👈🏼💦,neutral
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
