"Full  BTS  &amp;  on Climate, COVID-19 pandemic's mental toll &amp;  viral UN appe…",negative
"“He pointed out that unlike in BC, Ontario policymakers have recognized that transmission of COVID-19 happens primarily t…",positive
How COVID-19 can damage all five senses  via,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Harry and Meghan arrive at the UN to meet Secretary General before going to ‘Wokestock’ in Central Park where they will take to the stage to call for COVID-19 ‘vaccine equity’,positive
"US surpasses 700,000 Covid-19 deaths",negative
"",""
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
This is way beyond criminal.,negative
↓,neutral
"Long term effects are unknown and school age children are the most likely to impacted, given past viruses.",negative
And we still have folks who think it’s a hoax.,negative
‘Restless Anal Syndrome’ Affects Man Who Had Covid-19 Coronavirus Infection Wow. Just get the frigging vaccine!,negative
Merck and partner Ridgeback Biotherapeutics released strong data for their new Covid-19 pill.  explains how this could be…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
“At least we’re not Alberta” is a terrible defense of how the Ford government has handled the pandemic. Everything they‘ve…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"US COVID-19 death toll hits 700,000",negative
↓,neutral
↓,neutral
👈🏼💦,neutral
Enormous effort outlining around 2x higher age-specific Covid-19 IFRs developing countries vs developed countries. Congrats…,positive
Rwanda is the only country in East Africa that has met the World Health Organization's (WHO) target for 10% of their p…,negative
"Hey  ,  , you might want to share this fantastic news;",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"COVID-19 cases are the highest in months, but they’re getting harder for scientists to track",negative
I verify today again that the COVID-19 has the genome sequencing combination of 'CGG-CGG'.No naturally occurring coronavi…,positive
"U.S. COVID-19 death toll hits 700,000",negative
“The time has come to return to a normal everyday life” -Norway’s PM. All domestic restrictions lifted Sept 25 4PM. Norw Inst…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Respect.,positive
"US surpasses 700,000 Covid-19 deaths amid case resurgence",negative
Just got my Pfizer COVID-19 vaccine booster shot seven months after getting my second dose. I’m happy to report that I hav…,negative
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
Area political thug doesn't know that covid presents a vanishingly small risk for kids.,negative
👈🏼💦,neutral
Why does it seem that enforcement of Covid-19 breaches are unevenly applied?,negative
"",""
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
This was highlighted during the Webinar on EAC Trade &amp; Investment Recovery amidst COVID-19 organized by,positive
Details👉,neutral
My hatred is so severe that it can only be sadness.,negative
Surely teachers can rely on mRNA vaccines?,negative
"All three vaccines available tomorrow in deep East Oakland. You can help save a life, especially your own.",positive
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
I thought the vaccine was supposed to do that?,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
Covid19,neutral
Watch…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
MonitorUpdates,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
↓,neutral
"",""
"Bravo 👏 Javy is a baseball fan. Me too. Thank God fans have been allowed to return to the games. As long as everyone follows Covid-19 protocols, they can go to ballparks.",negative
I am familiar with the prosecution guideline…,positive
Navin Sathong 18-Year-Old ‘TikTok’ Star With 1.8 Million Followers Loses Mother After Her COVID-19 Vaccination,negative
I look at this man like he is a murderer.,positive
Can someone please make it make sense.,negative
👈🏼💦,neutral
"On the front lines, here's what the seven stages of severe COVID-19 look like",positive
This isn’t about kids. This is about teacher’s unions.,negative
"Only 14 more dead today.  must be proud. But if not enough die now, where do we get enough ICU space?  disgusting  C…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
California to require COVID-19 vaccines for schoolchildren,negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
"The equivalent of the entire population of New Zealand has died from COVID. Not to mention the countless survivors with long term complications, and those who missed out on healthcare due to overwhelmed systems.",negative
"Please stop forcibly vaccinating against corona virus, especially children and the elderly.",negative
1. The COVID-19 survival rate for t…,negative
"Molnupiravir seen as 'a huge advance', raises hope of preventing COVID-19 deaths",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
"NBA players Bradley Beal, Jonathan Isaac, and Draymond Green have voiced their opinions on mandating COVID-19 vaccines.…",negative
Next on Hannity Expert Warns About Hidden Dangers of Covid-19 Vaccine,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
Science denier! Covid is less of a risk to kids than the flu.,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
We are more than just a COVID-19 vaccine company. We are an information-medicine based platform company. Our development ca…,positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
We're expecting a virtual talk from the Director of  Dr John Nkengasong during THS2021. He is  special e…,positive
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
BeSafe GodIsGood YouAreTheBest,positive
Navin Sathong,neutral
↓,neutral
1. The COVID-19 survival rate for t…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
"COVID-19 cases are the highest in months, but they're getting harder for scientists to track – ",negative
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
including his height like it’s a pre-existing condition lmfaooo 😭😭,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Is Covid-19 more lethal in a funeral??,negative
COVID19 COVID Covid_19 coronavirus GetVaccinated LongCovid FreeCovidVaccination GetVaccinatedNow CovidVaccine PTIPetrolBomb PetrolBomb PBKS Pakistan Pakistani STOP,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Immoral.,positive
🙏😷😇💐🤝🌹,neutral
"VRBPAC will discuss authorizing Pfizer Inc's COVID-19 vaccine for children aged five through 11 on October 26, the …",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
The need for COVID-19 testing remains a vital tool in controlling spread. The UCSF Fresno COVID-19 Equity Project offers fr…,negative
"Health News Roundup U.S. COVID-19 death toll hits 700,000; Global COVID-19 deaths hit 5 million as Delta variant sweeps the world and more",negative
"",""
Confusion over Covid-19 boosters lingers as states roll out,negative
You can question whatever you want.,positive
👈🏼💦,neutral
"\"A group of international scientists and health experts has called for the board of New York nonprofit EHA to remove Dr. Pete…",negative
One party acknowledges climate change and COVID-19 and wants to combat both and the other party believes in hoaxes and eati…,positive
"",positive
Why max 100 people in a Funeral but max 75…,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
GOOD,positive
"The first pill to help in the fight against Covid-19 could be made available within months, but will Australia sign on to p…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
We're expecting a virtual talk from the Director of  Dr John Nkengasong during THS2021. He is  special e…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"700,000 US COVID-19 deaths.",negative
↓,neutral
"",""
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Get the shot! This is going to hit all of us in the pocket book.,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Minenhle Makhanya was apparently waiting for the result of a Covid-19 test on Friday, forcing the postponement of the…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
This will go into effect following full…,positive
