A major…,positive
"ICYMI, here are my remarks at GlobalCitizenLive on ending the COVID-19 pandemic and supporting the world’s most vulnerable. h…",positive
Pharmaceutical company Merck says research found its experimental COVID-19 pill reduced hospitalizations and deaths by half…,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Joe Rogan Called Out For Suggesting Joe Biden Got A Fake COVID-19 Booster,positive
They’re not your kids. They’re mine.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
"California to introduce mandatory Covid-19 vaccination for schoolchildren, in nationwide first",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
So ivermectin and a few changes including charging more 🙄,negative
"Notice the use of \"our\"... as if everyone's children belong to Gavin Newsom",positive
"Premier Mark McGowan has told Labor party members at the state conference that WA has become a global success story for its handling of the COVID-19 pandemic, success the party hopes will help it win votes in upcoming federal election.",positive
Well learnt from his mentor,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"Pfizer says a former PM's claim NZ could have paid millions for early access to the Covid-19 vaccine are \"baseless and inco…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
I'm not taking advice from a magazine that…,neutral
"“Available evidence suggests the currently approved or authorized COVID-19 vaccines are highly effective against hospitalization and death for a variety of strains, including Alpha (B.1.1.7), Beta (B.1.351), Gamma (P.1), and Delta (B.1.617.2); data suggest lower effectiveness 1/2",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
"Thomas, 15, high school student.",positive
(🎥),neutral
65% say…,positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Tory MP admits to Parliament that his Party are LIARS. Quoting actual Government backed NHS data he said Covid death fig…,negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Merck's experimental COVID-19 pill under review by Health Canada - CTV News has been published on Canada News Media -  news,negative
VA Boston-Led Retrospective National Cohort Study Results Raise Questions About COVID-19 Hospitalization Metrics,negative
"What's different is that Doctors are finding that the \"VACCINES\" can cause permanent health issues.",negative
"We are &gt; 19-months into the \"pandemic\". Globally, &gt; 3 million people die EVERY year from respiratory viruses and complicati…",negative
BREAKING California becomes first state to require COVID-19 vaccine for students,negative
"The death toll of COVID-19 in the U.S. exceeds 700,000",negative
"Why, ? Because we just crossed 700,000 people dead in this country from COVID.",negative
Add your highlights,positive
NC GAZETTE / WB RADIOSTAFF REPO,positive
"",""
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Attended the Covid-19 vaccination Centre at Primary Health Center (PHC) Singhpora, Baramulla, Jammu and Kashmir today m…",negative
"US hits 700,000 COVID-19 deaths just as cases begin to fall",negative
"",""
This will go into effect following full…,positive
"The death toll of COVID-19 in the U.S. exceeds 700,000",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
He’s just had his first dose of the COVID-19 vaccine.,negative
"",""
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leaders…",negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
"",""
"An entire article about nurses who refuse to get vaccinated because of “personal choice,” but none of them are asked w…",negative
"BREAKING Merck says its experimental COVID-19 pill cuts hospitalization and deaths by half, will soon seek authorization for use.…",negative
"20,000 Arizonans have lost their lives to COVID-19.",negative
"",""
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
The vaccine makes it harder to ca…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
COVID19 coronavirus,neutral
"NBA players Bradley Beal, Jonathan Isaac, and Draymond Green have voiced their opinions on mandating COVID-19 vaccines.…",negative
The amount of plastic waste generated by Covid is estimated at 1.6 million tonnes per day.,negative
"Friday, Oct. 1, 2021 — A new drive-thru COVID-19 testing site is now open in Elizabethtown.",positive
Super simple poll.,positive
This will go into effect following full…,positive
So weird. Not sure how that applies to the overall point here though. Are kids in BC getting severely sick and filling hospitals or not?,negative
Incarceration is a public health crisis now and always.,negative
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
Study identifies radio as important source of COVID-19 information for women in Sierra Leone despite low ownership and use…,negative
Can someone please make it make sense.,negative
‘All my friends are getting vacc…,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
STUDY “Rural Americans are dying from COVID-19 at more than twice the rate of their urban counterparts” 😷,negative
This post also explains how COVI…,positive
CDC Director Dr. Rochelle Walensky discussed several topics regarding COVID-19 &amp; vaccinations on a Yahoo Finance video. 5 Stars! (Dated 09-28-21).,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
It’s devastating –– these are neighbors and loved ones.,negative
The news is pretty grim 🧵,negative
65% say…,positive
"French average of new COVID-19 cases drops below 5,000 for first time since mid-July",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"US surpasses 700,000 Covid-19 deaths amid case resurgence (France 24)",negative
3.4 billion single-use fa…,neutral
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"Read this preprint on  A Randomized Controlled Trial of Ivermectin Monotherapy Versus Hydroxychloroquine, Ivermectin, and Azithromycin Combination Therapy in Covid-19 Patients in Nigeria",positive
7 Day Covid Growth in Deaths per 1K Population by County For DC   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
The Integrated Bar of the Philippines' silence on China’s accountability for COVID-19 is deafening.,negative
Flawed study misrepresents Covid-19 vaccination fatality rate,negative
"I've got exams to prepare for, school is closed cos students protested for the death of another student. I don't want the break, I've had enough of it during COVID-19 lockdown.",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
F(antastic),positive
"YouTube blocks all anti-vaccine content, including things unrelated to COVID-19",negative
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
Bluewater Diagnostic Laboratory in pa…,negative
Refugees in Melbourne immigration detention tested for COVID-19 after positive case,negative
"US drugmaker Merck’s antiviral pill raises hope of preventing COVID19 deaths. If approved, molnupiravir would be th…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Around Rs 4,700 crore has been paid against more than two lakh death claims filed under the PMJJBY in the last financial year which witnessed COVID-19 leaving a trail of death.",negative
Is Covid-19 more lethal in a funeral??,negative
JanSuraksha,neutral
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"US drugmaker Merck’s antiviral pill raises hope of preventing COVID19 deaths. If approved, molnupiravir would be th…",negative
Broadway’s ‘Aladdin’ cancels more shows after breakthrough COVID-19 cases,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
You can't cure stupidity.,positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
In the US there have been 532 paediatric influenza deaths in the last 3 seasons (48 months; 11 deaths/month) and 561 paediat…,negative
Why are you tweeting things that have nothing to do with Covid-19 but make it seem like everything is a conspiracy? Do you realize how overwhelmed our hospitalz are? How we can't even get transplants performed b/c unvax'd are filling our beds to the brim? shame misinformation,negative
Hanoi hospital’s Covid-19 outbreak witnesses more patients Best things for baby ---  baby kid,negative
JUST IN California Gov. Newsom says the Covid-19 vaccine will be required for the state’s public schoolchildren following full…,negative
Merck and partner Ridgeback Biotherapeutics released strong data for their new Covid-19 pill.  explains how this could be…,positive
An antiviral pill developed by U.S. drugmaker Merck could half the chances of dying or being hospitalized for those most at ri…,negative
NBA star Draymond Green speaks out against COVID-19 vaccine mandates.,negative
Why max 100 people in a Funeral but max 75…,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
Personal Choice is an American issue. Anyone who says otherwise is an enemy.,negative
It ain’t wort…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"‘Ivermectin is not approved for use in COVID-19 in Australia or in other developed countries, and its use by the general public for COVID-19 is currently strongly discouraged by the National COVID Clinical Evidence Taskforce, the World Health Organization and the US FDA.’",negative
"How by looking at 775 adults who had health problems with mild-to-moderate COVID-19, and with a period of trial of 30 days whic…",negative
Draymond Green shares his thoughts on Andrew Wiggins and the COVID-19 vaccine.,negative
This will go into effect following full…,positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
GODDAMIT ONE LESS CAKE CUSTOMER,negative
We need lea…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Some of my fans may not know this…I’m half South African, specifically from Durban, South Africa, and the continent of Africa…",positive
"Why is no one asking the question \"Why are they calling the Covid-19 vaccine a vaccine?\" No other vaccine you have taken th…",negative
“54 children sent to hospital is 54 too many. It’s just not acceptable. COVID-19 can be mitigated with simple public heal…,negative
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-19 just like the \"UNVACCINATED!\"",negative
"US fatalities from Covid-19 surpassed 700,000 on Friday, according to figures from Johns Hop...",negative
Respect.,positive
”Largest COVID-19 Tracing Study to Date Finds Children Are Key Spreaders - also Children were much more likely to contrac…,negative
NG 📰 New drive-thru COVID-19 testing site opened at Towne Mall in Elizabethtown,neutral
"",""
"⁦⁩ ⁦⁩     Great JOB … GOP …. It’s a Hoax …?  Your Fox Friends LIE and you continue to ALLOW… US surpasses 700,000 Covid-19 deaths - CNN",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BLUF Floridians love  and,negative
"A spokeswoman for Mr Foley confirmed to Fact Check, however, that 78 per cent of those in hospital were unvaccinated, while 17 per cent had received just one dose. That means a mere 5% of hospitalised COVID-19 patients in Victoria were double-jabbed",negative
Super simple poll.,positive
