👇💉👇💉👇💉👇💉👇,positive
"Senate Min Ldr  believes,VP  will file her COC before Oct 8She is the most qualified to lead…",positive
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
Dan &amp; rest of Australia can learn from,positive
"",""
Play your part and help fight COVID-19,positive
Uttar Pradesh Pratapgarh district,negative
COVID19,neutral
Vaccination rates among pregnant women remain low but p…,negative
Barrie's RVH Sperling Drive COVID-19 immunization clinic will remain open three days a week for the remainder of the yea…,negative
"First time cursing today. Kay Ivey, wtf? Have you looked at your Covid numbers lately or do you just not care? 42.6% vax r…",positive
Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emergency us…,negative
Daily Covid-19 numbers should not blur the bigger picture and cause unintended pain,positive
"These UK death-within-21 days-of-injectables numbers, are gigantic.",positive
FDA Briefing Document proves that incidence of COVID-19 general…,negative
"Since the school year began, the US has reported nearly 1 million COVID-19 cases among students.",negative
Few glimpses of today's One Day Social Service Programme of CHC Sekmai in collaboration with…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",positive
barstoolspo…,positive
"\"A U.S. judge upheld the University of California's COVID-19 vaccine requirement against a challenge by a professor wh…",negative
Baudelaire once said that the greatest trick the devil ever pulled was to convince the world he didn’t exist,positive
Chhattisgarh Jashpur  district,negative
"30,305 within 6 months.",positive
The news is pretty grim 🧵,negative
This is what a deep sense of loss looks like,negative
Time for monoclonal antibody treatment,negative
"Even if you are vaccinated, you must continue to practice all COVID-19 safe measures.",positive
"Hari Narayan Tiwari, resident of Amargarth village of…",neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"| Cops go after Cape Town restaurants, clubs caught flouting lockdown regulations Cape Town police are investigating at least two clubs in the city centre for flouting Covid-19 curfew regulations.",negative
"Get yourself fact-cinated! As the COVID-19 vax rolls out in schools, we've produced a handy guide for young people and th…",positive
"Tanzanians vaccinated against Covid-19 now reach 460,000, says govt  via",negative
God should help me to postpone Xmas to Feb. 2022.   Kubanga... COVID-19 🏃🏃,positive
COVID-19 tests - what's the difference?,negative
"It’s worth noting that it’s a J-Curve, given the rising injection rates.",negative
Insider spoke to frus…,positive
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
↓,neutral
Help protect everyone.,positive
In practice…,negative
⚡️ “Frustrated parents blame politics as they call for mask-wearing amid a spike in school-related COVID-19 cases” by …,negative
The claimants have asked the High Court to grant an injunction pausing the roll-out of the COVID-19 vaccinations to ch…,negative
"How the COVID pandemic made the opioid epidemic worse, even as telehealth helped -",negative
"An old man, Bahal Ram, resident of Manora, died on Septem…",negative
Australia's Therapeutic Goods Administration (TGA) officially listed a COVID-19 vaccine developed by China's Sinovac as…,negative
"No, Remdesivir kills them.",negative
"It’s also worth noting injuries are likely to be 100x-120x that number-many permanent, or leading to death.",negative
Fauci seems to be as wrong on issues as Biden,negative
"How about \"Not yet, we do not have a deadline for the mandate any more than we know when we will have control over COVID-19 Transmission.\"",negative
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
"",""
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
👈🏼💦,neutral
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
Dan &amp; rest of Australia can learn from,positive
💔 362 dead from Covid19 in NSW since June 16th,negative
One of the choices is Sotr…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine…,negative
Covid-19 Co-Parenting Update How Does A Vaccinated Parent Co-Parent With An Anti-Vaxer?,negative
Can someone please make it make sense.,negative
Wear your mask,positive
Scroll to find out differences between a Lateral flow test and a PCR.,negative
It shuts down the kidneys leading to the lungs filling up with liquid.the hospital can say died of COVID-19 and demonize the unvaxxed along with it.”Just following orders !”,negative
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
Adeboye Queries Govt For Making COVID-19 Vaccine,negative
This is absolute ignorance. For the AP to want anyone to believe that a 105 year old woman has no clinical medical conditions other than covid-19 at 105 years old they absolutely think we are stupid. At 105 everyday is a true blessing. This is true propaganda.,negative
California Governor To Mandate Covid-19 Vaccine For Schools,negative
"this is a huge, mega-necessary piece of the getting thru a plague puzzle ☻",negative
This is government overreach on an unpre…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Mize High School football coach Steve Bynum died of COVID-19 after contracting it in August 2021. He coached in the Smith…,negative
At this point im pretty sure there is a placebo group among us or they have not enough vaccines for all of us.,negative
As we all know that Covid-19 create so much panic in entire world.,positive
Is Covid-19 more lethal in a funeral??,negative
Practice physical distancing and avoid crowds,positive
Credit Unsplash/CC0 Public Domain,positive
This post also explains how COVI…,positive
TW// Depressive language,negative
Why hasn't ivermectin been submit…,negative
Remdesivir kills them.,negative
For the safety purpose everyone should be vaccinated…,positive
human error??? looks like she did it deliberately...,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
FreeCovidVaccination,neutral
Time for monoclonal antibody treatment,negative
Why max 100 people in a Funeral but max 75…,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
Wash hands frequently or use an effective alcohol-based sanitizer.,positive
India post vaccination death 4933,negative
Including…,positive
Our comprehensive review on the impact of COVID-19 on the mental health of Canadian children and youth,positive
imagine sports teams not having to worry about COVID-19 anymore!,negative
"i used to keep pills of remdesivir in my fridge whenever the \"overseas wholesale chicken slaughter routine due a serious Hsomething/Nsomething virus\" erupted",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Get vaccinated &amp; get your booster shot as you become eligible!💉,negative
It shuts down the kidneys leading to the lungs filling up with liquid.the hospital can say died of COVID-19 and demonize the unvaxxed along with it.”Just following orders !”,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Kavanaugh tests positive for COVID-19 but has no symptoms,negative
