2) Not all vaccines are the…,negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
it is a clotshot....it is doing exactly as it was intended...,negative
"\"A group of international scientists and health experts has called for the board of New York nonprofit EHA to remove Dr. Pete…",negative
"Australia haven't played a Test match away from home since the onset of the Covid-19 pandemic, but captain Tim Paine isn…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
oh here we go,positive
"Merck says COVID-19 pill cuts death risk in half, will seek emergency authorization",negative
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Get a grip,positive
This is the chart 6-17 year olds for ALL VACCINES for all reactions over 30 years... an…,negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
"For the first time since mid-July, the French average of new COVID-19 cases falls below 5,000.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
COVID19 |,neutral
(D…,positive
12230 33/F arrived from the Philippines on PR300 September 30th. Tested positive on arrival at HKIA.,negative
Asymptomatic,negative
L452R mutation strain positive,negative
"Considering the threat of a possible third wave of the Covid-19 pandemic, the West Bengal government extended…",negative
COVID-19 IS THE MOST POSITIVE THING IN Brett Kavanaugs's life!,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
This is government overreach on an unpre…,negative
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
"If fully vaccinated people can still get Covid-19 and spread it to others, why aren’t they losing their jobs too?",negative
FFS. California will only allow kids to go to school if they get the vaccine.,negative
South Australia’s health authorities are on high alert after another COVID-19 case was detected on Saturday. 7NEWS htt…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
N501Y mutation strain positive,negative
Received two doses of COVID-19 vaccination (Covishield) in India on May 12 and July 24,negative
Covid-19 Report For 1st October,positive
This is what a deep sense of loss looks like,negative
↓,neutral
Super simple poll.,positive
Asymptomatic,negative
L452R mutation strain positive,negative
Received two doses of COVID-19 vaccination (Comirnaty) in France on June 7 and June 29,negative
Australia's Therapeutic Goods Administration (TGA) officially listed a COVID-19 vaccine developed by China's Sinovac as…,negative
A Saskatchewan woman says she is worried she will lose her eyesight or possibly die after a surgery scheduled in Alberta f…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"If Covid-19 doesn’t kill you, the isolation does.",negative
"US deaths from COVID-19 surpass 700,000 | Coronavirus pandemic News",negative
"NEW DELHIMore than 88.14 crores (88,14,50,515) COVID-19 vaccine doses have been provided to the states and union territories so far by the Govt of India through free of cost channel and through direct state procurement,informed d Ministry of Health &amp; Family Welfare on Saturday.",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Shocking if true, just something else for MSM to brush under the carpet…",negative
👈🏼💦,neutral
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"\"Rural America\" = Trump red states.",neutral
US population is merely 330 million against Indian population of 1400 million.,negative
↓,neutral
65% say…,positive
Study COVID-19 Vaccines INCREASE Deaths and Hospitalizations from COVID-19 Based on Analysis of Most-Vaccinated Countries…,negative
"Dear DrMcGluGlug, you haven't shared or said anything that makes sense since COVID-19 arrived.",positive
Imported cases,neutral
Received two doses of COVID-19 vaccination (Covishield) in India on June 21 and July 25,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
12229 62/F arrived from India on Vistara UK604 September 30th. Tested positive on arrival at HKIA.,negative
New Positive Cases 478,negative
💔 362 dead from Covid19 in NSW since June 16th,negative
But India has won.,negative
👈🏼💦,neutral
Breaking Alberta Premier Kenney is in discussion to force all elected members and their staff be either vaccinated or…,negative
"Covid-19 detection, Voice detection &amp; a Game based app using AI.These are all those Projects on which Sushant were Worki…",negative
"This discriminatory perception is well documented, but still Govt chose to furtively steal the rights to 50sWomen’s SP &amp; th…",neutral
The New York Times California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall.,negative
Of which 0-18 years 57,positive
L452R mutation strain positive,negative
Received two doses of COVID-19 vaccination (CoronaVac) in Hong Kong on March 19 and April 16,negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"I don't know, but it seems like this might be significant to people who aren't sheep and do their own research...",negative
"12232 29/M arrived from France on CX260 September 28th. Tested positive in DQH Best Western Plus Hotel Hong Kong, Sai Ying Pun",neutral
BREAKING – Pfizer stand accused of experiment…,negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
