"",""
"The Beijing 2022 Winter Olympics will have tight COVID-19 countermeasures in place to ensure the safety of all participants, the International Olympic Committee said on Friday (Sep 17).The Beijing Winter Olympics will be held from Feb 4 to Feb 20.",negative
This doesn't look like an error. It looks intentional. She pick up the empty syringe. When injected she notice that the syrin…,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"It took losing both feet to COVID-19 for  unvaccinated Pepe Forina to say, ‘Learn from me’. The toll the virus had taken on his body, exacerbating his existing diabetes, Forina’s feet had developed sepsis, his feet were black.",negative
Florida still remains a COVID19 INFESTATION. YOUR CHANCES OF CATCHING COVID-19 IS 1 in 6😳,negative
I found this to be really informative .,positive
"As the US coronavirus death toll passes 700 thousand, a reminder that in September 2020 the toll reached 200,000. In a single year’s time, 100 thousand more Americans died of COVID-19 than did all US military personnel who were killed during World War II.",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"Province Steps Up Preparedness for COVID-19 Fourth Wave, Moves to Restricted (Orange) Level on Pandemic Response System",negative
Tonight I signed the continuing resolution to fund our government through December. It funds critical needs like our COVID-19 re…,negative
Completely out of touch.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
"11,018 active cases yesterday",negative
This is despite the massive job losses induced by…,negative
Go get ‘em JK.  That will wind the lefties up for the 2nd weekend.,positive
Please tell me it has been successful and proven…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
"1,143 cases today",negative
"Inconvenient, annoying…",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
COVID-19 Vaccination  Camp  volunteers👏👏,negative
"WE NEVER USED IT IN CANADA, nor do we have any.",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Covid-19 vaccination is the greatest need of today to get protected from corona virus.  volunteers are he…,neutral
"I was too busy catching the MsC recordings to tweet about covid last week, but on Monday the government finally restricted social gatherings to two people once a day .. and as of Friday the number of hospitalised cases is still going up. I'll be watching the next week closely.",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Homepage - COVID-19 Protocols,positive
"New antiviral pill halves risk of COVID-19 hospitalization, Merck says",negative
"10,944 active cases today",negative
Coronavirus Sir John Key says business response to…,positive
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"India records 24,354 new COVID-19 cases, 234 fresh fatalities",negative
Block Moga Panjab,positive
This will go into effect following full…,positive
Burdensome…. Protecting lives is burdensome.  Wow!!  LeadershipMatters,positive
NBA players waking up,positive
via …,neutral
⚡️IWA MEWE2021 can go semi-hybrid! Delegates with valid covid-19 QR digital cerfificate can join on  site (max…,positive
"Coronavirus (Covid-19) India Live News More than 5.28 crore Covid-19 vaccine doses still available with states/UTs, says Union Health Ministry",negative
Home,positive
"What happened to 1,217 cases?",negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
Don’t miss  and  on  as they discuss Covid-19 vaccine mandates in the NBA and how athle…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
Price checking and enforcement of Covid-19 SOPs in Murree.,negative
FreeCovidVaccination,neutral
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"🌏In the trial, 775 patients around the world - including in the UK - with at least one risk factor for severe illness began…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Interesting way to welcome  to Tennessee, when Ford has mandated masks in their facilities multiple times and now requires t…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
The Kenyan Safari Rally has made its much-anticipated return to the World Rally Championship (WRC) calendar after last year's edition was postponed due to the COVID-19 pandemic.This was the first time Safari Rally returns to the WRC circuit since 2002.,positive
News,positive
Assistant Commissioner Murree  sealed 3 hotels…,positive
"To celebrate the significant milestone of administering 100 crore COVID-19 vaccine doses, we are inviting citizens to desig…",positive
Nobel Prize in medicine for COVID-19 vaccine? It may be too soon.,negative
It is simple. The vax is making people sick. And the boosters even sicker.,negative
SA Health is on high alert after another COVID-19 case was detected. 7NEWS Adelaide at 5.30pm and 6pm. 7NEWS,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
I keep learning new things about Science,positive
"",positive
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
CDC Public Health Science Agenda for COVID-19,negative
"PMSg Reynaldo Dauz Jr of San Isidro MPS had a dialogue with the motorist regarding road safety tips and the strict implementation of ordinance relative to Covid-19 at the established checkpoint at Barangay Dalimag, San Isidro, Abra.",positive
ShikaBall,neutral
"Today, I think of my cousin who passed away earlier this year from this pandemic. He was an older brother to me and I miss him every day and I think of the family he left behind. I look forward to the day when this pandemic is behind us. GetVaccinated 💔 🙏",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Coronavirus in Poland. The fourth wave of the COVID-19 epidemic. The situation in the Lublin region,negative
"India reports 24,354 new COVID-19 infections in last 24 hour",negative
Pharmaceutical company Merck says research found its experimental COVID-19 pill reduced hospitalizations and deaths by half…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
"",""
"Following the lifting of Covid-19 restrictions by the Ministry of Health, arising from reduced Covid-19 incidences, …",negative
"So, at what point am I no longer a conspiracy theorist?",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
"VERY IMPOANT, PLEASE SHARE",positive
...,positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
"Like, politicians announce vaccine mandates for kids",negative
PNPKakampiMo,neutral
Super simple poll.,positive
"\"The Total number of AMERICAN CITIZENS THAT DIED WITHIN 14 DAYS OF RECEIVING THE COVID-19 VACCIN…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
1) Would love to hear from independent reviewers,negative
before the FDA approves the…,negative
Japan governors demand bolstered medical system as eased COVID-19 curbs stoke concern,negative
Merck and partner Ridgeback Biotherapeutics released strong data for their new Covid-19 pill.  explains how this could be…,positive
Australian state makes COVID-19 vaccination mandatory for athletes | Reuters,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Go get ‘em JK.  Coronavirus Sir John Key says business response to COVID-19 plan 'overwhelming positive', swats away cri…",positive
Ramaphosa says his government has managed COVID-19 “as well as it could”.,negative
TeamPNP,neutral
How much damage has been…,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
