"Please, get vaccinated - and help family and friends…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
How Lagos Overpowered COVID-19 Third Wave – Sanwo-Olu,positive
There are 13 million rapid tests sitting in Ontario warehouses that could instead be used to prevent the spread of COVID-19…,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Israeli government requests six month delay, citing the ongoing Covid-19 pandemic, the fragile coalition government, and the…",negative
16)  NL63 to ACE2 induces ACE2 shedding from the cell surface.,positive
"",""
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"Hospitalization, monoclonal antibody sites are not.",negative
Immune res…,positive
"COVID-19 numbers in the Southern NSW Local Health District (SNSWLHD) have jumped again, this time with 27 cases recorded in the 24 hours to 8 pm yesterday",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
COVID-19 death rate in rural America now double that of urban communities,negative
Critics slam Alabama's plan to spend federal Covid-19 relief funds to build new prisons  reports,negative
U.S. stocks pushed higher on Friday as news of a new oral treatment for Covid-19 boosted shares of companies tied to the economic recovery. StockMarketUpdate,negative
COVID-19 death rate in rural America now double that of urban communities,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
NEW REPO,positive
"\"There is no merit whatsoever to this filing. The lawsuit is especially sad and distressing in its callous disregard for the horrific and prolonged global effects of the COVID-19 pandemic.\"",negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
"Many thanks.👏 This new research (July 8, 2021) showed that BNT162b2 vaccine effectiveness at 14 or more days after second d…",negative
"Again, wholly beyond comprehension that it took this long but at least it's getting done. Next do schools, healthcare, l…",negative
"Be it any kind of progress or any natural calamity in the country, Dera Sacha Sauda has cooperated shoulder to shoulder, n…",positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"The greatest gift of COVID waking us up to how corrupt the international health system is - from , the nexus between glob…",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"NEW BALTIMORE (AP) — Death toll from COVID-19 in the U.S. eclipses 700,000 in latest tragic reminder of delta variant’s rampant spread.",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"\"The matter fo fact that vaccins are not enough\"",positive
"“They say we live in the land of the free. Well, you’…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
See the full breakdown by age,positive
I found this interesting and thought provoking. I like the way different approaches are compared &amp; contrasted.,positive
COVID-19 stats from .,negative
👈🏼💦,neutral
An advisory panel of experts to the U.S. drug regulator will hold meetings this month to review data on Pfizer Inc's CO…,negative
BREAKING Calif. Gov. Gavin Newsom announces kids will be required to be vaccinated to come to school once the FDA gives…,negative
I thought merck only provided chemical solutions??? Wow I’m a proud consumer 🤣,positive
The infrastructure bill must include money to make longer airports so they can fit in more checkpoints.,neutral
"Actually, that's not true. You can have the daily test numbers one, no way we're topping that 😂",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Brazilian hospital chain ordered to pay family of Covid-19 patient, after allegations of secretly giving unproven treat…",negative
Cancel the NIOS board exams October 2021 corona 3rd wave is come in all over india. And NIOS taking exams t…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
ResignDeathSantis,neutral
"'We are not anti-vaxxers' Concerns over side-effects, research among main reasons some Canadians are not getting COVID-19 vaccine  via",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
While vaccines are most effective tool to protect us all from severe disease,positive
This is government overreach on an unpre…,negative
"Covid-19 has a bad impact in almost every sector. So, as a crypto projects how did it affect you? How you and your team have done the work in the pandemic?",positive
↓,neutral
"",""
This will go into effect following full…,positive
Vaccine Covid-19,negative
"Pandemic Privacy A preliminary analysis of collection technologies, data collection laws, and legislative ref…",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"",positive
This will go into effect following full…,positive
"As a very pro-vaccine physician, this is not a good idea.",negative
"And seems like the trial was primarily funded by company itself, it would have positive bias in favor",positive
↓,neutral
Still…,negative
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
California is the first state to announce that it will require all schoolchildren to get vaccinated against COVID-19 once the FDA…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"US COVID-19 death toll eclipses 700,000  via",negative
