"",""
Alberta has reported 109 deaths from COVID-19 since last Friday. Alberta Health hasn't gone back to reporting stats on weeken…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
California will enact the U.S’s first COVID-19 vaccine mandate for schoolchildren,negative
"Lede correction Premier Kenney finally, reluctantly, accepts assistance that has been on offer for weeks. cdnpoli a…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"Come November/December( nabo they are still contemplating), 4th wave loading...Watch how they will close groove coz it's…",positive
Ohhh we’ll see about that Lightfoot.,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"If you're reading this tweet, then thank the lucky stars above, that you're not one of the 700,000 Americans who've di…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
allowing any Conversation regarding People taking,neutral
VaccinePassport,neutral
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"The first pill to help in the fight against Covid-19 could be made available within months, but will Australia sign on to p…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
This post also explains how COVI…,positive
"., Chief People Officer at Persistent, discusses ways in which the pandemic has changed how companies hire, ma…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Why max 100 people in a Funeral but max 75…,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
In the US there have been 532 paediatric influenza deaths in the last 3 seasons (48 months; 11 deaths/month) and 561 paediat…,negative
"Education, evidence key to awake self-prone positioning for patients with COVID-19 -India News Cart",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Impact of COVID-19 on Older Adults 2021 International Survey | Commonwealth Fund,positive
CA is going first Australia style because they're easy. Will they fight for us? Likely not. It's going to be up to the rest of us to stop the spread of evil across this great nation.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"",positive
This post also explains how COVI…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
Bad news for the Left,negative
-US debt ceiling pass/infra bill delayed,negative
Do not trust bigpharma 💊,positive
Please Take this Poll  and Retweet - WW,positive
👈🏼💦,neutral
"COVID-19 cases have now declined 33% nationally from 14 days ago. There's little coverage of this, which doesn't surprise m…",negative
"Schools with the resources to deal with the fallout from Covid-19 dominated our annual college rankings, with Harvard leading the…",negative
This one costs $700 for a 10 day treatment or $70 per pill while Ivermectin costs $0.58 per pill. Follow the science?…,negative
"Not sure \"Merck\" is the best name to get people to use this pill to live.",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
This one costs $700 for a 10 day treatment or $70 per pill while Ivermectin costs $0.58 per pill. Follow the science?…,negative
Thing that upsets me more is thousands of horses are needlessly suffering in America.,negative
"US COVID-19 death toll eclipses 700,000",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"George Vagiannidis Man Paralyzed After Receiving The J&amp;J COVID-19 Vaccine, Doctors Have No Answers",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Arginine depletion as a therapeutic approach for patients,positive
1/,positive
(( COVID-19 antibody test first )),negative
Please Take this Poll  and Retweet - WW,positive
Dr Vladimir Zelenko reports that miscarriage rate…,negative
"Your risk of dying after an accident involving a motor vehicle in Australia is 125,000. Your risk of dying after the As…",negative
"U.S. COVID19 deaths surpassed 700,000 Friday -- JHU",negative
-Swamy's NPA case in SC on Thu,negative
"",""
with COVID-19,positive
paid money from our government ..…,negative
Couple of interesting Sept articles on the immune/inflammatory overreaction pathologies of Covid and long Covid,positive
This will go into effect following full…,positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"You just slip on the mask, class",positive
In order to find out if You needs Any of,positive
↓,neutral
↓,neutral
"",""
The U.S. remains the country worst hit by COVID-19 with the world's highes…,negative
"I was looking for point 5 😩, the rest🤟🏾",negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
Updated figures show that the 15 states with the biggest jumps in their COVID-19 hospitalization rates over the past two weeks are…,negative
lowkey tho 😖,positive
In the US there have been 532 paediatric influenza deaths in the last 3 seasons (48 months; 11 deaths/month) and 561 paediat…,negative
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Please. Get. Vaccinated.,negative
Study There's no difference in COVID-19 viral load between vaccinated and unvaccinated; symptomatic or asymptomatic,negative
LOOKING FOR BLOOD DONATION,positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
