Covid19 Platelets LongCovid,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
“A Michigan Medicine study found that most patients with mild COVID-19 infections produce antibodies that persist and pro…,negative
Anti-lockdown protesters have rallied on Auckland as New Zealand reports 27 new COVID-19 cases.,negative
✴️BIG NEWS✴️,positive
Sinovac/CoronaVac COVID-19 vaccine,negative
allowing any Conversation regarding People taking,neutral
VaccinePassport,neutral
GOOD  New COVID-19 antigen testing method offers highly accurate results in under 3 minutes….,negative
Improvements are coming to Old 41 near Kennesaw; The deadline for Wellstar employees to be vaccinated against Covid-19 has passed; And Marietta begins it's plans for Christmas.  CobbCounty Georgia LocalNews      -            -            -       …,negative
"US COVID-19 death toll eclipses 700,000  via",negative
allowing any Conversation regarding People taking,neutral
VaccinePassport,neutral
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Just published today. An analysis of the Vaers data by Peter McCullough looking at myocarditis.,positive
THREAD!,positive
Critics slam Alabama's plan to spend federal Covid-19 relief funds to build new prisons  reports,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
What’s the downside to releasing this?ableg,negative
"",""
"Hi from Portugal, a country with almost exactly the same population as Georgia (10.31 million vs GA's 10.62) and 1/7 the num…",positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Don’t get me wrong, I would take this pill. But can anybody tell me What rationale would make a person be willing to take this new drug, but not a new vaccine? By now, COVID-19 vaccines have been tested in billions of people…get vaccinated, folks…",negative
World Leaders thank India for Covid-19 Vaccine shipments at High-level UNGA Session,positive
This will go into effect following full…,positive
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"Not a single word of this,or the CDC's studies,say that natural immunity is ineffective,or less effective than the vaccines. They ONLY say that the recovered get an antibody boost from the vaccines. There are no reinfection rates to be found in the media,or cdc. I saw a STUDY",negative
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
"",""
within 14 days of COVID-19 vaccination,negative
Said No One who lives in Jacksonville,negative
"If Authorized, Molnupiravir Could be the First Oral Antiviral Medicine for COVID19",negative
2021/04 WHO,negative
(( COVID-19 antibody test first )),negative
"While the surge from the Delta variant is beginning to slow down, the strain spread rampantly through unvaccinated Americans in the 3 ½ months it took for the country to go from 600,000 to 700,000 deaths",negative
Maine’s Public-Sector Employers Must Follow OSHA COVID-19 Vaccine Mandate,negative
"BREAKING Ontario is making COVID-19 vaccinations mandatory for all in-home LTC staff, support workers, students &amp; volunteers…",negative
