auspol Commonwealth of Sydney,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"a woman, who claimed to be an employee of an online casino called “The Century” located In Otres 2, Sangkat 4, Sihanoukville…",positive
"🇦🇺 is ready to take its next steps to reopen safely to the 🌏. Under Phase C of the National Plan, overseas travel restrict…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
The decision to disallow celebrations hurt the sentiments of the community,negative
(D…,positive
Cuba has provided one dose of the COVID-19 vaccine to 95 percent of the population.,negative
DataBreach CoronaVirus CloudComputing SaaS…,positive
"BREAKING California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov.…",negative
OSHA is it's a guideline of rules that all businesses are required to follow and has been evolving as things change right now OSHA wants employers to consider adopting policies that require workers to get vaccinated or to undergo regular COVID-19 testing,negative
Covid-19 = Real life squid game without the prize.,positive
With bitcoin you can invest little and earn great profits.,positive
This will go into effect following full…,positive
"Ontario makes it mandatory for long-term care staff, volunteers to be fully vaccinated against COVID-19 by Nov. 15",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"ABS Household Impacts of Covid-19 survey, the Melbourne Institutes Pulse tracking etc as series work, plus huge amounts of standalones from the COVID-MHBRC Survey, the Monash Living with Covid restrictions work. We've been lucky to be inundated with really good work on this.",positive
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
👏👏👏Who’s next?,positive
This is far from over. Please stay home and stay safe.😷,negative
The former  chief  m…,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Covid-19 Report For 1st October,positive
You can earn $10k weekly,positive
Respect.,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
"478 fresh COVID-19 cases, 7 deaths reported in Odisha bharathalchal englishnews",negative
"Happy one-year anniversary to one of the craziest moments in presidential history, one which started a journey of tracking on…",positive
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Clovis parents are crying and throwing up rn.,negative
The other Team of 5 Million 💔,positive
EMA PRAC HAS CONCLUDED THAT THERE IS A POSSIBLE LINK TO RARE CASES OF VENOUS THROMBOEMBOLISM (VTE) WITH COVID-19 VACCINE JA…,negative
"The World Health Organisation has been telling us the COVID-19 virus was isolated by the Chinese Communist Party's scientists,…",negative
16)  NL63 to ACE2 induces ACE2 shedding from the cell surface.,positive
Californians hit hardest by the pandemic can apply for CA COVID-19 Re…,negative
Critics slam Alabama's plan to spend federal Covid-19 relief funds to build new prisons  reports,negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
↓,neutral
↓,neutral
China has more than 80 percent of its…,negative
