If you at…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Pfizer accused of experimenting on orphan babies to test their Covid-19 Vaccine.🤬,negative
LeaveNoOneBehind UNDataForum,positive
Join the discussion this morning on Fahrenheit with  and Peter Kakoma on financial management during the COVID-19 pandemic hosted by  from 1100AM,positive
"",""
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"And these unvaxxed people, many of whom will never recover, are taking up beds for 6 weeks when people of treatabl…",negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
New cases (09/30),negative
LW 20,negative
72.0% (09/23),positive
Isn't this rebranded Ivermectin?,negative
Deaths,negative
This includes,positive
"",positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"Chen Qiushi, a Chinese lawyer and self-styled citizen journalist whose viral videos offered an unfiltered early glimpse of t…",positive
Just because COVID-19 is asymptomatic or does not produce “severe” pulmonary disease does not mean the patient does not h…,negative
Petition Reform the VDPA 1979 to improve support for those harmed by covid-19 vaccines,positive
COVID-19 cases in Chelan and Douglas counties continue to drop,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Within 8 weeks of the public offering of COVID-19 products to the 12-15-year-old age group, we found 19 times the expected number of myocarditis cases in the vaccination volunteers over background myocarditis rates for this age group. In addition, a 5-fold increase in myocarditis",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Do not relax your vigilance against covid. Get vaxxed. Wear a mask. Stay socially distanced.,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
How many monoclonal antibody sites does Ontario have?,negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
Research associates excess body weight with COVID-19 mortality -India News Cart,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
One of the choices is Sotr…,positive
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
• Severe - 124,negative
"T - Today 2,327",positive
HealthCanada working to review Merck's experimental COVID-19 pill treatment,negative
FL COVID-19 Data via,negative
T 938,positive
Vaccinations - 1st shot (% of FL),negative
▶️ adults aged 50 or over,negative
Their 2nd…,negative
white supremacy alive and well,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leadersh…",negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
• Critic…,positive
Is Covid-19 still a thing? Not seen much media coverage / death stats for a while...?,negative
Professors use MATLAB for characterization of the Second Wave of COVID-19 in India,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
"",""
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"I knew as soon as they announced children would have this vaccine that this was the endgame. Where America goes, we follow. Ju…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Also, you are putting things in quotations without stating who you are quo…",positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
It’s sad people are playing politics with COVID-19 vaccination –Obaseki,negative
Listen online ;,positive
"",""
55/n,neutral
"TW - This Week Avg 1,850",negative
Positive Test Rate,negative
TW 272,positive
66.9% (09/30),positive
▶️ frontline health &amp; social care workers,positive
↓,neutral
Their 2nd…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
How genome sequencing helps in tackling COVID-19 variants -WHO - Punch Newspapers,positive
BReaKtHrouGH cASe!,positive
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
Their 2nd…,negative
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
"",""
&lt;Last chance to register today&gt;,positive
"IDFC First posted a net profit of 452 crores for covid-19 hit FY21 compared to net loss of 2 ,864 crores in FY20. The outbreak had an impact on the banking operations and total income of the bank. The bank also had to do additional provisioning in the wake of pandemic.",neutral
Brief thread on how Molnupiravir works. This is the promising COVID-19 antiviral that appears to prevent 50% of hospitali…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine…,negative
"They also comment about the weather, yet they are not Meteorologists. They talk about how nice wine is, yet they are not…",positive
COVID-19 and DELTA are virus that exploit the workings of our bodies and mind.,positive
"LW - Last Week Avg 2,185",negative
TW 4.8% (09/28),neutral
New cases (09/30),negative
LW 328,negative
66.3% (09/23),positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
So much for the passports,negative
New York...!,positive
India announces COVID-19 tests and quarantine for British nationals in tit-for-tat - India’s External Affairs Minister S. Jaishankar had discussed the issue with British Foreign Secretary Liz Truss in a meeting in New Y... -,negative
"It took almost over a year for the Covid-19 death toll to hit 2.5 million, while the next 2.5 million deaths were recorded in…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
▶️ care home residents,positive
👈🏼💦,neutral
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"They also comment about the weather, yet they are not Meteorologists. They talk about how nice wine is, yet they are not…",positive
Important metaanalytical data on outcomes of COVID19 in kidney transplant patients based on 48 studies including 3137 pa…,positive
"Such a pandemic is no longer just a hypothetical. This week, the Centers for Disease Control and Prevention said it’s preparing for a coronavirus pandemic and the organization’s former director flatly declared that COVID-19 “will become a pandemic.”",negative
Their 2nd…,negative
They want to make us laugh – Adeboye queries govt for making COVID-19 vaccine compulsory,positive
UPDATE COVID-19 cases in Ghana,negative
AllAboutLove,negative
End date Jan 6th 2024...,positive
LW 5.3% (09/21),positive
"T - Today 4,781",positive
"",positive
"",""
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Merck says its experimental pill cuts COVID-19 hospitalizations and deaths by half,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Dan &amp; rest of Australia can learn from,positive
(22 Sep - 27 Sep),positive
Join us on 5th October at 9am (CEST)/ 8am (BST) as we discuss how we can achieve inclusive data systems that can support inclusive recovery from the Covid-19 pandemic.,positive
"",""
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Why Australia why?,negative
After many bumps our work on the genomic epidemiology during the 1st wave in Spain is finally out in . This is a col…,positive
Covid-19 AstraZeneca Vaccine Ingredients,positive
They want to make us laugh – Adeboye queries govt for making COVID-19 vaccine compulsory,positive
"The lab-leak theory, that COVID-19 was leaked from a laboratory, has once again caused a clamor since the beginning of this year, months after the argument was thrown into the trash can of conspiracy theories by an overwhelming number of scientists.",negative
Deaths,negative
"TW - This Week Avg 5,612",negative
Positive Test Rate,negative
↓,neutral
The NHS will let you know when it's your turn.,negative
“The main goal of this study is to evaluate the outcomes of pregnancy in females exposed to the Moderna COVID-19 vaccine (mRNA-1273) during pregnancy.”,negative
"",""
Propaganda machine in full swing. They must eliminate the control group at all costs.,negative
Australia's Therapeutic Goods Administration (TGA) officially listed a COVID-19 vaccine developed by China's Sinovac as…,negative
"The superrich and the super famous have always taken over resorts, always at great cost. But since Covid-19 hit and intrepid types…",negative
Yet we teach kids not to experiment with drugs but taking experimental drugs is ok.,negative
NJ COVID-19 Data via,negative
T 27,positive
Vaccinations - 1st shot (% of NJ),negative
"LW - Last Week Avg 8,227",negative
TW 8.2% (09/28),positive
👈🏼💦,neutral
How ironic it is if these people who report ill3gal str34ming are committing/have committed the same thing too by stream…,negative
People who are most vulnerable to COVID-19 are being offered a booster vaccine.,negative
"",positive
Time for monoclonal antibody treatment,negative
"Confirmed - 127,482 (861)",positive
Register,positive
TW 20,positive
72.5% (09/30),positive
LW 9.6% (09/21),negative
"",positive
For more info 👇,positive
"Active - 3,088 (509)⬇️",positive
