The first live discussion between two stalwart…,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"COVID-19 scare No visitors allowed into Durga Puja pandals, says Calcutta High Court",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
...remember that Australian doctors are under a GAG ORDER to NOT discuss jab/shot risks with patients and to NOT deviate f…,negative
"TrumpCultKills, more Americans have died from Covid-19 than in every war fought by America. Trump’s vanity caused thi…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"You had your chance, CA. Unfortunately, this is what you get.",negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"As Covid-19 seems to be on the wane in the rest of the country, the small hill state of Mizoram is not only reporting a disproportionately large number of cases, but also the highest prevalence amongst children. What explains this surge?",negative
Why is this happening to the vaxxed⁉️ We need answ…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"US COVID-19 death toll eclipses 700,000",negative
"CDC numbers reported that among children 5-17 who had COVID-19, there was 1 death per 174,803 cases.",negative
"",""
Luv my 🦩 FL 🌴 Gov!🥰,positive
"22,371 children in Goa infected with COVID-19 till date",negative
This will go into effect following full…,positive
Today Victoria Covid-19 Cases report-,positive
Rare. 🙄,positive
Saddest part is they didn't think twice about others.,negative
65% say…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
THISz It’s always been this; power and money. Why do u think trump &amp; his clans r STILL out there? $$$$$,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine…,negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine acc…,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
1/2 - “It has been recently reported that the risk of acquiring COVID-19 by touching contaminated surfaces in less than 5 in…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
BREAKING Norwegian government to end all COVID-19 measures.,negative
"As a very pro-vaccine physician, this is not a good idea.",negative
Respect.,positive
COVID-19 Vaccine Adverse Reactions Stories in Israel by ‘The Testimonies Project’,negative
For More info,positive
"Thanks to the Biden-Harris administration, we are…",positive
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Vaccines reduce risk of death and hospitalization by 96%,negative
"I mean, duh.",neutral
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
DemVoice1,neutral
Why does someone who already had Covid-19 need to get the shot?,negative
Bald face liar,negative
"",""
Merck says its new experimental COVID-19 pill cuts risk of death and hospitalization by half,negative
States are asking some Americans that received unemployment assistance due to the Covid-19 pandemic to pay back benefits. …,negative
Very clear and important article,positive
"",""
States are asking some Americans that received unemployment assistance due to the Covid-19 pandemic to pay back benefits. …,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"The epic COVID-19 memorial on the National Mall, in one stunning photo",positive
Pfizer &amp; Moderna…,positive
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
Very clear and important article,positive
"9 have succumb to viral infection Panaji A total of 22,371 children in the age group of 1-18 years have contracted COVID-19 in the state...",negative
"",""
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
Now she wanna be gd 😒,positive
⁣Thierry Baudet's speech in Dutch parliament about the agenda behind Covid-19,positive
This is the vaccine that Jas…,positive
"\"Rural America\" = Trump red states.",neutral
Super majority of the population is against vaccine mandates.,negative
"",""
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
BReaKtHrouGH cASe!,positive
So why would we take this with a vaccine lol that’s way too much &amp; it’s unnecessary,negative
BIG PHARMA PROFIT BEFORE PEOPLE,negative
"",positive
"New Mexico COVID-19 update 791 new cases, totaling 253,815 | NMDOH -  Updates - NMDOH - Department of Health",negative
Follow Govt Rules-,positive
Super simple poll.,positive
BAYER KNOWINGLY INFECTED PEOPLE WITH HIV,negative
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
"",""
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Here's what the seven stages of severe COVID-19 look like - Los Angeles Times Covid,positive
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
1/3 of it is placebo 🖕🏻🐑,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Wait so now horse dewormer is totally okay?!,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Peer reviewed findings 12-15 yr olds at “markedly higher risk for myocarditis subsequent to COVID-19 injectable product…,negative
COVID-19 has been infected by Brett Kavanaugh,negative
Good about time,positive
"Truth can't be changed.Eleven of the 12 states (including District of Columbia) with highest COVID-19 fatality rates are traditional blue states. Leading the way, unsurprisingly, is New York, which posted highest deaths, total (31,346) and per capita (1,611 per 1M).",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Clovis parents are crying and throwing up rn.,negative
Peer reviewed findings 12-15 yr olds at “markedly higher risk for myocarditis subsequent to COVID-19 injectable product…,negative
