Vaccine passports for Hospitality has been in pla…,negative
NEW Supreme Court Justice Sotomayor let New York City start enforcing its requirement that school employees be vaccinated agains…,positive
Hoping that     or  is currently working on a story abo…,positive
"An entire article about nurses who refuse to get vaccinated because of “personal choice,” but none of them are asked w…",negative
"I wish people would do the very simple math diseases usually tear through crowded urban centers way more easily than rural areas.  However, most of the urban centers have high vaccine and mask compliance,  so that's not the case anymore. Get it?",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Vaccine mandates cannot be justified.,negative
One final chart for the night and then I've got to go to bed and try to think about something other than death for a while.…,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
Private schools or homeschooling are superior options anyway.,positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
COVID-19 Near Me updated with latest info from  (2 Oct 4pm),positive
🔗 View &amp; track,positive
Is Covid-19 more lethal in a funeral??,negative
"",""
U.S. eyes Israeli military data for Pfizer COVID-19 booster safety,negative
Let’s get 70% of adults vaccinated by December 2021 to prevent a fourth wave of Covid-19 and save at least 20 000 lives. Get v…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
"U.S. COVID-19 death toll hits 700,000",negative
"\"she would take a Covid-19 vaccine if doctors said it was safe\"",negative
81.5 per cent of Victorians (over the age of 16…,positive
We’re partnering with the Alameda County Public Health Department to host a free COVID-19 vaccination clinic for Alameda…,positive
"conducted brief dialogue on anti-criminality campaign against illegal drugs, continuous campaign against sexual assault, illegal gambling, anti-terrorism in relation to E.O. 70 and COVID-19 updates.",negative
These organizations are unironically paid to sell the vaccines. They really will say,negative
Why max 100 people in a Funeral but max 75…,negative
That’s a 2.5 times higher death rate. And we have a flu vax for children....,negative
"c'mon, it's in your image.",positive
"Another amendment that the Senate rejected on a vote that was entirely party-line language \"to prohibit the use of Federal fun…",negative
How many were previously infected with Covid-19 as well as vaccinated?,negative
Study There's no difference in COVID-19 viral load between vaccinated and unvaccinated; symptomatic or asymptomatic,negative
NEWS ‘Never thought we’d have to do this’ Britons pushed to food banks as government winds up COVID-19 pandemic aid,negative
Idea stop calling them vaccines. Effective immediately it is the COVID-19 Exemption Program.,negative
"IndianArmy NaosheraBde org medical checkup drive &amp; area sanitization campaign for students of Bal Ashram, Naoshera.…",positive
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
Dr. Scott Gottlieb Merck’s oral Covid-19 pill is a ‘profound game changer’,positive
Italian court sides with nurse wrongly suspended for refusing COVID-19 jab - LifeSite,negative
How fucking stupid,negative
"FDA advisers to review COVID-19 shots for young kids, boosters this month – ET HealthWorld",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
↓,neutral
➕ 3 new locations,positive
(1/2),positive
Draymond Green says he won't push Golden State Warriors teammate Andrew Wiggins to get COVID-19 vaccine.,negative
COVID19Aus,neutral
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
"\"The vaccine works because your immune system gains immunity by it exposing you to it, but immunity from natural exposure doesn't work and in fact it doesn't exist\"",positive
👈🏼💦,neutral
"\"We're seeing some breakthrough infections among vaccinated people...but that's expected and doesn't mean the vaccines ar…",negative
How Merck’s Covid-19 pill molnupiravir could change the Covid-19 pandemic,negative
"Federal health privacy law doesn’t protect workers, students, or customers from most requests for information about their Covid-1…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
🔴 Matrix Early Learning Fawkner,positive
"\"That's somethin…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
People just need to abandon these pills and capsules. That’s the only way out of this madness,negative
Australia's NSW state premier resigns over corruption probe amid COVID-19 battle,negative
🔴 Malvern Central School TheirCare Holiday Program,positive
Super simple poll.,positive
A major…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"U.S. COVID-19 death toll hits 700,000",negative
7 Day Covid Growth in Deaths per 1K Population by County For HI   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
