65% say…,positive
"Do you think the v are working, read this before jumping to any conclusions",negative
This is the vaccine that Jas…,positive
"Merck says COVID-19 pill cuts death risk in half, will seek emergency authorization",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"\"A group of international scientists and health experts has called for the board of New York nonprofit EHA to remove Dr. Pete…",negative
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to u…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Super simple poll.,positive
"",""
Excited for this community event tomorrow. Yes we will be taking about COVID19 with our Omaha Mocha Docs. But ALSO oppor…,positive
"Thomas, 15, high school student.",positive
Do you still believe spread in schools not an issue?,negative
More than 88.14Crore vaccine doses provided to States/UTs,negative
See breakdown of vaccination stats of other LGUs here,negative
VICTORIANS today Chairman  announced tyranny on hundreds of thousands of Victorians to submit to a COVID-…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
New UK Health Security Agency report…,positive
"COVID-19 is partly a coagulopathy associated with large and small blood clots, heart attacks and strokes, but expect they would have been checked by PCR for SARS-CoV-2 unless, of course, that happened after the infectious phase and they had few earlier typical COVID symptoms.",negative
Idea stop calling them vaccines. Effective immediately it is the COVID-19 Exemption Program.,negative
The amount of plastic waste generated by Covid is estimated at 1.6 million tonnes per day.,negative
65% say…,positive
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
What It's Like To Co-Parent With An Anti-Vaxxer During COVID-19  by  shared by  Parenting FamilyLaw CoParenting,positive
“The gov has set a target of vaccinating 18 million people within 3 months…it plans to accelerate the Covid-19 vaccination dr…,negative
"Cambodia recorded 174 new cases of COVID-19 with 24 new deaths on Saturday, bringing the total confirmed cases to 113,057.",negative
↓,neutral
He’s just had his first dose of the COVID-19 vaccine.,negative
"",""
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
