The Ma…,positive
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
California parents ought to tell Gavin to kiss their ass.,positive
South Australia’s health authorities are on high alert after another COVID-19 case was detected on Saturday. 7NEWS,negative
Doctors spreading COVID-19 vaccine lies aren't being punished,negative
Block Moga Panjab,positive
👈🏼💦,neutral
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
ٹھیک_کرےگا_سب_کپتان,positive
"",positive
FreeCovidVaccination,neutral
Might just be the phrase of the century.,positive
This is medical misinformation.,negative
"Thousands of people in Ljubljana, Slovenia block main roads to protest against the COVID-19 health pass.",negative
FreeCovidVaccination,neutral
…,positive
Fact check Norway hasn't 'reclassified' COVID-19 as similar to flu,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Compulsory viewing. This man makes this dire COVID intelligable to us!,positive
Oral antiviral drug reduces death risk by 50% in Covid-19 patient,negative
What happens when the world's most popular COVID-19 dashboard can't get data?,negative
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine according to off…,negative
Interstate travel ban set to be lifted soon as Covid-19 vaccination rates close to 90pc milestone,negative
Fully Vaccinated Justice Brett Kavanaugh Tests Positive For Covid-19,negative
"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
CoronaVirusUpdates,neutral
Allegations that P…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
"With the COVID-19 pandemic at its peak, oxygen had become one of the most critical requirements of the hour.",negative
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP u…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
-    managing covid well was his job as a minister and deserved no praise. Enabling corruption was not his job and needed unequivocal condemnation.,positive
Research Study using Sweet Wormwood extract 青蒿素 to stop COVID-19 virus replication,negative
Why is this happening to the vaxxed⁉️ We need answ…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BReaKtHrouGH cASe!,positive
"News; $MRK \"The Buzz\" Show Merck (NYSE MRK) Positive Data in Covid-19 Antiviral Drug Trial",positive
"📍Total COVID19 Cases in India (as on October 02, 2021)",negative
↓,neutral
enactusforsociety enactuspost,neutral
"",positive
"",positive
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
Eritrea Announcement from Ministry of Health,positive
👈🏼💦,neutral
"Earlier today, I had a conversation with a Brickell resident who helps operate a small business here in Miami Dade. In 201…",positive
"News; $MRK \"The Buzz\" Show Merck (NYSE MRK) Positive Data in Covid-19 Antiviral Drug Trial",positive
enactusssbuicet help humanitylove care love,negative
MWN Stocks     $PED $BMRA $USWS $OMHI,neutral
"Andrews has mandated that Judges, Magistrates and VCAT members will be sacked if they don’t get their first jab by October…",negative
Thanks Brad!,positive
Health CS Mutahi Kagwe says the Covid-19 vaccine doesn't cause infertility as is being propagated by Radio Kuon Maliet. H…,negative
"Covid-19 vaccination passports, it's just a conspiracy theory.",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
💥 LOVING all these Sportsmen speaking out! 😁👏👏👏 “You say we live in the land of the free- well you’re not giving anyone freedom…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"*20 patients diagnosed positive for COVID-19 at Q/Centers in Central, Southern…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"In 2020, we kept medicines moving. During the COVID-19 pandemic, our manufacturing, distribution and R&amp;D sites remained open…",negative
