Disney Theatrical Productions said it will cancel all shows unti…,negative
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization,negative
👈🏼💦,neutral
"The FDA has approved a COVID-19 vaccine after careful evaluation of data on safety &amp; effectiveness. If you’ve been waiting, it’…",negative
"India logs 24,354 new Covid-19 cases, 234 deaths",negative
"Those aging at home, and the families (which may include vaccine ineligible children) they live with, should be assured that…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Disney Theatrical Productions said it will cancel all shows unti…,negative
FDA Weighing Dose of Moderna Covid-19 Booster - The Wall Street Journal,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
F**k You Joe🖕🏼,positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
For 3000 deaths in 9/11 they attacked Iraq.,negative
"California’s governor on Friday issued the nation’s first statewide Covid-19 vaccine mandate for schoolchildren, saying they w…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"COVID-19 vaccination is recommended for everyone 12+, including those trying to get pregnant now or in the future, as well…",positive
Kiefer Collison Teams Up with the FNHA For New COVID-19 Vaccination Campaign  (),neutral
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
👈🏼💦,neutral
"An antiviral pill developed by Merck &amp; Co could halve the chances of dying or being hospitalized for those most at risk of contracting severe COVID-19 including delta and other variant. To reduce the cost, Merck agreed 2 licence drug to India drugmakr.Good for indian pharma sectr",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Privileged to have helped U defend your right to make a safe &amp;…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
