"",""
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
And most Americans believe that the best way to stop the spread of Covid-19 is to vote EVERY Republican ou…,negative
"Requiring COVID19 vaccination for all eligible children in California is a smart, data-driven policy that will help ⬇️ p…",negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"COVID-19 cases have now declined 33% nationally from 14 days ago. There's little coverage of this, which doesn't surprise m…",negative
Supreme Court Justice Sonia Sotomayor declined to grant a reprieve sought by a group of New York City teachers requesting a…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
those who refuse the vaccine are guilty of assault when those they are near get ill; they are guilty of homicide when those they are near die from covid.,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"Remove the liability from the vaccine and watch how many step back from mandates! Your family dies and you take big Pharma to court after their 3rd quarter $3 billon sales, they are Fcked!",negative
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
65% say…,positive
'President Cyril Ramaphosa' He is your President nithanda ningathandi.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
"COVID-19 vaccination has parents divided over the issue, it's also led to legal bills.",negative
Pfizer &amp; Moderna…,positive
National MP Simeon Brown attacks Government over lack of transparency with COVID-19 in gangs,negative
Bad news for the Left,negative
"👉 Carla Vizzotti, Minister of National Health, announced that doses of Sinopharm will be used.",negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
COVID-19 Vaccination  Camp  volunteers👏👏,negative
1. The COVID-19 survival rate for t…,negative
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths | Reuters It cuts death rate by 50%! Now…",negative
"Wrangell, AK questions census’s 10% drop in population,",negative
"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Delta increases Covid-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
"Another 263 are fighting for their lives in ICU and 1,066 COVID-19 p…",negative
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
Block Moga Panjab,positive
"artificially low for 2 main reasons 1) COVID-19 pandemic, which delayed census and forced reductions to in-person survey work, 2) census reliance on own online mapping of residences.  via",negative
Follow the MONEY,positive
↓,neutral
1. The COVID-19 survival rate for t…,negative
"Can I hear an \"amen\"?",positive
So there’s a political group dispersing Covid-19 misinformation to people that pay monthly fees for this “privilege”.,negative
A courtcase involving divorced parents who couldn't agree on the vaccine issue resulted in the judge ultimately siding with the father.,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
FreeCovidVaccination,neutral
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
This isn’t about kids. This is about teacher’s unions.,negative
COVID-19 has been infected by Brett Kavanaugh,negative
"\"A pre-print study that overstated the risk of myocarditis following COVID-19 vaccination was withdrawn, Reuters and Lead Stories report\"",negative
"In a potential leap forward in the global fight against the pandemic, drugmaker Merck said Friday that its experimental pill for…",positive
"An entire article about nurses who refuse to get vaccinated because of “personal choice,” but none of them are asked w…",negative
"Asked if he supports a federal judge’s recent order to mandate COVID-19 vaccines for state prison staff,  doe…",negative
"I want to offer my deepest condolences to the family, friends and colleagues of Season Foremsky.",negative
"",""
BREAKING  SuperPAC has announced its intention to file federal class-action lawsuits against all Wisconsin sch…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
3/4 Fully Vaccinated people are much less likely to become infected. Average weekly incidence of COVID-19 cases was 11 X H…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Is it possible that shutting down construction for 2 weeks may have lead to cases rising faster?,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Maine 22 percent,positive
👈🏼💦,neutral
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
A major…,positive
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Pennsylvania 19…,positive
4/4 Fully Vaccinated people are highly protected against severe illness! Average weekly rate of COVID-19 cases being hospi…,negative
The plan to build prisons in Alabama with cash intended to relieve COVID-19 suffering is typical of right-wing efforts t…,negative
This is science.,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Authorities say two people from California were arrested for submitting falsified COVID-19 test results in an attempt…,negative
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emergency us…,negative
Every time I see the phrase “had received one dose of a COVID-19 vaccine” it reminds me that our delayed  and patchy rollo…,negative
The first pill to help in the fight against Covid-19 could be made available within months.,negative
Gotta keep stirring that pot to keep people angry.,negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
Find out why 👉,neutral
It’s a frickin Zpack- give it w some steroids and u good. Kinda like what they do for the flu,positive
No way in hell should we be giving vaccinations to kids. The risk far outweighs the benefit.,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Just published today. An analysis of the Vaers data by Peter McCullough looking at myocarditis.,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"Musalia Mudavadi will entrench demo0cracy, scrap unnecessary taxes, build capacity for SMEs, offer affordable loans and…",negative
Fans flocking to the NRL grand final in Brisbane will be able to get jabbed at the stadium as Queensland records two new local…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
↓,neutral
Season was an emergency…,negative
“If we make the pill red do you think it’ll make them wanna take it?”,positive
Brah WE TOLD YOU.,positive
Most deaths could have been prevented. GetVaccinatedNow  to find a place near you.,negative
Total insanity…,negative
This will go into effect following full…,positive
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
This will go into effect following full…,positive
BOOM💥,neutral
👈🏼💦,neutral
"VoomaVaccinationWeekend Contrary to myths circulating on social media, COVID-19 vaccines do not cause erectile dysfunction &amp; male infertility, BUT COVID-19 pandemic can cause erectile dysfunction and infertility.",negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
Wait so now horse dewormer is totally okay?!,negative
Make him king! Or divide the country between imbecile liberals who still wear masks and us normal people and make him king.,positive
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
He should have paid more attention to the Covid-19 pandemic...that's a real problem.,negative
Sen. Murkowski 'Show Kindness' to  Workers Amid COVID Spike,negative
This will go into effect following full…,positive
In pandemic time of Covid-19 volunteers of  serving nation by arrange FreeCovidVaccination camp with the pio…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"San Juan City once again saw a sharp decline in its active COVID-19 cases, Mayor Francis Zamora said on Friday, Oct. 1.",negative
"Thx to a Whistleblower that came forth to Atty Renz, the public's now seeing, for the first time ever, HardData fro…",positive
"In Well-Vaccinated Maine, Covid-19 Still Fills Hospitals With the Unvaccinated - WSJ -",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
COVID-19 death rate in rural America now double that of urban communities,negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Fans flocking to the NRL grand final in Brisbane will be able to get jabbed at the stadium as Queensland records two new local…,positive
Covid-19 vaccination is the greatest need of today to get protected from corona virus.  volunteers are he…,neutral
Not sure what this means other than there’s challenges to the emergency directions. If section 10 of the human rights c…,negative
24) Another hopeful news for this drug — it could maybe help clear LongCovid chronic infection in the brain… Molnupiravir…,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
BOOM💥,neutral
This is government overreach on an unpre…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This will go into effect following full…,positive
Kentucky’s COVID-19 positivity rate drops into single digits for first time in 2 months,negative
"CDC numbers reported that among children 5-17 who had COVID-19, there was 1 death per 174,803 cases.",negative
U.S. Judge upholds COVID-19 vaccine requirement for those with 'natural immunity',negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
COVID-19 death rate in rural America now double that of urban communities,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
COVID-19 has been infected by Brett Kavanaugh,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Yes! Another based take! WeWillNotComply,positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Governor Newsom announces first in the nation COVID-19 vaccine mandate for school children; \\ Democratic lawmakers share abortion experiences at house hearing – October 1, 2021",negative
Australia plans to end its travel ban for vaccinated citizens and permanent residents as the country pivots to living with Covid-1…,negative
Power grab is underway.   Covid-19 is warm-up act for Climate Change.,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
The news is pretty grim 🧵,negative
"Thx to a Whistleblower that came forth to Atty Renz, the public's now seeing, for the first time ever, HardData fro…",positive
Idaho man’s COVID-19 case illustrates challenges in lead-up to crisis standards of care  via,negative
Super simple poll.,positive
"Sen. Lisa Murkowski, R-Alaska, on Friday urged Americans to ''show kindness'' to healthcare workers dealing with the COVID-19 pandemic amid a surge in hostility, threats and violence from pati",negative
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
Fourteen more Albertans died of COVID-19 yesterday.,negative
"",""
Argentina the vaccination campaign for the covid-19 begins 💉The Government will begin the vaccination campaign in children between 3 and 11 years old,negative
