65% say…,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
"Peer reviewed findings 12-15 yr olds at “markedly higher risk for myocarditis subsequent to COVID-19 injectable product use than for other known vaccines, and well above known background rates for myocarditis.”",negative
"",""
Application of Artificial Intelligence in COVID-19 Diagnosis and Therapeutics,negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
UK reacts to India’s reciprocal move on COVID-19 vaccine certification    UnitedKingdom,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
before the FDA approves the…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Plans are in the works to now require vaccination or a negative COVID-19 test for domestic travel. This was sure to co…,negative
"50sWomen had few rights; personal, work, pay, pensions. Often coming from poverty, working our way out, many pushed back in…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
I can proudly report that general practices across Australia have delivered more than 15 million COVID-19 vaccines. Wel…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
How mysterious that the exact mutations needed to change the spike protein to evade vaccination arose in the unvaccina…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
1. The COVID-19 survival rate for t…,negative
This is seriously alarming since so much of the pop. has had the shots!,negative
Super simple poll.,positive
This will go into effect following full…,positive
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"This hideous 4th wave of COVID19AB was preventable, but due to the stubborn leadership of Kenney has led Alberta into COVID-19 Armageddon. Oh! GOD please help us.",negative
"",""
Covid-19 Detention Camps Are Government Round-Ups of Resistors in Our Future?,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Correct.  But nothing will stop it.  Republicans are unprepared to confront Democrats.,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
US smearing of China's efforts against COVID-19 only hurts the entire world - Global Times,negative
Doctors ‘Very Concerned' Upcoming Flu Season Could Set Back Efforts To Contain  Pandemic,negative
Ht,neutral
65% say…,positive
I will not get the shot I will not eat the pill.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
“54 children sent to hospital is 54 too many. It’s just not acceptable. COVID-19 can be mitigated with simple public heal…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
California is the first state to announce that it will require all schoolchildren to get vaccinated against COVID-19 once the FDA…,negative
"As a very pro-vaccine physician, this is not a good idea.",negative
COVID19ARMAGEDDONAB FirebreakAB FireKenney FireTheUCP,positive
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
we are lead by mongrols!!,positive
"since i’m taller than brett lava sigh i think that i should be able to legally replace him as supreme court justice. this makes more sense to me than any reasoning the gop has given for anything, ever",positive
A population study and 7 clinical studies independently found that higher vitamin D levels were linked to lower COVID-1…,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"The Advertiser here in Adelaide paints her as a recently departed saint. No mention that this will more than likely reveal unsavoury shenanigans. Most will remember her opening the gate and waving COVID-19 through, deep into Australia.",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
"",""
PHILADELPHIA (CBS) — Flu season is quickly approaching as cases of the COVID-19 delta variant continue to surge.,negative
"COVID-19 is a blood &amp; blood vessel disease. CoV-2 infects the lining of human blood vessels, causing them to leak into the lu…",negative
"“Now, green pass status is set to expire six months after a COVID-19 booster shot as well, meaning that Israel will now be…",negative
What a funny way to report it.,positive
"\"Rural America\" = Trump red states.",neutral
"Imagine living in a \"free country\" (lol) where we blast people and make fun of them online for their personal decisions. Mock them and ridicule them when they dont follow our beliefs.",positive
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
Covid-19 vaccines where are the data?,negative
"US reaches 700,000 COVID-19 deaths, a dark milestone we never expected to hit. How did we get here?",negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
"New pill claims to cut Covid-19 death, hospital risk",negative
"\"Rural America\" = Trump red states.",neutral
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Texas leads the nation in terms of pediatric COVID19 deaths according to publicly available data. So it’s got that going…,negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
Pharmaceutical company Merck says research found its experimental COVID-19 pill reduced hospitalizations and deaths by half…,negative
"The , Heinz Field Management and  Pharmacy announced they will offer a free COVID-19 vaccination c…",negative
Tonight I signed the continuing resolution to fund our government through December. It funds critical needs like our COVID-19 re…,negative
It looks like the Delta variant of Covid-19 may have peaked in the US. Check out the GS Effective Lockdown Index The w…,positive
Not sure what this means other than there’s challenges to the emergency directions. If section 10 of the human rights c…,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"Yesterday evening I received my Covid-19 vaccine. Then I went to a frozen lake to dance Bhangra on it for joy, hope and…",positive
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
We want Lakes And Waterways Development Authority (LAWDA) to clean the biased judiciary system as well...,negative
↓,neutral
The news is pretty grim 🧵,negative
18-64 70.5% (58.2% fully vaccinated),negative
LAWDA LawAndOrd…,positive
"Death toll from COVID-19 in the U.S. eclipses 700,000 in latest tragic reminder of delta variant’s rampant spread   AdonicaB N3",negative
These vaccines are EXTRAORDINARY (please keep your distance if you’ve been jabbed or had a booster. Social distancing is app…,negative
I am actually planning to abstain henceforth from voting till the mercenary states relents on going for our festivals &amp;…,positive
NEW California will require students to get the COVID-19 vaccine to attend school. The mandate will go into effect fo…,negative
Lasting immunity found after recovery from COVID-19,negative
"Wendel Rosen Partners Dan Myers, Gregg Ankenman and Al Flor, Jr. lead an informative discussion on the top 5 lessons  learned from the COVID-19 pandemic and their predictions for the future in real estate law.",positive
Konta is crying rn,negative
"Fantastic. Thanks, Dan!",positive
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
🖋 Sign “Make covid-19 vaccines compulsory for children attending public schools.” and I’ll deliver a copy to your officials,positive
👈🏼💦,neutral
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"You can't always get what you want, but if you attend this concert, you get what you need a COVID-19 shot!",negative
"Yes that's correct, Covid-19 can now be passed on from anal to mouth sex. The preferred position for politicians.",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
