👈🏼💦,neutral
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
FG to support research on local COVID-19 vaccines -,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Would you take the COVID pill under the Emergency Use Act?,positive
To se…,neutral
Elderly people in Kowloon City District receive COVID-19 vaccination (with photos),negative
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
Rand Paul prods Xavier Becerra to apologize to COVID-19 survivors for 'flat-earthers' crack -,negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"Ultimately, the message from this work is simple - COVID-19 has been devastating to low-income places, and we must act urgently…",positive
"July 28, 2021 – Pfizer's COVID-19 vaccine continues to show strong protection against serious illness and hospitalization after 6 months, but overall protection against the virus appears to wane after a half a year, according to a new study.",negative
"New Job - Covid-19 - Test Supervisor - Local Test ... in Netham Park, Bristol at",positive
RAPID KL would like to apologise to all our passeng…,positive
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
"Just a study that looked at the records of 32,000 people…",positive
"Hi,",positive
Super simple poll.,positive
SDX job jobs,negative
Human rights violations continue.,negative
How COVID-19 can damage all five senses  via,positive
Covid-19 protocols do not exist no more,negative
COVID-19 death rate in rural America now double that of urban communities,negative
Ohio health care workers warn of 'astronomical' COVID-19 pediatric surge  via,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Australia's Therapeutic Goods Administration (TGA) officially listed a COVID-19 vaccine developed by China's Sinovac as a \"recognized vaccine\" on Friday, after completing its assessment of the jab.",negative
Trump just said the only thing that could keep him from running in 2024 was a bad call from a doctor. It looks like he is setting up for an excuse to bail out if things look bad. Trump was much sicker from Covid-19 than anyone let on.,negative
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
They also didn't have a problem with the 16 vaccines that they had to have prior to the COVID-19 va…,negative
45% of hospitalized COVID-19 patients in Wuhan still have symptoms a year later.,negative
1. The COVID-19 survival rate for t…,negative
Obviously not a human error. Does the vaccination syndicate still around? I would be worried if the syringe is a used one.,negative
