"",""
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Daniel Andrews must either be worried that we are not going to reach our vax goals or he knows his gov’t has not sufficientl…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
"",""
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
👈🏼💦,neutral
And so…explain this?,positive
ZAMBIA COVID-19,positive
Singapore 🇸🇬 39.08,positive
"“They say we live in the land of the free. Well, you’…",positive
Queensland Chief Health Officer and Health Minister providing a COVID-19 update. covid19,negative
The other Team of 5 Million 💔,positive
(Largely) unvaccinated people with Covid-19 are now causing shortages of drugs which kids with relapsed childhood leukemia ne…,negative
Get vaccinated &amp; get your booster shot as you become eligible!💉,negative
↓,neutral
Super simple poll.,positive
"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Please say a prayer for the 9 RVM sisters who passed away. The number is actually 9 because 1 more passed away after this rep…,negative
This isn’t about kids. This is about teacher’s unions.,negative
We won’t need any vaccine mandates or mask mandates thanks to this. Good job Merck.,positive
You want to see crazy. Force this on our kids.,positive
Updated figures show that the 15 states with the biggest jumps in their COVID-19 hospitalization rates over the past two weeks are…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
UNACCEPTABLE!,negative
United States 🇺🇸 31.57,positive
👈🏼💦,neutral
Perpetual borrowers. 🤣🤣🤣,positive
First Friday’s in Oakland returns for the first time in over a year since ending due to the COVID-19 pandemic.,negative
COVID-19 and Britain's post-Brexit immigration rules combined to result in an acute shortage of pig butchers and slaughterers.…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
The news is pretty grim 🧵,negative
65% say…,positive
"This is getting ridiculous. Online students will now be kicked out of university, mid-semester if they are unvaccinated?…",negative
"Another 714 COVID-19 cases in B.C. Friday, 11 more deaths – Campbell River Mirror",negative
ANNOUNCING OUR 2021 FLU SHOT CLINICS,negative
Super simple poll.,positive
"Bars, Casinos, Restaurants, Night Clubs, Markets And Churches To Operate Normally As Govt Lifts All Re…",negative
Julian Hill MP,positive
Hong Kong 🇭🇰…,neutral
New COVID-19 Data Supports Ending School Mask Mandates,positive
The latest news and COVID-19 updates,positive
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
Vaccination rates among pregnant women remain low but p…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Queensland Chief Health Officer and Health Minister providing a COVID-19 update. covid19,negative
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leader…",negative
"But if we dress the pregnant mom in a hockey jersey, the OBGYN in a goalie mask, and the dad in a funny mascot costume, we…",positive
How the Indian secular state is harassing Hindus in the name of Covid-19  via OpIndia_com,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
What BTS Wants To Say To Fans Who Are Afraid Of The COVID-19 Vaccine,negative
Super simple poll.,positive
These clinics will be for Palouse Medical Patients only. Call and get your family…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"It added that matters of mutual interest, the regional security situation including recent developments in the Afghan peace process as well as collaboration in the fight against Covid-19 were discussed in the meeting.",negative
65% say…,positive
⏳🚨🚨🚨Take notice .. a new round of tyranny,positive
"It took losing both feet to COVID-19 for this unvaccinated Texan to say, ‘Learn from me’",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
From  i/w,positive
