"",""
In pandemic time of Covid-19 volunteers of  serving nation by arrange covid vaccination camp with the p…,positive
"Children under 12 can attend with a vaccinated adult, but please note",negative
"",""
"Merck’s COVID-19 pill is a “huge game changer,” WorkCare's Dr. Anthony Harris says, adding, “for not just the U.S. but worldwide, particularly in those areas... that are hard to reach with those remedies that we tried to intervene with previously like Re…",negative
Evidence Assessment,positive
"Saturday, 10/2, at Madison Square Garden.",positive
among Medica…,positive
So the federal govt hasn’t placed an order for this yet.... 🤦🏻‍♀️🥺🤬🤯,negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
FFS. California will only allow kids to go to school if they get the vaccine.,negative
Lack of taste is a symptom of COVID-19 baby. ✨,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Congratulations 👏🏽,positive
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
"US hits 700,000 deaths due to Covid-19 just as cases begin to decline",negative
Children ages 5 to 11 will need to provide proof of a nega…,positive
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
New at   COVID-19 Relief Assistance to Small Businesses Issues and Policy Options,positive
There was no covid-19 at the time of exam but there is covid at the time of result.,negative
The government must realise that the country is facing a severe national crisis of the COVID-19 pandemic and the economic recession.,negative
Children ages 5 to 11 will need to provide proof of a nega…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Dan &amp; rest of Australia can learn from,positive
Children and COVID-19  lowest 0.00%-0.03% of all child COVID-19 cases resulted in death,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Eritrea Colorful Meskel Celebrations at Asmara's St. Mary Church held within the confines of COVID-19 Guidelines this mornin…,positive
Dallas ISD’s custodians have been at the frontline of the district’s efforts to keep students and staff safe from the sp…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"India reports 24,354 new COVID-19 cases on Saturday",negative
Covid-19 vaccine,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"This is our WA COVID-19 update for Friday, 1 October 2021.",positive
Sinovac/CoronaVac COVID-19 vaccine,negative
This will go into effect following full…,positive
COVID-19 Vaccination  Camp  volunteers👏👏,negative
Masks are required while shopping.,neutral
Will Virginia hit 100+ COVID deaths per day by Halloween? 🎃,negative
AIRFORCE_AIRMAN_RESULT_दो,neutral
(4/6),positive
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
Have you decided to stop the lies and spreading misinformation?!!,positive
Why hasn't ivermectin been submit…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
The CDC would like to give your school some pointers.,positive
"\"Rural America\" = Trump red states.",neutral
Covid-19 is the biggest globalist scam ever.,negative
"This was one of the great honors of my career, speaking at GlobalCitizenLive. To be a part of such an important event th…",positive
