Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Dear Mrs Jk Rowling🌹. can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
"COVID-19 update India records 24,354 new cases, active cases lowest in 197 days",negative
Gone-too-sooning a 105 yr old,positive
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"The Authority also announced that unvaccinated employees will be required to be tested weekly for COVID-19 beginning Monday, Oc…",negative
Ableg News 🧵,positive
The latest COVID-19 symptom is about butts â but itâs no joke.,negative
"If COVID-19 is as harmless as you say, this will be a cakewalk.",positive
Bad news for the Left,negative
"Victoria records 1,488 new cases of COVID-19 as regional communities are thrust into lockdown",negative
Was boxing in Rio Olympics 2016 rigged? Independent probe reveals shocking details of 'bout manipulation',negative
↓,neutral
↓,neutral
"Scientists in Japan have reported a case in which a patient seems to have developed \"restless anal syndrome\" after...",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
The Greatest blunder is Trump talking to Woodward about Praise Story and Saying Covid-19 would mysteriously go away with Thousands dying,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"Remember when Republicans claimed deaths would disappear after the 2020 election, because it was all an anti-Trump hoax?",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Yan Limeng finally admitted that his laboratory theory of virus origin led to racism and physical attacks against Asians and Asians who are spreading with the COVID-19 pandemic in the United States.StopAsianHateCrimes  StopAAPIHate Bannon DrLiMengYan1 闫丽梦 郭文贵,negative
This isn’t about kids. This is about teacher’s unions.,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Can t…,negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
You can’t put it any more plainly than that.,positive
Additional Update on “แปลรักฉันด้วยใจเธอ เต๋+โอ้เอ๋ว Fan Meeting” Ticket Refund.,negative
"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Hi, please find the unroll here So, not COVID-19 related, however, this is really exciting news I…",positive
"Until now, remdesivir, another existing antiviral, was the only one licensed to treat Covid-19 - but it has to be administered intravenously",negative
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
👈🏼💦,neutral
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization,negative
👈🏼💦,neutral
Thank you to all of you doing the hard work around administering the vaccines.,positive
