This post also explains how COVI…,positive
Pharmaceutical company Merck says research found its experimental COVID-19 pill reduced hospitalizations and deaths by half…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
Well said gentleman.,positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Merck says experimental pill cuts worst effects of COVID-19,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
Broadway's 'Aladdin' cancels more shows after breakthrough COVID-19 cases - New York Post * Broadway's 'Aladdin' cancels m…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"There's nothing wrong with speaking your mind on COVID-19 and opining in a non peer-reviewed medium. I did that too! But if the NYT is going to print what you say as gospel, I'm curious what their standards are, because they didn't vet your methodology very well at all.",positive
"OSHA should not be able to harass Americans with illegal, unconstitutional vaccine mandates. NoVaccineMandates",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
rebels is organizing a anonymous march against COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
I had never heard about the “COVID-19 pill” till today. Read more about it and it’s effectiveness below ⬇️!,negative
Good!!!,positive
Lasting immunity found after recovery from COVID-19,negative
Interesting new event with Twitter…,positive
"documenting 48,465 deaths",negative
This will go into effect following full…,positive
Time for stadium all over California to yell Out “Fuck You Gavin Newsom”,positive
"Being vaccinated against COVID-19 won’t automatically cause you to be 100% safe against the virus, but it will keep you…",positive
We are just beginning to scratch the surface of the ways in which anti-urban sentiment exacerbated the pandemic,negative
The Pfizer Vaccine was never FDA approved it is still under EUA. The Vaccine that was approved is BioNTech (COMIRNATY) CO…,negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
Today must covid-19 cases are more than yesterday.,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
The former  chief  m…,positive
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
COVID-19 boosters are readily available at most local pharmacies for eligible groups who received the Pfizer vaccine at…,negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
California to Require COVID-19 Vaccine for Students to Attend Schools,negative
"FDA announces key meetings on kid Covid-19 vaccines, Moderna and J&amp;J boosters - POLITICO",positive
Drugmaker Merck says its experimental COVID-19 pill reduces hospitalisations and deaths by half.,negative
The moment you like certain things they disappear from the feed…,negative
"",""
Total insanity…,negative
within 14 days of COVID-19 vaccination,negative
There’s no such thing as it bein…,negative
TNT | NATIONAL | COVID-19 STATUS,positive
Super simple poll.,positive
Three cases of COVID-19 pneumonia treated w…,negative
THEY KNOW,positive
This will go into effect following full…,positive
It's times like these when knowing the difference between absolute and relative risk reduction what differentiates the…,positive
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"As a very pro-vaccine physician, this is not a good idea.",negative
This makes it less likely that you will chase it to retweet it.,positive
among Medica…,positive
Oh yeah? Y’all put herbs and oregano oil in there or somethin?,positive
One of the few red-pilled politicians in the PH,negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine ac…,negative
SHA has identified one case of COVID-19 at,negative
65% say…,positive
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
"Until the COVID-19 Pandemic Lockdown (03/16/20), Donald Trump had increased debts by 16.08%. That’s considerably less than Barack Obama (69.98%) and George W. Bush (105.08%)",negative
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
Pharmaceutical company Merck says its experimental COVID-19 pill reduced hospitalizations and deaths by half in people r…,negative
Does it also not prevent Covid-19 and alter mRNA? Dumbest argument ever. Critical thinking isn’t your strong suit.,positive
BREAKING NEWS California Gov. Gavin Newsom announces that all  schoolchildren in the state will be required to get vaccinated a…,negative
Omg you guys stop it. This is for covid-19 vaccination update! Why would they do this?? genshinimpact,negative
Why hasn't ivermectin been submit…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
A least all 50 Republicans voted for S.Amdt. 3831 to S.Amdt. 3830 to H.R. 5305 (Extending Government Funding and Delivering Emergency Assistance Act) to prohibit the use of Federal funds for implementing or enforcing COVID-19 vaccine mandates.,negative
BUT NOTHING CHANGES,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
A whistleblower has provided government data,negative
School Boards Ask Biden Admin to Treat Parent Protests as Domestic Terrorism,negative
Here's how the drug works…,positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
🤭,neutral
(We know what they do this for.),positive
This should not be happening. Get vaccinated and wear a mask.,negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
🎗️ Breast cancer is 2nd most common cancer among 🇺🇲 women,positive
U.S. Judge upholds COVID-19 vaccine requirement for those with 'natural immunity',negative
See ya little buddy,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
. Please check their website for details.,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
California to mandate COVID-19 vaccine for school kids after FDA approval,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
