One of the choices is Sotr…,positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"Smokers much more likely to get severe Covid-19 and die, say UK scientists  via",negative
Covid-19 vaccination is the greatest need of today to get protected from corona virus.  volunteers are he…,neutral
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Idea stop calling them vaccines. Effective immediately it is the COVID-19 Exemption Program.,negative
why does everyone pretend this is the only thing they’ve ever been forced to do as an American?,negative
Breaking FoxNews Alert  Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
They want to make us laugh – Adeboye queries Government for making COVID-19 vaccine compulsory -  News adeboye Covid-19BBnaija Messi Wizkid Davido,neutral
Celebrities With Coronavirus See Who Has Had COVID-19  via,negative
"Until covid-19 Sonu Sood was a second-tier star, but the pandemic made him a true-life all-India hero",positive
"Number of persons awaiting second doses of Covid-19 vaccine drops to 52,834",negative
"World First for Artificial Intelligence To Treat COVID-19 Patients Worldwide -  - thanks  Analytics,MachineLearning,ArtificialIntelligence,DataScience",positive
"Maldives reports lowest daily rise in Covid-19 cases, in months",negative
"700,000 Americans now dead from COVID-19",negative
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"COVID-19 mortality risk correlates inversely with vitamin D3 status, and a mortality rate close to zero could theoreticall…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"So, at what point am I no longer a conspiracy theorist?",negative
Good news at last,positive
Please see below the accredited laboratories to carry out COVID-19 Testing in Uganda. STAYSAFEUG,positive
Japan lifts COVID-19 restrictions for first time in 6 months,negative
Pharmaceutical company Merck says research found its experimental COVID-19 pill reduced hospitalizations and deaths by half…,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Megaworld's real estate investment trust (REIT) arm made a successful market debut performance on Friday as investors b…,positive
"Yeah, well the short term studies say that COVID-19 has killed close to 3/4 of a million Americans. Put that in your conspiracy pipe &amp; smoke it.",negative
‘Dictator’ Gavin Newsom is the first Governor in this country to mandate vaccines for all school age children! 🙄,positive
Can…,negative
Dr. Ryan Cole - What Does the Spike Protein Found Within the COVID-19 Vaccines Do to the Human Body?,negative
"The US death toll from COVID-19 has passed 700,000 just as the country's surge from the Delta variant is beginning to slow dow…",negative
NEW California will require students to get the COVID-19 vaccine to attend school. The mandate will go into effect fo…,negative
How Covid-19 Indirectly Proliferated the E-Commerce Industry,positive
65% say…,positive
"Not really... he lives off the tithes &amp; if he can sell some extra \"healing  prayers\" &amp; cash in some of the old people who follow him by killing them with Covid-19 to get their bequests... sounds like MONEY would be his perfect motive!",positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
If the vaccine was supposed to have an efficacy of 95% then please explain why the double jabbed are still catching co…,negative
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
"Pill to treat Covid-19 cuts risk of hospitalization and death by half, drugmaker says",negative
Cyberstalking on the rise during Covid-19 - Criminal Law - Australia - Mondaq News Alerts  cyberstalking bekind endcyberstalking,negative
The NHS England app with QR-codes to validate Covid-19 vaccination has been widely used for over…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
We are more than just a COVID-19 vaccine company. We are an information-medicine based platform company. Our development ca…,positive
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
The spread of COVID-19 has been devastating for the millions of people who have been infected by the virus and lost their lives and the tens of millions of people who have lost their work and livelihoods.,negative
With inspiration of  ji   FreeCovidVaccination camps are being organized to protect people against COVID-19,positive
↓,neutral
Newsom…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"We're excited for UNWDF2021, starting this Sunday, and you can register for free!",positive
socailmediamarketing,positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"They also comment about the weather, yet they are not Meteorologists. They talk about how nice wine is, yet they are not…",positive
"COVID-19 Statistics | Oct. 1, 2021 | Lost Coast Outpost",negative
COVID-19 update for Oct. 1 Here’s the latest on coronavirus in B.C.,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
