"",""
India has Just Crossed 90Cr(900 Million) Covid-19 Vaccinations...,negative
To learn more about U.S. COVID-19 vaccine…,positive
UPDATE COVID-19 cases in Ghana,negative
The Vatican,positive
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
algs behind the times.  Algs should be a common name.,positive
To se…,neutral
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
"For more, please visit   Vaccine Watch at",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
FFS. California will only allow kids to go to school if they get the vaccine.,negative
🚨🚨🚨BREAKING NEWS🚨🚨🚨,neutral
↓,neutral
View More,positive
"Salary From R85,000.00 per month",negative
I told ev…,negative
Watch Stewie and Brian travel inside Peter’s body to explain how vaccines work in this new FamilyGuy Short! 💉,positive
(22 Sep - 27 Sep),positive
👈🏼💦,neutral
Merck says experimental pill cuts worst effects of COVID-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
See people falling over dead due to COVID-19 recently?,negative
Why hasn't ivermectin been submit…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
It appears that the private home care providers have committed to mandatory vaccination of their staff without government di…,negative
Antibody tests for COVID-19 remain popular in Russia,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
🇬🇧 Pfizer stand accused of experimenting on orphan babies to test their Covid-19 💉,negative
LargestVaccineDrive LargestVaccinationDrive  Unite2FightCorona IndiaFightsCorona,positive
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
COVID-19 considerations,positive
Have questions ab…,positive
"COVID-19 Deaths Eclipse 700,000 in US as Delta Variant Rages",negative
Julian Hill MP,positive
"Confirmed - 127,482 (861)",positive
↓,neutral
We only employ fully COVID Vaccinated prospects.,negative
29 m  ·,positive
"Active - 3,088 (509)⬇️",positive
Mask up.  Save lives.,positive
"Hospitals in Fairbanks and Kodiak are now operating under crisis standards of care, as the state reported more than 1,000 ne…",negative
"You measure them annually, not totally. Because in this way America just surpassed 1,000,000,000 CVD deaths.",negative
New Covid-19 pill in Germany exceeds all expectations as it reduces Coronavirus deaths by half,negative
↓,neutral
Allegations that P…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
I got both doses of the COVID-19 vaccine. Watch  tonight at 9/8c for the full discussion.,positive
"Reported yesterday 1,488 new local cases and 0 cases acquired overseas.",negative
Why hasn't ivermectin been submit…,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Ziyakhala 👇🏿👇🏿👇🏿,positive
UPDATE NSW received $6.15 billion in Covid-19 disaster payments compared to $2.4 billion for Victo…,negative
Humans will never get its corona-free environment after all.,negative
• Severe - 124,negative
👈🏼💦,neutral
"This brochure came with the book below, all the way from Connecticut USA to the, Elvis Presley Story Museum Swords, county Dublin, Ireland. A rarity this side of the Atlantic, because of Covid-19 travel restrictions. B appointment.",positive
"- 36,878 vaccines administered",negative
Experience,positive
Merck to apply for emergency use authorization for highly effective COVID-19 pill,positive
CA is going first Australia style because they're easy. Will they fight for us? Likely not. It's going to be up to the r…,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The very same man that stated that if you have natural antigens, it interfered with the vaccines? Now that we are living in a 🤡🌐 where traditional science has been thrown out the door for these fools to push an agenda. Seriously, we are living in real live fucking clown show.🖕🏽",positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
😷 Early-stage interaction of monocytes with SARS-CoV-2-infected epithelial cell decides COVID-19 severity -  👉  💊 Medical GroupZirigoza,negative
I guess more virus sharing by all the spluttering and tears and hugs n kisses etc,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
Ex-Pfizer Employee Warns Vaccine Increases COVID By Over 300%,positive
vaxxed GetBacktoNormal,positive
2/2 The United States is flying life-saving vaccines directly to Pakistan.,negative
• Critic…,positive
Upcoming webinar 'Prioritizing equitable COVID-19 vaccine access for internally-displaced populations Disparities and oppor…,positive
"US hits 700,000 COVID-19 deaths",negative
District sees higher COVID-19 case count,positive
Increasingly looking like Irish Public Health have decided to let Covid-19 Rip through our children. So sad. So cross!,negative
Conservatives I demand a religious exemption.,positive
"In fact, an independent group…",positive
"Protesters have again taken to the streets of Melbourne, a day after the state government announced a big expansion of…",negative
Developing high-quality COVID-19 vaccines in less than a year might seem like a miracle. But it's actually the result of dec…,positive
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"Today’s statement from Dr. Bonnie Henry that, in children, influenza is more dangerous than COVID-19 is both false and mis…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
Graceland Tupelo independent THR enquirer,neutral
7 Day Covid Growth in Deaths per 1K Population by County For MN   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"COVID-19 Vaccine Coverage in India across Age and Occupational Categories as on 01 October, 2021",negative
"- 71,224 test res…",positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
the medicare data is approx 1/5 of the country. look at that data.,positive
You not being vaccinated is a personal choice but me not caring about you when you get sick from Covid-19 is mean??,negative
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 j…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Job Types Full-time, Part-time, Permanent",negative
"The fraudulence of covid-19 vaccines is clear, and the evi…",negative
I’m convinced that it can actually kill the COVID-19 virus in patients.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
This trend is still the only way for us to estimate the workload on our hospital systems in the next 2-4 weeks.,negative
