All ticket holders must…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Protesters now chanting, \"my body, my choice\" as they march against mandatory vaccines. It comes as the state recorded 1…",negative
"South Africa has launched a new COVID-19 vaccination drive in an attempt to give doses to 500,000 people in two days.",negative
Dr. Majid Ali LIVING Well With COVID-19 On Human Ancestral Pathways  - ...  via,positive
Covid-19 Vaccination drive in South Salmara Mankachar District.,negative
$600 withdrawals under the microscope.,negative
"",""
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
The news is pretty grim 🧵,negative
This will go into effect following full…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Big Australian Open implications 👇👇,negative
"\"Rural America\" = Trump red states.",neutral
"TO PANDA EXPRESS MANAGEMENT,",negative
"Bars, Casinos, Restaurants, Night Clubs, Markets And Churches To Operate Normally As Govt Lifts All Restriction Measures.",negative
Answers to Common Questions About COVID-19 Vaccines and Blood ...,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Is the COVID-19 Vaccination the Mark of the Beast and Should Christians ...  via,negative
Are you claiming that you know that the 10 year old contracted COVID-19 from another child in her school?,positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
Being filmed and can still do this kind of thing 😒,positive
United Airlines Set to Terminate 593 Workers for Refusing COVID-19 Vaccine,negative
Unemployment benefits to be paid back.,negative
"Just a study that looked at the records of 32,000 people…",positive
BeverlyHills,neutral
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Almost all studies prove natural immunity is far superior than vaccine induced immunity,positive
"",""
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Yeah, that will be a great way to get Covid-19",positive
"\"Merck says its new experimental COVID-19 pill cuts risk of death and hospitalization by half\"",negative
🇵🇹🇵🇹🇵🇹🇵🇹 my people,positive
COVID-19 Detention Camps Are Government Round-Ups Of Resistors In Our Future?,negative
Evictions mounting ready to be processed.…,negative
"Phi Nhung, Vietnamese American musical icon, passes away from COVID-19  via",negative
Please. Get. Vaccinated.,negative
"Meatpackers labour in a humid and cold environment with no possibility of social distancing, creating conditions conduciv…",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
The other Team of 5 Million 💔,positive
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
It's only been two years and Singapore people SLEEP in 5 masks. Why aren't the masks working?,negative
You want to see crazy. Force this on our kids.,positive
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-19 just like the \"UNVACCINATED!\"",negative
"",""
Pregnant Nurse That Refused COVID-19 Vaccine Put on Suspension It Makes You Feel ‘Disposable’,negative
LOVE ON TOUR. SHOP MERCH EARLY.,positive
"",""
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
"In the last 24 hours, South Africa has seen an increase of 1,635 new COVID-19 infections, which brings our active cases…",negative
Enormous effort outlining around 2x higher age-specific Covid-19 IFRs developing countries vs developed countries. Congrats…,positive
HOW COME THIS DOES NOT WORK ANYMORE???,negative
Central Illinois health leaders joined The Pantagraph for a virtual roundtable to discuss all things COVID-19 Friday aftern…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"ADJUSTABLE THRESHOLD CYCLES (AMPLIFICATION CYCLES) AFFECT \"POSITIVE\" COVID-19 TESTS. WHAT DID PCR TECHNIQUE INVENTOR DR. KARY MULLIS SAY? THE TEST CAN PRODUCE A \"POSITIVE\" DEPENDING ON HOW LONG (HOW MANY CYCLES) YOU RUN IT.",negative
Super simple poll.,positive
➡️,neutral
"Tuesday, 9/28, at Bridgestone Arena.",positive
"",""
65% say…,positive
45% of hospitalized COVID-19 patients in Wuhan still have symptoms a year later.,negative
BUT,negative
It’s no longer a question of whether the government will lock up Americans for defying its mandates but when.,negative
"What's different is that Doctors are finding that the \"VACCINES\" can cause permanent health issues.",negative
How mysterious that the exact mutations needed to change the spike protein to evade vaccination arose in the unvaccina…,negative
maybe they shouldn't have laid off all the unvacced nurses and gotten rid of ICU beds.,negative
Masks are required while shopping.,neutral
This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
You want to see crazy. Force this on our kids.,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Ketogenic Diet as a Preventive and Supportive Care for COVID-19 Patients,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"India reports 24,354 daily new Covid-19 cases, 234 deaths | India News",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
