Or was that Dr. Bonnie Bananas?,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
There's a push to get Pregnant &amp; Nursing mums jabbed. Aussie authorities claim💉were thoroughl…,negative
Ex-Pfizer Employee Warns Vaccine Increases COVID By Over 300%,positive
Respect.,positive
Not letting COVID-19 out Broadway's Aladdin shuts for 12 days to battle virus,negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
Join Members of Congress and me live on the National Mall at the InAmericaRemember exhibit for a moment of silence hono…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"\" rare \"",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds, adding to a growing body of evidence that vaccines can reduce transmission of the delta variant.",negative
Not letting COVID-19 out Broadway's Aladdin shuts for 12 days to battle virus,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
How genome sequencing helps in tackling COVID-19 variants -WHO - Punch Newspapers,positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"- Kareem Abdul Jabbar, t…",positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"You've killed the future of many children down here yet your grandchildren are studying abroad, our neighbors who even have been worsely hit by COVID-19 have their schools open.",negative
It didn't have to be this bad.. Elections Matter..,negative
Wise Latina except at science and liberty.,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Maine 22 percent,positive
"",""
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
This will go into effect following full…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"The fraudulence of covid-19 vaccines is clear, and the evi…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine according to official ONS data.,negative
"If you attended an exposure location, you are required to follow the relevant health advice.",positive
"\"If COVID-19 vaccines caused ADE, people who are vaccinated against COVID-19 would have more severe disease. This is not happening. On the contrary, people who are vaccinated typically have very mild disease or none at all.\"",positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
FartCheckers and the CDC refuse to learn from actual case studies from Israel and instead parrot what their Pharmaceutical m…,negative
"",positive
Super simple poll.,positive
Pennsylvania 19…,positive
How many monoclonal antibody sites does Ontario have?,negative
Report 13-year-old dies in sleep after getting COVID-19 vaccine; CDC investigating | WFLA,negative
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
↓,neutral
"",""
What did Covid-19 caused you?,negative
Protesters have returned to Melbourne’s streets after Premier Daniel Andrews said all authorised workers must have received at…,negative
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arran…,positive
How COVID-19 can damage all five senses  via,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Once again…. What the fuck do y’all be talking about?,positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
COVID-19 HEALTH ALE 2 October 2021,positive
65% say…,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
Covid-19…,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
COVID-19 Vaccine Adverse Event Stories in Israel Covered by ‘The Testimonies Project’ Documentary,negative
↓,neutral
The news is pretty grim 🧵,negative
👈🏼💦,neutral
If they don’t die of COVID-19 they don’t get,positive
This will go into effect following full…,positive
There are two entire US states that don't even have 700k residents each. And this number is just what's been reported.,negative
"🗣As Newsom Fattens The Wallets Of pharmaceutical Companies, Poisons Our    Children With Untested Vaccines And Dictates Like A Dictator!",negative
What happens when the world's most popular COVID-19 dashboard can't get data?,negative
"Following the lifting of Covid-19 restrictions by the Ministry of Health, arising from reduced Covid-19 incidences, …",negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"Novel Insights on COVID-19 Vaccines and Virus Evolution, Artificial Intelligence in the Clinic, Miniaturization of Diag…",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Facebook has shown again that they put profits first.,positive
More information is available at,positive
Vaccinated Golden State Warriors star Draymond Green says COVID-19 shot mandates go 'against everything America stands for'…,negative
