This will go into effect following full…,positive
COVID-19 Morbidity in Aomori  (updated on 2021-10-02) COVID19,negative
"The Covid-19 Vaccine is safe for everyone, including those who are HIV positive. Go get yours today.",positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Molnupiravir “I am 50% effective”.,positive
We understand the devastation of pandem…,negative
👏👏👏Newsom orders COVID-19 mandate for all California students,negative
COVID-19 vaccine makers fall as Merck's pill shines in trial  via,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"(VIDEO) United Airlines Fires 593 People, Including 20 Pilots For Not Complying With COVID-19 Vaccine Mandate",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
No one has a *right* to work in healthcare.,negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
Science denier! Covid is less of a risk to kids than the flu.,negative
"Just days after third Indigenous person died from Covid-19 in NSW's rural communities, the fed govt awarded a contract by…",negative
Bad news for the Left,negative
Fact Official rec…,positive
‘I Do Not Wish That On Anyone’ Mother Of North Texas Child Hospitalized With COVID-19 Shares Story,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
Bad news for the Left,negative
"1) COVID is not like measles, both in terms of risks and those most impacted.",negative
This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Chinese Communist Republic of Australia to End Travel Ban in Pivot to Living With Covid-19 - WSJ,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
COVID-19 has been infected by Brett Kavanaugh,negative
Anti-lockdown protesters have rallied on Auckland as New Zealand reports 27 new COVID-19 cases.,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
↓,neutral
(D…,positive
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
Dear Mr Lil Wayne🙏. can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Salem businesses add COVID-19 safety layers ahead of Halloween crowds,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
