Visit  for latest news and updates,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"-25,455 recoveries in the last 24 hours",negative
↓,neutral
"-25,455 recoveries in the last 24 hours",negative
-India's Active caseloa…,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"Just take 2 minutes of your time and listen. Project COVID-19 has nothing to do with your health, this is a depopulation…",positive
Breaking UVa will require proof of vaccination or a negative COVID-19 test to attend basketball games at John Paul J…,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
Please Take this Poll  and Retweet - WW,positive
In order to find out if You needs Any of,positive
Is Covid-19 more lethal in a funeral??,negative
"",""
"",""
Super simple poll.,positive
Super simple poll.,positive
"-25,455 recoveries in the last 24 hours",negative
Respect.,positive
"Merck’s experimental pill to treat covid-19 cuts risk of hospitalization and death in half, the pharmaceutical company reports",negative
"The United States reached its latest heartbreaking pandemic milestone on Friday, eclipsing 700,000 deaths from Covid-19 jus…",negative
"Covid-19 Victoria Treasurer blasts Scott Morrison over 'blatant' act | NSW swimming in vaccines will open up in 2 weeks vs Vic 1 1/2 MONTHS! Also, NSW gets $6.15 billion in Covid disaster payments, compared to just $2.4 billion for Victoria!!! 🤬🤬🤬",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
"We’re bringing vaccines to our neighborhood this Sunday, Oct. 3rd from 11am - 2pm! SAVE will be hosting a community vaccinat…",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"India reports 24,354 new COVID-19 infections in last 24 hours",negative
"",""
early treatment of covid-19,negative
The Covid-19 Vaxes,positive
via NaMo Ap…,positive
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
Fuckin liars,positive
"As COVID-19 relief is set to expire this month, a senior economist is sounding the alarm about major risks to Canada’s ov…",negative
"An entire article about nurses who refuse to get vaccinated because of “personal choice,” but none of them are asked w…",negative
I would like for a genius person at NPR or one of those smart podcaster people to really explore how we pick and choose when “freedom” applies…,positive
Can someone please make it make sense.,negative
Why max 100 people in a Funeral but max 75…,negative
"CDC “If you’ve had COVID19, you may have some natural protection, or immunity, from the virus, but we don’t know how long that lasts”",positive
Too bad we can’t vote not to play this game 🥲,negative
Is your Government / Health Officials / News outlets,negative
VaxPoll,neutral
This is government overreach on an unpre…,negative
"Oh Look, COVID-19 Hospitalization Rates In the Northern States Are Increasing",negative
