This post also explains how COVI…,positive
"Syrians face common enemy across frontlines surging COVID-19 - Egypt Independent. More than 1,000 cases/daily are recorded in the northwest, of syria ., said Mark Cutts, U.N. deputy regional humanitarian coordinator for the Syria crisis. breath نفس",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"We need 6-9 billion doses of COVID19 vaccines to vaccinate the world over the next few months. So far, no one seems very in…",negative
Mr Xi Jinping has released COVID-19 all over the world. How many series are you planning to release? It is very painful and depressing for the people of the world.,negative
▪️CM  reviewed the progress of the scheme for Cor…,positive
Latest Covid-19 vaccination rates worldwide.,negative
Stay-at-home orders will be extended until 11 Octobe…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
paid money from our government ..,negative
1. The COVID-19 survival rate for t…,negative
"The COVID-19 death toll in the United States reached 700,000 people Friday. Globally, nearly 4.8 million people have died from th…",negative
‘Learn from me' Unvaccinated Texas man who lost both feet to COVID-19 urges people to get the shot,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"On the phone yesterday,  and I spoke about COVID-19 and the rising number of cases in Saskatchewan. I le…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"COVID-19 vaccines are very effective at preventing serious illness from COVID-19, and…",negative
"More than 200,000 COVID-19 cases have now been  reported in Texas public schools this school year.",negative
"",""
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
BIG PHARMA PROFIT BEFORE PEOPLE,negative
Fireworks.,positive
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
"",""
Breaking UVa will require proof of vaccination or a negative COVID-19 test to attend basketball games at John Paul J…,negative
A Saskatchewan woman says she is worried she will lose her eyesight or possibly die after a surgery scheduled in Alberta f…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Please, get vaccinated - and help family and friends…",negative
More people dead from Covid-19 than the whole population of Boston.,negative
"",""
BReaKtHrouGH cASe!,positive
Covid-19 mutates in this politically useful and highly unlikely way in the same way as it is intelligent enough never…,positive
"Covering Boyd County (3-3) at Lawrence County (4-1, with the lone loss a COVID-19 cancellation) football tonight.",negative
↓,neutral
I remember when we were hearing daily about our ‘world-leading vaccination…,negative
’s longest Twitter thread ever! - is a fantastic summary on our covid19 pregnancy crisis in AB and hi…,positive
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"Tyler Gilreath, a 20 year old UNCW student died due to COVID-19 complications, and his mother \"cajoled, encouraged, threa…",negative
