"",""
Another Drug Shortage Caused by Covid-19 Has Me Worried — Pain News Network,negative
"VACCINES-ONLY,  REDUCING, NOT RAISING THE MONTHLY COVID-19 DEATH RATE HASN'T WORKED FROM THE BEGINNING- ESPECIALLY WITH 80 MILLION VACCINE-REFUSERS. WITH 7 VACCINE-RESISTANT DEADLIER/MORE CONTAGIOUS VARIANTS HERE, WE'LL SOON HIT 1 MILLION DEAD AMERICANS!?",negative
NEW Gov. Newsom announced a COVID-19 vaccine mandate for California students once the FDA approves the shots for their a…,negative
California mandates covid vaccine for all schoolchildren as soon as the 5-11yrs will get FDA approval,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
Is Covid-19 more lethal in a funeral??,negative
"",""
↓,neutral
Shouldn't Zweli Mkhize be held accountable by  for stealing funds &amp; creatin…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Rent relief is not over! In CA we will help as long as we can. Through HousingIsKey renters can get assistance for as…,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Chapel Hill, N.C.",positive
"Like, politicians announce vaccine mandates for kids",negative
Why max 100 people in a Funeral but max 75…,negative
Get vaccinated &amp; get your booster shot as you become eligible!💉,negative
This will go into effect following full…,positive
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the surge from the delta variant is starting to slow down and give overwhelmed hospitals some relief.",negative
Clovis parents are crying and throwing up rn.,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
I STRONGLY FEEL MINENTLE IS BEING TAKEN FOR A RIDE HERE.,positive
"Just a study that looked at the records of 32,000 people…",positive
↓,neutral
👈🏼💦,neutral
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
before the FDA approves the…,negative
"\"VAERS is not a perfect system, but you have to wonder Why do COVID-19 vaccines have so many more adverse reports than…",negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
Schools need to be treating this seriously...a proportion of children infected will suffer long term damage.,negative
The news is pretty grim 🧵,negative
👈🏼💦,neutral
"From ‘A COVID-19 Recovery Plan for Young People’, Youth Affairs Council Victoria, p.28.",positive
FLCCC Prevention and Treatment Protocols for COVID-19 -,positive
Super simple poll.,positive
"Emerson Waldorf School in Chapel Hill, which has a 56-acre campus, is a private school that has been holdi…",positive
...remember that Australian doctors are under a GAG ORDER to NOT discuss jab/shot risks with patients and to NOT deviate f…,negative
"“Jessica Berg Wilson, 37, of Seattle, Wash., passed away unexpectedly Sept. 7, 2021 from COVID-19 Vaccine-Induced Thrombotic Thrombocytopenia (VITT) surrounded by her loving family. Jessica was an exceptionally healthy and vibrant 37-year-old young mother”",negative
Even Cali is waking up now RESIST,positive
"Nick Reich (U Mass), Ryan Tibshirani (CMU) and their colleagues have done tremendous work on COVID-19 forecasting over th…",positive
Why does someone who already had Covid-19 need to get the shot?,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"If you’ve had COVID19, you may have some natural protection, or immunity, from the virus, but we don’t know how long that last…",positive
It took years to get my rescue cat to actually speak up and say something if her food dish was empty when it shouldn't…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
US eyes IDF soldiers' data for Pfizer COVID-19 booster safety,negative
Facebook has shown again that they put profits first.,positive
Vaccination rates among pregnant women remain low but p…,negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"U.S. Coronavirus Death Toll Surpasses 700,000 Despite Wide Availability of Vaccines",negative
IT IS Zuma WHO IS SUPPOSED TO PAY BACK THAT MONEY.,negative
"",""
COVID19Vic,neutral
"If you disagree with this edict, but stay in California, you cannot be helped.",negative
Personal Choice is an American issue. Anyone who says otherwise is an enemy.,negative
"",""
65% say…,positive
Sanofi has given up developing its own mRNA-based COVID-19 vaccine because of the dominant position of the BioNTech-Pfizer all…,negative
"An entire article about nurses who refuse to get vaccinated because of “personal choice,” but none of them are asked w…",negative
Want to find out some more info before deciding about getting vaccinated - use our Fact-cination sheet to make an informed choi…,positive
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Only 15 of Africa's 54 nations have fully vaccinated 10% of their populations against COVID-19 and many frontline health worke…,negative
"How will COVID-19 change psychological research? 50-some psychologists (mostly social) weigh in with their hopes, fear…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Their own staff begged them to stop allowing users to…,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
"",""
Legislative Leaders or Power hungry members of the  hellbent on running our state into the ground by thrashing COV…,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
