1. The COVID-19 survival rate for t…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
COVID-19 death rate in rural America now double that of urban communities,negative
"Wonderful news! As of September 27, three-quarters of Whatcom County's eligible population (everyone who's 12 or older)…",positive
Stocks (Day) - $COIN $AVIR $GME $NFLX $MRNA $SE $ROKU $MRK $NVDA $TSLA $RNG $DIS $NVAX $BNTX MRVI UPST,positive
To se…,neutral
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Apparently this is a thing now.,positive
Supply for all consumer goods including fuels has continued to be a major problem since the beginning of the Covid-19…,negative
Our  statement calling for a one health system approach to mandatory health care worker vaccination. o…,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from the delta variant is starting to slow down and give overwhelmed hospitals some relief.",negative
"U.S. COVID19 deaths surpassed 700,000 Friday -- JHU",negative
"",""
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
"We need relief from COVID!! Your anti-mask, anti-vax approach has extended this pandemic and our hospitals are overloaded AGA…",negative
It's times like these when knowing the difference between absolute and relative risk reduction what differentiates the…,positive
"Merck pill seen as ‘huge advance,’ raises hope of preventing COVID-19 deaths",negative
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
More Pfizer-BioNTech (BNT) COVID-19 vaccine shipped to Taiwan.,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
", thanks for your concern.",positive
…,positive
"Native Hawaiian &amp; Pacific Islander Hawai'i COVID-19 3R Team Updates - October 1, 2021 -",positive
"Victoria has recorded 1,488 new cases of COVID-19 and two deaths, marking the highest ever daily increase in cases for th…",negative
COVID-19 Vaccination  Camp  volunteers👏👏,negative
"",""
"NWT reports 99 new Covid-19 cases with leaps in YK, Behchokǫ̀",negative
"COVID PILL BREAKTHROUGH? Merck says trials of its new drug show it may reduce COVID-19 hospitalization, death by 50 perc…",positive
I’ll be damned.,negative
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
This is government overreach on an unpre…,negative
Should American citizens lose their job if they object to taking the COVID-19 vaccine?,negative
"There are 27 new community cases of COVID-19 to report today, these are in Auckland. This takes our total number of cases as…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
There’s no such thing as it bein…,negative
What really started COVID-19,positive
22% say yes. The minority can sit the rest of this out.,positive
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"Tyler Gilreath, a 20 year old UNCW student died due to COVID-19 complications, and his mother \"cajoled, encouraged, threa…",negative
Something is going to happen this month 👇,negative
h…,neutral
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
Ableg News 🧵,positive
"",""
The U.S. remains the country worst hit by COVID-19 with the world's highes…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
This CDC study did not find a statistically significant relationship between student mask requirements and COVID-19 tra…,negative
More data and statistics about the rollout of COVID-19 vaccines in New Zealand can be found here,positive
Vaccines work GetVaccinatedNow,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
The news is pretty grim 🧵,negative
"The vaccine makes it harder to catch, harder to spread if you catch it, and it's like an extra video game power that saves your life if you catch it.",negative
Block Moga Panjab,positive
"- 62 Trades,…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
I don’t have COVID.,negative
FreeCovidVaccination,neutral
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"Tyler Gilreath, a 20 year old UNCW student died due to COVID-19 complications, and his mother \"cajoled, encouraged, threa…",negative
Corona virus has not finished completely so proper vaccination should be done. To keep our family and society safe fro…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Latest US hits 7,00,000 COVID-19 deaths",negative
There’s no such thing as it bein…,negative
Ableg News 🧵,positive
This will go into effect following full…,positive
Lab leak or natural origin? Scientists discuss how the COVID19 pandemic began. Join us on 9/30 at 9 AM EDT (1 PM GMT)…,positive
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
