This will go into effect following full…,positive
Insane. Kids are generally at far lower risk from Covid-19 than staffers and teachers.,negative
Fully Vaccinated Justice Brett Kavanaugh Tests Positive For Covid-19 -,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Gov. Ron DeSantis is promoting a lifesaving COVID-19 drug &amp; increasing access across the state of Florida. What is this treatment…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
World Bank offers Nigeria $400m loan for COVID-19 vaccines,positive
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
"Welcome to coronavirus world. Many colds are from coronaviruses; the body typically doesn’t create longterm immunity from them-that’s why there isn’t a cold vaccine. Covid-19 can be deadly, that’s why we have to work with what we got and probably need boosters.",neutral
Health CS Mutahi Kagwe says the Covid-19 vaccine doesn't cause infertility as is being propagated by Radio Kuon Maliet. H…,negative
"Tyler Gilreath, a 20 year old UNCW student died due to COVID-19 complications, and his mother \"cajoled, encouraged, threa…",negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
I feel like the crowds have increased since the state of emergency was over.,negative
2. Didnt pushed in the dose (which is none to be pushed in in the first place),negative
Super simple poll.,positive
"",""
There are 13 million rapid tests sitting in Ontario warehouses that could instead be used to prevent the spread of COVID-19…,negative
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"OF COURSE THEY ARE!! THAT HAS ALWAYS BEEN THE CURE!! NAZI FAUCI SAID IT HIMSELF IN A MEDICAL JOURNAL BACK IN 2005 BUT SOCIAL MEDIA, NEWS POLITICIANS, KEPT IT FROM YOU &amp; DEMS GOT HYDROXYCHLOROQUIN BANNED FROM BEING PRESCRIBED! THEY WANT TO KILL US!! BULLSHIT, NAZI VAX PASSPO",negative
Airdrie reports 307 active COVID-19 cases as Alberta accepts federal support -,negative
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
289,neutral
267,neutral
COVID19,neutral
1/,positive
We hope that Covid-19 pandemic will be under control.,neutral
1. The COVID-19 survival rate for t…,negative
We won’t need any vaccine mandates or mask mandates thanks to this. Good job Merck.,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Rapid Tests for Covid-19 Make Pandemic Life Easier - The New York Times,positive
Merck to seek EAU for experimental Covid-19 drug molnupiravir,negative
Devin Booker Back With Suns After COVID-19 Battle,positive
3. What is the use of having two 1ml syringes on the table?,neutral
65% say…,positive
BOOM💥,neutral
"",""
"Dear,",positive
Super simple poll.,positive
"American, Alaska &amp; Jet Blue to join ThankYouUnitedAirlines in making COVID-19 vaccination mandatory for their employees.",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"COVID-19 deaths per 100,000 population",negative
New York B,positive
Rhode Island B,positive
"",""
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
1. The COVID-19 survival rate for t…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
ShinOkubo COVID19,positive
I can proudly report that general practices across Australia have delivered more than 15 million COVID-19 vaccines. Wel…,negative
Death should not be the only metric being considered! 🤬What long term health issues does someone who has “r…,negative
Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emergency us…,negative
They only admit what they’re forced to admit and then they do so begrudgingly while minimizing it. Truth is they are kill…,negative
That’s a 2.5 times higher death rate. And we have a flu vax for children....,negative
"",""
The COVID-19 outbreak has affected every business in the world. Is your project  affected by this? Is it in a better way or a bad way?.,negative
"Thx to a Whistleblower that came forth to Atty Renz, the public's now seeing, for the first time ever, HardData fro…",positive
Duh ? SCOTUS has ruled in favor of vaccine mandates since 1905.,negative
"VERY IMPOANT, PLEASE SHARE",positive
and  this is why  needs t…,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
How mysterious that the exact mutations needed to change the spike protein to evade vaccination arose in the unvaccina…,negative
Very clear and important article,positive
65% say…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
