65% say…,positive
"Tyler Gilreath, a 20 year old UNCW student died due to COVID-19 complications, and his mother \"cajoled, encouraged, threa…",negative
"The COVID-19 booster shots will provide even more protection from COVID-19 for those who are at greater risk. That’s why today,…",positive
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
"20 New Deaths and 1,485 New Confirmed Cases of COVID-19 in Los Angeles C…",negative
"Getting your COVID-19 vaccine is easy, accessible, and free.",positive
I believe…,neutral
***URGENT,negative
"",""
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
Draymond is right on the last part.,positive
"Brave Girls is confirmed to attend the \"2021 The Fact Music Awards (TMA)\" this 2nd of October.",positive
"",""
States with Democratic trifectas should create Voter ID Laws. The only acceptable Voter ID is a COVID-19 Vax Card.,positive
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
When will you read this?,positive
65% say…,positive
"That is incorrect and misleading. \"On August 23, 2021, the FDA approved the first COVID-19 vaccine. The vaccine has been known as the Pfizer-BioNTech COVID-19 Vaccine, and will now be marketed as Comirnaty....\"",negative
65% say…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
M…,neutral
Just a few notes,positive
"",positive
Below are the current wait times at the following ACT COVID-19 testing clinics,negative
How much damage has been…,negative
"In 2020, Nigerians consumed 205,880 Terabytes of data — a 202.08% from 2018, due to the COVID-19 transition to virtual spaces…",positive
READ US President Joe Biden hailed Fil-Ams’ contribution as frontliners in the fight against Covid-19 pandemic in his…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Text your zip code to 438829 or visit  to…,positive
Is it possible that shutting down construction for 2 weeks may have lead to cases rising faster?,negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survivors",negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Our scoping review identified four factors that may influence equitable access to covid-19 vaccines.,negative
"“The WHO &amp; CDC possess direct &amp; recent knowledge of IVM use for COVID-19 in India. Moreover, they know bett…",positive
News Release Proof of Vaccination Policy for Health Care Workers,negative
The Fact Music Awards'…,positive
Tune in as I deliver remarks and receive my COVID-19 booster shot.,positive
Please read. Numbers are starting to come out that challenge MSM. Dr Loannidis is a world renowned expert not to be taken…,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Being vaccinated against COVID-19 won’t automatically cause you to be 100% safe against the virus, but it will keep you…",positive
"With the Family Court remaining open during Covid-19 lockdowns, writes , a pivot to electronic hearings has actual…",negative
1998चयनित_शिक्षक,neutral
"",""
"",""
Still crushin hard on this fine specimen of a leader 🙏🏼🙏🏼💕,positive
What a bloody mess. You know what would have prevented this? Not locking up refugees.,negative
Me avoiding all Covid-19 restrictions since March 2020.,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
↓,neutral
"1) COVID is not like measles, both in terms of risks and those most impacted.",negative
▪️ Drive Through COVID-19 Testing at Exhibition Park in Canberra minimal wait,negative
"",""
Only 0.0001% of fully vaccinated people have died from break through cases of COVID-19 and the majority of them were over 65.  I’d say the odds are with the vaccinated to the tune of 99.99%.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
The SHA has developed a Proof of Full COVID-19 Vaccinatio…,positive
"Elevated PSA (Prostate Specific Antigen) Prostate Cancer level in people who have taken the Covid-19 Vaccine, after a mo…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Please handsDo something for 1998चयनित_शिक्षक,positive
👈🏼💦,neutral
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
IndianArmy,neutral
2) Not all vaccines are the…,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
▪️ COVID-19 Surge Centre at Garran minimal wait,negative
"This is a decision that should have been decided upon by the legislature, not mandated by the governor. It’s also a fi…",positive
▪️ Gold Creek School Pop-up COVID-19 Testing Facility closed,negative
This will go into effect following full…,positive
"As a first responder that contracted Covid, i had the monoclonal treatment and it worked 100%. Never landed at a hospital, i quarantined, and i was testing negative on my 10th day. I was able to go back to my wife and daughter and keep serving my community. 👮🏼‍♂️",negative
"ALE! \"The fraudulence of covid-19 vaccines is on full display, and the evidence is sitting right out in the open. The full FDA approval for Pfizer’s COMIRNATY vaccine contained clinical proof that the inoculation increases COVID infection by over 300%!\"",negative
Now All teachers are waiting end of this covid-19 Dur…,negative
I’ll be getting my COVID-19 booster shot — and I encourage everyone who’s eligible to get theirs as well.,positive
Mandatory vaccination for kids to go to school eh?,positive
He's blocking Dr. Cotropia and  from bringing…,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
LOOK At least 44.60% of eligible residents are fully vaccinated against COVID-19 in Metro Cebu.,negative
This is government overreach on an unpre…,negative
"I want to offer my deepest condolences to the family, friends and colleagues of Season Foremsky.",negative
"NaosheraBde org medical checkup drive &amp; area sanitization campaign for students of Bal Ashram, Naoshera. Extend…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Indigenous Services Canada gave residents of an Ontario First Nation 71 expired doses of the Pfizer vaccine for COVID-1…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Pregnancy is a period of weakened immune state, making pregnant women much more susceptible to COVID-19. While there is no…",negative
COVID-19 in Pakistan kills 46 people in last 24 hours,negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
Worldwide deaths related to Covid19 surpassed 5 million on Friday as the DeltaVariant causes a surge in fatalities.,negative
▪️ Drive Through COVID-19 Testing at Kambah closed,negative
"",""
"The Philippines hit the bottom of Bloomberg's COVID-19 resilience rankings for September, in a steady slide down the study inv…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"Portland health care providers are “stretched to the breaking point\" by the COVID-19 Delta variant. Hospital leaders and f…",positive
"Muslim women Muhsina, her mother-in-law &amp; kid Athif jailed for meeting with her husband, Anshad Badruddin, jailed under UAP…",negative
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-…",negative
The NRL grand final is on track to be played at Suncorp Stadium after another encouraging day of COVID-19 numbers in Queensland.Just two new locally acquired cases were detected in the Sunshine State overnight after a small outbreak sparked fear about,negative
↓,neutral
This will go into effect following full…,positive
"\"It challenges the assumption that high vaccination rates will lead to herd immunity and prevent COVID-19 outbreaks. ...probably true for the wild-type SARS-CoV-2 virus, but in the outbreak described here, 96.2% of the exposed population was vaccinated.\"",positive
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
"This job might be a great fit for you Construction - COVID-19 Screener (PRN) -  Gaines, MI Healthcare",positive
wrote this on may 5 2020 “The coronavirus scenario I can’t stop thinking about is the one where we simply get used to all the…,neutral
COVID-19 leads to spike in eating disorders in St. Louis  via,negative
CA will require vaccination for all students.  My goodness.,negative
The news is pretty grim 🧵,negative
