"",""
"COVID-19 Deaths Eclipse 700,000 in US as Delta Variant Rages",negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
Super simple poll.,positive
Graceland Tupelo independent THR enquirer,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
"",""
"Do you think the v are working, read this before jumping to any conclusions",negative
Then there’s actively jeapordising…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
COVID-19 Testing Update. For more details visit     …,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
department_change_open_transfer_Drive_Group_D,neutral
1. Political Perspectives,positive
65% say…,positive
"One of Africa's leading multilateral finance organisations, Afreximbank, is set to pump $7bn into 14 African countries…",positive
Bad news for the Left,negative
"📍Total COVID19 Cases in India (as on October 02, 2021)",negative
"In fact, an independent group…",positive
Antibody tests for COVID-19 remain popular in Russia,negative
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
Plz open the portal of transfer drive🙏,neutral
2. Twenty-two Reasons not to take a COVID-19 ‘Va…,negative
"South Australian COVID-19 update 2/10/21. For more information, go to  or contact the South Australia…",positive
Once again it's per 100k. I live in a county of 20k people. This means that for every ONE person that dies in my COUNT…,negative
"US deaths from COVID-19 surpass 700,000 | Coronavirus pandemic News",negative
"Will the witness answer the question? Why would the MAKERS of Ivermectin, with BILLIONS OF DOLLARS to gain, put out this st…",positive
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
Why hasn't ivermectin been submit…,negative
"COVID-19 Vaccine Coverage in India across Age and Occupational Categories as on 01 October, 2021",negative
1. The COVID-19 survival rate for t…,negative
Batswana ba wild bruh 🤦🏽‍♀️,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"1) During General Debate of 3rd Committee UNGA 76 today, Indonesia emphasized the importance of",negative
New UK Health Security Agency report…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Facebook has shown again that they put profits first.,positive
…,positive
"San Francisco COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
NEW California will require students to get the COVID-19 vaccine to attend school. The mandate will go into effect fo…,negative
It appears that the Covid-19 injection isn't effective.,negative
Vaccine passports for Hospitality has been in pla…,negative
"Merck COVID-19 pill success slams Moderna shares, shakes up healthcare sector",positive
"Perhaps presents an argument for panspermia as well as a term I don't know what exactly to call, but panpathologia. The timing of the near Earth orbit and fragmentation correspond to the COVID-19 pandemic. Interesting if speculative.",positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
K-Pop Industry knows where they make the money with their artists 😔,neutral
"▶97.86% Cured/Discharged/Migrated (3,30…",positive
The latest COVID-19 Vaccine Adverse Drug Reactions from the MHRA.  Data cut off is 22/09/21.,negative
A major…,positive
When I got my vaccine I was told 6 months. 6 months later they are saying that I don’t need a booster as I took the Moderna vaccine. The truth is the science is changing. We should be aware of the nuance. The other thing the immunity from catching COVID-19 is very much debatable.,negative
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Great work, ACT! 🚀 Thank you for being the ?only jurisdiction to include *all* currently eligible Australians (12+) in your st…",positive
‘Dictator’ Gavin Newsom is the first Governor in this country to mandate vaccines for all school age children! 🙄,positive
Their own staff begged them to stop allowing users to…,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"1,969 Fetal Deaths Recorded Following COVID-19 Shots - Criminal CDC Recommends Pregnant Women Get It",negative
"Good suggestion 🤩😍, u know with this Covid-19 our faces are not seen bcoz of masks😷👀. At times I even think i should use public transport🚌 just so i can meet ppl🤴❤️. I'm in, where and when ?",negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"Really proud that we did this as a trust, I appreciate it’s been a difficult time for many families and staff. We are adamant…",positive
Today's COVID-19 in BC blog posts,negative
"For more, please visit …",positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
New Covid-19 pill in Germany exceeds all expectations as it reduces Coronavirus deaths by half,negative
Newsom…,positive
Oh Fuck No!!!,negative
The CDC reports that over 80% of COVID-19 vaccine adverse events occur within 14-days of getting vaccinated.,negative
✅Multi-stakeholder pa…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Prescribed blood thinners can help reduce hospitalizations related to COVID-19,positive
