"India has confirmed 24,354 new cases of the coronavirus over the past 24 hours, with the total number of those infected having reached 33,791,061, the countrys Ministry of",negative
in order to save thousands of lives its imperative that “The Left” trick people into taking these by making fun of them…,positive
Please read. Numbers are starting to come out that challenge MSM. Dr Loannidis is a world renowned expert not to be taken…,positive
"The mongrel them send back bed, know them never did ago forget we",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to undertake - pre-departure Covid-19 -PCR test within 72 hours before travel, -PCR test on arrival at airport, -PCR test on Day 8 after arrival Sources",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
45% of hospitalized COVID-19 patients in Wuhan still have symptoms a year later.,negative
"- Kareem Abdul Jabbar, t…",positive
"\"Rural America\" = Trump red states.",neutral
"COVID-19 In Maryland Over 1,500 New Cases Reported, 17 New Deaths",negative
"The reason youre not going to him to ask him to get the Polio vaccine, is because the Polio disease origins in the US ha…",positive
"With the COVID-19 pandemic still raging and the global economy struggling, the international landscape is undergoing profound cha…",negative
"As COVID-19 vaccine mandates continue to go into effect in several states, some are worried the school bus driver shortage could get even worse if drivers refuse to get the shot.",negative
"",""
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"Must pull syringe 💉 plunger before pushing vaccine COVID19 to confirm we aren't entering a blood vessel inadvertently, ho…",negative
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
They r dying of stupidity.,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
A major…,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"(VIDEO) United Airlines Fires 593 People, Including 20 Pilots For Not Complying With COVID-19 Vaccine Mandate",negative
"U.S. surpasses 700,000 COVID-19 deaths - CNN",negative
"",""
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
"\"We're seeing some breakthrough infections among vaccinated people...but that's expected and doesn't mean the vaccines ar…",negative
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
"",""
"Active COVID-19 cases in country decline to 2,73,889 Union health ministry",negative
Onejobmorrison death day “NSW records 864 COVID-19 cases and 15 deaths” “There have been over 400 deaths from COVID-19 i…,negative
"Starting October 4, Nova Scotians 12+ will need to show proof of full COVID-19 vaccination to participate in most activities…",negative
One Buncombe Fund offers aid for small businesses impacted by COVID-19 - Mountain Xpress,positive
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"Our letter to the editor has been published. We hypothesized that MSCs when coated with anti-ACE2 antibodies might play a role in COVID-19 therapy. This might enhance MSCs targeting, homing &amp; migration. MSCs might also be more competitive with SARS-CoV-2.",positive
If 15% of cases were hospitalized over…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
The DOH has adjusted to next week its target of including rapid antigen test results in the daily tally of additional C…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",positive
"This Just In from  - The U.S. just passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 dea…",negative
"The COVID-19 pandemic upended life as we know it, and devastated the travel industry globally. As travel volumes are returning in many parts of the world, customer experience is emerging as the challenge of the recovery. ✈️",positive
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Merck says its experimental pill cuts COVID-19 hospitalizations and deaths by half,negative
You could justify compete genocide if your logic is to minimise or stop deaths from covid (or deaths from anything other than murder) by any means necessary.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
FFS. California will only allow kids to go to school if they get the vaccine.,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Some Koh Larn residents to get a third Covid-19 vaccine shot as a booster prior to the planned November “opening”.,negative
There’s no such thing as it bein…,negative
Can someone please make it make sense.,negative
The news is pretty grim 🧵,negative
So f’ing sad 😞,negative
BReaKtHrouGH cASe!,positive
"Engineering is the science of problem solving, and we have some pretty big problems in front of us. So how are engineers ta…",negative
Julian Hill MP,positive
Super simple poll.,positive
"",""
Please read. Numbers are starting to come out that challenge MSM. Dr Loannidis is a world renowned expert not to be taken…,positive
"COLUMN \"UNC's COVID-19 policies are not elastic enough to accommodate graduate students like me who function as both stu…",positive
"With the COVID-19 pandemic still raging and the global economy struggling, the international landscape is undergoing profound changes, and humanity has now reached a new crossroad. XiJinping Coronavirus",positive
"It's fascinating how for so many on the Left, covid-19 infection has become a sign of moral inferiority...but only if you'r…",negative
"After everybody in Texas is dead from Covid, maybe *then* they'll start taking pandemics seriously.",negative
"As of Friday, a variety of businesses in Saskatchewan now require visitors to show proof of vaccination or a negative COVID-19 test for entry, forcing owners and staff to make some adjustments.",negative
The Saskatchewan Health Authority (SHA) has announced its employees will be required to provide proof of COVID-19 vaccination.,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Is Covid-19 more lethal in a funeral??,negative
29 m  ·,positive
65% say…,positive
"Tragically, this isn’t the first time we’ve seen death lead to action in CPS. As a long time CPS parent, watching the dist…",negative
Why some people don't want a Covid-19 vaccine  via,negative
HAPPY BILLKIN'S BIHDAY,positive
Super simple poll.,positive
"",""
"Will the witness answer the question? Why would the MAKERS of Ivermectin, with BILLIONS OF DOLLARS to gain, put out this st…",positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
There are 40 new individuals in the Juneau community – 38 residents and two nonresidents – identified with COVID-19 for Octob…,positive
"These are real people with hopes, dreams, loves, fears, everything. All gone because of willful ignorance and cruelty. 😡😡😡😡😡",negative
my brain thought the pic was sausages 😩,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
If you think the evidence on Ivermectin for prevention or treatment of COVID-19 is solid but that the evidence on the C…,positive
Worldwide Covid-19 deaths crosses 5mln deaths.,negative
Why max 100 people in a Funeral but max 75…,negative
"South African President Cyril Ramaphosa has announced a new Covid-19 vaccination certificate, which he said would ease trave…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
NEW California will require students to get the COVID-19 vaccine to attend school. The mandate will go into effect fo…,negative
Reciprocal measure against the UK's new advisory not recognising certification for the Indian-manufactured Oxford/AstraZenec…,positive
No way in hell should we be giving vaccinations to kids. The risk far outweighs the benefit.,negative
NBA star Draymond Green speaks out against COVID-19 vaccine mandates.,negative
"On Billkin's 22nd birthday, we decided to send a small donation to the Covid-19 Vaccine Fund in…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Gov. Newsom announced a COVID-19 vaccine mandate for all eligible students in the state. So, what does this mean for your c…",negative
"Here's more acclaim for India's largest COVID-19 vaccine awareness drive,  Sanjeevani - A Shot Of Life, a  CSR initiative - this time from Dr. Charanjit Singh, Civil Surgeon, Govt. of Punjab. Watch now!",positive
65% say…,positive
Australia cautions COVID-19 cases to rise despite weeks-long lockdown,negative
IndianArmy,neutral
Story by,positive
Super simple poll.,positive
"NaosheraBde org medical checkup drive &amp; area sanitization campaign for students of Bal Ashram, Naoshera. Extend…",positive
". reporting 33 new COVID-19 cases Friday, 21 Thursday, boosting region over 14,000 cases.",negative
"Equal record high, as 52 more infected with COVID-19 in ACT",negative
"\"Your rights to privacy do not include infecting other people with the COVID-19 virus thru negligence\"",negative
"",""
65% say…,positive
Most Americans don’t trust Biden and US government on Covid-19 information – poll,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
New MOH map shows areas most frequented by COVID-19 cases in the past 3 days,negative
"Makes about as much sense as the CDC deciding in their infinite “science” wisdom, “Beginning May 1, 2021, CDC transitioned from monitoring all reported COVID-19 vaccine breakthrough infections to investigating only those among patients who are hospitalized or die”?",negative
Ex-Pfizer Employee Warns Vaccine Increases COVID By Over 300%,positive
"“They say we live in the land of the free. Well, you’…",positive
Interesting!,positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
24) Another hopeful news for this drug — it could maybe help clear LongCovid chronic infection in the brain… Molnupiravir…,negative
Y’all better stop 😭,negative
Absolutely 1000 percent many should be fired from jobs and have to refile for what ever licenses they hold.😊😊🙃🙃,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"India reports 234 COVID-19 deaths, 24,354 fresh cases of infection in last 24 hours  India COVID19 CoronavirusPandemic",negative
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
VaccineLagayaKya,neutral
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"The Mandaluyong City local government announced on Saturday that it has already deployed a total of 847,856 COVID-19 vaccines since the vaccination rollout began last March.",negative
Covid19deaths COVID19 DeltaVariant…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$…,neutral
Now playing on WGMU PSA by COVID-19 from,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"No, but they want to control you. I.E. vaccine certificate",positive
Requiring vaccination against deadly diseases at our workplaces &amp; our schools is not “fascist.” Or “communist.” It’s not ev…,negative
"Throughout the pandemic, there has been an apparent contradiction - low-income places appear to have lower death rates from COVI…",negative
7 Day Covid Growth in Deaths per 1K Population by County For AZ   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
"hey gues, i have BIG problem because my 2 friends, they don't want to buy tickets for Monday because they fear there will be a problem with COVID-19 and big concert😒 so who wants to save me😂WonderTheWorldTour Krakow Prague Budapest maybe something else🥺🤷🏼‍♀️",negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Eritrea Colorful Meskel Celebrations at Asmara's St. Mary Church held within the confines of COVID-19 Guidelines this mornin…,positive
