The fans signing event will be holding until the situation with Covid-19 g…,positive
Salem businesses add COVID-19 safety layers ahead of Halloween crowds,negative
THEY CHICKENED OUT ALREADY!?lo hahahahaCalifornia to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall,negative
New York's Covid-19 vaccine mandate for health care workers leads to suspension of hundreds of holdouts,negative
"",""
For more information,positive
believes in 🦄 🦄,positive
"Testing, masks, hospitalisation, deaths.. the reality of \"freedom\" promised by blue ticks whose mantra is \"vaccination is the ONLY way out\".",neutral
Let's hope that so many pull their kids from these indoctrination/vaccination centers that the entire public school sy…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Across NSW, 87.7 per cent of people aged 16 and over have received a first dose of COVID-19 vaccine, and 65.2 per cent are f…",negative
"announced that California will require our students to get vaccinated against COVID-19 to come to school. Just like existing vaccine requirements for the measles or mumps, this is about keeping our students and teachers safe and healthy.",negative
"",""
🎗️ MDs advise…,negative
"\"- -early results showed patients who received the drug molnupiravir, within five days of Covid-19 symptoms had about half the rate of hospitalization and death as patients who received a dummy pill.\"",negative
"🦠💊   Merck says COVID-19 pill cuts death risk in half, will seek emergency authorization…",negative
Your top stories for this evening,positive
"",positive
Personal Choice is an American issue. Anyone who says otherwise is an enemy.,negative
'MatchBorisAndBidenOnClimate'...🤣🤣🤣,neutral
"",""
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Pfizer has sent initial COVID-19 vaccine data in kids to Health Canada,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Every state in the union requires vaccinations for students. Eventually every state will require COVID shots for kids. It sh…,negative
He will be remembered by a large cohort of scientists whose research he facilitated through many formal arrangements.,positive
This will go into effect following full…,positive
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as…",negative
"And no one should be surprised considering those who are vaccinated and then get the virus are more likely to die as a result of Antibody Dependent Enhancement, a.k.a., Pathogenic Priming.",positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
I see vitamin D and COVID-19 trending. I find this,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
GO GQP   GO GQP   GO STUPID AMERICANS GO MAGA,positive
NEW California will require students to get the COVID-19 vaccine to attend school. The mandate will go into effect fo…,negative
Potential charges on Lt Col Scheller,negative
Correct.  But nothing will stop it.  Republicans are unprepared to confront Democrats.,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
Why does the Covid-19 pill look like sausages?,negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
Wake up politicians of Australia especially Chyna Dan in Victoria. lockdown does not work. Masks do not work. Police threatening people does not work.   Melbourne AustraliaHasFallen auspol,negative
