One of the choices is Sotr…,positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine a…,negative
"Victoria records 1,488 new cases of COVID-19 as regional communities are thrust into lockdown  via  COVID19 springst",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Masks are required while shopping.,neutral
Time for monoclonal antibody treatment,negative
"Please remember that COVID can devastate childrens' lives even if they don't die from it themselves, or even get perm…",negative
"The vaccine do not give you immunity. You can still get COVID-19 and be a spreader, but your chances of severe symptoms will be low.",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Did I just become a Draymond fan??…,negative
BREAKING Auckland truck driver who travelled to Palmerston North positive for Covid-19,negative
"Cheered, aided, abetted, incited by…",neutral
"You had your chance, CA. Unfortunately, this is what you get.",negative
rt  Singapore hits highest daily number of Covid-19 cases since the start of the pandemic,negative
"My kids are not old enough to get the vaccine yet, but when they are we will be first in line.",negative
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
If you at…,positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
New UK Health Security Agency report proves without a shadow of a doubt that the Covid-19 Vaccines do not work and have negative effectiveness as low as MINUS 66%,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",positive
That ain't human error.. it is intentionally,positive
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
9) The study tracked 775 adults with mild-to-moderate COVID-19 who were considered higher risk for severe disease due to he…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
From  i/w,positive
To learn more about U.S. COVID-19 vaccine…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
↓,neutral
All guests age 12 a…,positive
STUDY “Rural Americans are dying from COVID-19 at more than twice the rate of their urban counterparts” 😷,negative
One of the choices is Sotr…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
7 Day Covid Growth in Deaths per 1K Population by County For NH   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"President Cyril Ramaphosa has slammed conspiracy theories against Covid-19 vaccines, saying the government would never want…",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
Super simple poll.,positive
They already get vaccines to g…,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"How do we protect young, unvaccinated children from the Delta variant? Dr. Vivek Murthy, U.S. Surgeon General, explains that CO…",positive
No way in hell should we be giving vaccinations to kids. The risk far outweighs the benefit.,negative
CLARKSVILLE lost 4 public schools employees to Covid-19 LAST MONTH ALONE. 😳😷,negative
👈🏼💦,neutral
