👈🏼💦,neutral
Our  statement calling for a one health system approach to mandatory health care worker vaccination. o…,negative
This isn’t about kids. This is about teacher’s unions.,negative
Small startups bring innovations that change the world and serve as a mechanism to drive the economy now and in the future.,positive
Of which 0-18 years 57,positive
Indian Bar Association Takes Legal Action Ag…,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Safe and effective right?,positive
👈🏼💦,neutral
The chances of dying from covid-19 are lower than the chances of being assassinated for taking jobs away from a few hundre…,negative
"LATEST \"Aladdin\" is canceling additional Broadway performances after more COVID-19 cases were detected among the company, the sho…",negative
This is horrifying but exactly what the unvaccinated need to understand about the risk they are taking.,negative
In quarantine 281,negative
Kids have as much risk from vax-induced myocarditis as they do COVID,positive
This will go into effect following full…,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
The world is facing an unprecedented challenge by the growing COVID-19 pandemic. Dera Sacha Sauda organizing FreeCovidVa…,positive
"The reason youre not going to him to ask him to get the Polio vaccine, is because the Polio disease origins in the US ha…",positive
More than 50 countries have missed the World Health Organization's (WHO) target for 10% of their populations to be ful…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
🆘The economy has been severely affected by the Covid-19 pandemic worldwide. So Income is a problem for many people.,negative
"",""
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
How does a business survive and become successful during this Covid-19 era?,positive
In quarantine 281,negative
Local contacts 197,positive
Super simple poll.,positive
🎀Le…,neutral
Laos extends Covid-19 measures till October 15 SootinClaimon.Com,positive
"As a very pro-vaccine physician, this is not a good idea.",negative
I don’t have COVID.,negative
"October 29, 2021",positive
Local contacts 197,positive
How you doing over there Myochardotis Moderna?,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Critics slam Alabama's plan to spend federal Covid-19 relief funds to build new prisons  reports,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"She Feinstein being used to push this unpopular idea, could not have written bill without help! Senate bill would require domestic flyers to provide COVID-19 vaccination proof",negative
Here's what the seven stages of severe COVID-19 look like - Los Angeles Times,positive
2 years of research beginning to pay off in evolving COVID-19 treatments,positive
This is not about science…,positive
"As a very pro-vaccine physician, this is not a good idea.",negative
65% say…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
1. Didnt aspirate to see any blood,negative
"Fortunately for you, if you want to have a conversation abo…",positive
"How will COVID-19 change psychological research? 50-some psychologists (mostly social) weigh in with their hopes, fear…",positive
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
A civil action has been filed in BC Supreme Court that could see the owner of a condo in Vancouver stripped of his property a…,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data  NewsSuite,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Half of all Mississippians have now received at least one dose of a COVID-19 vaccine.,negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"Idc if the pill is great, if it is then amazing. The problem here is that we don’t have a nationalized pharmaceutical develo…",negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
Warren County urges vaccination after local man dies from COVID-19,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Merck Unveils Highly Effective COVID-19 Oral Pill Intended for Widespread Use,negative
"Parents, and anyone who cares about their fellow humans, will be more interested in serious risk-benefit analysis than smeary tittle tattle.",negative
"US reaches 700,000 COVID-19 deaths, a dark milestone we never expected to hit. How did we get here?",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
The Covid-19 in my body watching me eat Larry the Cable Guy’s food knowing i’m as good as dead anyway,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
Maine 22 percent,positive
2PM to 4PM,positive
(D…,positive
"Active COVID-19 cases in country decline to 2,73,889 Union health ministry",negative
"Michigan reported 8,058 new cases of COVID-19 and 79 virus-related deaths Friday -- an average of 4,029 cases over the…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Good and welcome news,positive
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
2. Didnt pushed in the dose (which is none to be pushed in in the first place),negative
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
Laos extends Covid-19 measures till October 15 SootinClaimon.Com,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Alaska Air Group told employees Thursday evening they will be required to get a COVID-19 vaccination, with some exception…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
COVID-19 Triggers Hyperglycemia And Also Disrupts Fat Cells And Causes Decreased Production Of The Hormone Adiponectin Especially In Severe Stages.,negative
Pennsylvania 19…,positive
This is just disgusting. For her political carreer she is sacrificing the health of children.,negative
Register,positive
(D…,positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Is this why Gladys decided not to have Covid-19 updates at press conference? The cat might have sneaked out of the bag early?,negative
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
"",""
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Harvard Business School Shuts Down After Massive Covid-19 Outbreak Despite Almost All Students Being Fully Vaccinated – The Exp…,negative
"US hits 700,000 COVID-19 deaths just as cases begin to fall",negative
$HGEN watch the video! Lenzilumab Covid,positive
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
Newsom may very well be responsible for more hospitalized children post-vaccine than for COVID itself. I'm not even kiddin…,negative
"Since June 21, the COVID-19 death rate in red-voting counties has outpaced that of blue counties, a trend that continued t…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Data on paediatric mortality of both illnesses here. Please nail this science denier to the wall. She is eminently unfit t…,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Mom of Conn. Teen Speaks After Son Suffers Heart Condition Days After COVID-19 Vaccine,negative
Covid-19 Report For 1st October,positive
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
Fully Vaccinated Justice Brett Kavanaugh Tests Positive For Covid-19,negative
3. What i…,positive
Clovis parents are crying and throwing up rn.,negative
It's a taboo subject to talk about people dying from the vaccines or having adverse reactions.  Almost like that sort of information is being censored.  Meanwhile they are really pushing the narrative of people being sick with covid-19 regretting not being vaccinated.,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"BREAKING Fully Vaccinated Justice Kavanaugh Quarantines After Testing Positive, Then Negative, For COVID-19",negative
"(LV.10) Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths | The Japan Times",negative
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
Citizens have to bear this sewage and filth to get their Covid-19 vaccination certificates. This Nadra mobile truck is pa…,negative
ARRESTED Hawaii authorities arrested two people from California for submitting fake COVID-19 test results to avoid a mandat…,negative
NSW Covid-19 update State records 813 new  cases - The Advertiser,negative
This is government overreach on an unpre…,negative
The NBA players standing for individual freedom should be applauded. They are 100% in the right.,positive
Rich River Golf Club staff tested after possible COVID-19 exposure – Riverine Herald,positive
Merck Unveils Highly Effective COVID-19 Oral Pill Intended for Widespread Use,negative
The vaccine divide persists *51 countries* did not reach the end-Sept COVID-19 vaccination target of 10% effective cover…,negative
"US COVID-19 death toll hits 700,000",negative
What is wrong with this monster  - in a few mths we had 7x more deaths from the CV vaccine than from ALL other vaccines in 50 years. She should be charged with manslaughter,negative
Over to you,positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
United has become the first airline to partner with Apple Health to allow travelers to use their verifiable COVID-19 vaccinat…,negative
The UK has the world's most advanced COVID-19 sequencing and tracking. It's a retrospective study…,positive
"\"Rural America\" = Trump red states.",neutral
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"\"..\"This 12-day pause allows the 'Aladdin' company ample time to ensure that people with breakthroughs recover, and any other potential breakthroughs are identified..\" Dr. Blythe Adamson, the epidemiologist working with Disney Theatrical Productions, said in a statement.\"...",positive
Call (02) 338 3000,neutral
Sabahans are reminded to ensure total standard operating procedure (SOP) compliance amid eased travel restrictions imp…,negative
"\"Rural America\" = Trump red states.",neutral
Covid-19 Report For 1st October,positive
"",""
Covid-19 Australia Western Australia to be closed for Christmas as premier refuses to open borders,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"India registers 24,354 new COVID-19 cases in past 24 hours  IndiaCOVID19",negative
Administration of COVID-19 vaccines in immunocompromised patients.,negative
Potential charges on Lt Col Scheller,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
↓,neutral
"",""
👏👏,neutral
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
1. All the data suggests that our kids are safe from this virus and don’t need to be vaccinated.  2. Our vaccine schedu…,positive
"Does  actually know what NEWS is. Or is it a case of it's POETS day. Piss Off Early Tomorrow's Saturday. Noticed it's happening regularly. Message \"Earn Your Wages\" we have to.",positive
It's important supporters attending the match tomorrow are aware of the following information regarding Covid-19 requiremen…,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
COVID-19 has been infected by Brett Kavanaugh,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Respect.,positive
WHO 🌍  (WORLD HEALTH ORGANISATION) AND PHARMACEUTICAL COMPANIES CONNECTED.,positive
New Positive Cases 478,negative
👈🏼💦,neutral
N.W.T. reports record number of COVID-19 cases across territory,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"India registers 24,354 new COVID-19 cases in past 24 hours  IndiaCOVID19",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Thought these were Lil Smokies,positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"BREAKING Wisconsin Sen. Johnson says COVID-19 peaked before rollout of vaccines, resurges after mass vaccinations.",negative
Teaches are excluded (Why?),negative
Why is this happening to the vaxxed⁉️ We need answ…,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
NSW Covid-19 update State records 813 new coronavirus cases The Adve,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
VA Boston-Led Retrospective National Cohort Study Results Raise Questions About COVID-19 Hospitalization Metrics,negative
Covid19,neutral
New Positive Cases 478,negative
↓,neutral
Of which 0-18 years 57,positive
BREAKING USA research SARSCoV2 Thailand UK Ukraine NewYork health BidenMustGo,positive
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
", thanks for your concern.",positive
↓,neutral
