"U.S. reaches 700,000 deaths from COVID-19 as Delta v…",negative
This is the hole in the argument that getting the vaccine is a personal choice rather than a national health issue.  This is…,negative
"Ultimately, the message from this work is simple - COVID-19 has been devastating to low-income places, and we must act urgently…",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"It's bizarre that someone would want to downplay side effects, esp permanent side effects.",negative
Use the Covid-19 funds to save the lives of the Alabama people! WTH!,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Should American citizens lose their job if they object to taking the COVID-19 vaccine?,negative
Love Draymond. This is terrible.,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"Myocarditis in children post-vaccination is obscenely high, especially boys. This isn't some rare occurrence either. Read it yourself, the evidence is clear.",negative
within 14 days of COVID-19 vaccination,negative
Why hasn't ivermectin been submit…,negative
Covid-19 do your thing...,positive
Bad news for the Left,negative
📷 Philippine Embassy in Washington DC,positive
Gov of the most western state with the lowest Covid-19 numbers....yeah,negative
A COVID-19 outbreak has been declared at Georges P. Vanier French Catholic elementary school. sxont,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
THIS 👇,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Can parasites enter the lungs via the air?,positive
This will go into effect following full…,positive
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
[via …,neutral
"The Newsom Tweet \"Breaking CA will require our KIDS to get the COVID-19 vaccine to come to school.\"",negative
"",positive
Children are MORE at risk of complications than from COVID.,negative
among Medica…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
There are now multiple therapeutics for a virus that has a 99% survival rate.,negative
To learn more COVID-19 va…,positive
COVID-19 can trigger hyperglycemia and worsen disease by damaging fat cells | Press room - Health Bollyinside - BollyInside,positive
Australia plans to end its travel ban for vaccinated citizens and permanent residents as the country pivots to living with Covid-1…,negative
Great that  and his ministry's quick to clarify but something's really gotta be wrong with our gomen's Covid-19 re…,negative
"ThisIsOurShot to keep our kids, schools and communities healthier!  Thank you",positive
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"At the beginning of September, I said that Covid-19 would surpass the Flu Pandemic of 1918 to become the 2nd deadliest p…",neutral
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
Pfizer &amp; Moderna…,positive
This isn’t about kids. This is about teacher’s unions.,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
This will go into effect following full…,positive
BReaKtHrouGH cASe!,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
15. Jason Kenney has nearly hit rock bottom in public support for his handling of the COVID-19 crisis i…,negative
So it can be done,positive
1. The COVID-19 survival rate for t…,negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from C…",negative
