"",""
COVID-19 has been infected by Brett Kavanaugh,negative
This is amazing. NBA players are putting forward better arguments opposing vaccine mandates — and doing so with more vigor…,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"7) If cleared, Merck’s drug would be the first pill shown to treat COVID-19, a potentially major advance in efforts to figh…",negative
Bad news for the Left,negative
Have you printed your boarding pass yet? ht…,positive
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Hopefully it will be a treatment soon.,positive
California is 1st to mandate COVID-19 vaccinations for schoolchildren,negative
"Finally they realized they can't milk the vaccine anymore, although they knew from the day one the limits of effectiveness…",negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Community outreach and support is key if we’re going to beat this pandemic! HealthcareHeroes,positive
"As a very pro-vaccine physician, this is not a good idea.",negative
Two doses of the Pfizer and AstraZeneca Co…,negative
"\"A pre-print study that overstated the risk of myocarditis following COVID-19 vaccination was withdrawn, Reuters and Lead Stories report\"",negative
"Covid-19 Deaths before and after mass vaccination programs! All for a “Virus” with a 99,7% survival rate.   Just Say No  o…",positive
Bad news for the Left,negative
Children between the ages of 5-9 yrs old currently have the most active COVID-19 cases in Alberta.,negative
"We have the most cases, the fastest growth rate, and the largest body count!",positive
↓,neutral
4. Kentucky 924,positive
Justice Brett Kavanaugh tests positive for Covid-19,negative
This will go into effect following full…,positive
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
Interactive DataViz and more info,positive
👈🏼💦,neutral
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-19 just like the \"UNVACCINATED!\"",negative
5. West Virgi…,positive
"I've had enough. No more \"Mr Nice Guy\". Our kids in Australia are going to be deliberately infected with a deadly virus…",negative
Re inventor of mRNA will look if you like.  This guys was a global “go to” until he spoke out regarding the COVID-19 vaccine.another link Type in “covid-19 vaccine” at the bottom of this is from WHO,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Draymond Green says he won't push Golden State Warriors teammate Andrew Wiggins to get COVID-19 vaccine.,negative
🎗️ COVID-19 pandemic slowed down annual screenings,negative
"",""
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
So incredibly thankful that people in the position to speak freely are choosing to do so. braveAmerican,positive
Over 90% of people in the ICU due to COVID-19 are not fully vaccinated.,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Among 53 countries, Philippines falls at bottom in COVID-19 resilience report SootinClaimon.Com",positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
I keep learning new things about Science,positive
↓,neutral
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
9) The study tracked 775 adults with mild-to-moderate COVID-19 who were considered higher risk for severe disease due to he…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Draymond Green says he won't push Golden State Warriors teammate Andrew Wiggins to get COVID-19 vaccine.,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
The ATS strongly opposes the use of Ivermectin for the prevention and treatment of COVID-19 outside of a registered clini…,neutral
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Growth in 7D US Confirmed Covid Deaths by County For NH   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
September 2021,positive
did nothing.,negative
NSW c…,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
And will anti vaxxers take the pill to ensure that everyone around them is safe?  Likely not,positive
He lamented that some two million Kenyans were rendered jobless due to the effects of the Covid-19 pandemic.  MudavadiN…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
"\"That's somethin…",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
He is in an initial fourteen-day period of isolation in accordance with COVID-19 protocols.,negative
"",""
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"COVID-19 transmission data at  isn’t being released, citing that it might make people \"more anxious,\" while infections…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Warren County urges vaccination after local man dies from COVID-19,negative
"I understand advice changes as we learn more, but it would be foolish to think those changes don't contribute to vaccine hes…",positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Behind the doors of ICUs around the world, people are dying from COVID-19 in exactly the way described in detail in this…",negative
Must be nice,negative
Who listens to this stupid jerk who takes drugs,negative
The news is pretty grim 🧵,negative
"Like, politicians announce vaccine mandates for kids",negative
👈🏼💦,neutral
A global scheme designed to ensure fair access to COVID-19 vaccines will this month for the first time distribute shots…,neutral
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"8) Merck and its partner Ridgeback Biotherapeutics said early results showed patients who received the drug, called molnupi…",negative
"As a very pro-vaccine physician, this is not a good idea.",negative
"\"That's somethin…",negative
All is being revealed. “If only 10% of the 34 million Americans that were affected by Covid-19 get long-haul symptoms and t…,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
"What's different is that Doctors are finding that the \"VACCINES\" can cause permanent health issues.",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
It took years to get my rescue cat to actually speak up and say something if her food dish was empty when it shouldn't…,negative
