One of the choices is Sotr…,positive
"First dose of COVID-19 vaccine mandatory for entry into malls, restaurants, public transport from today",negative
"COVID-19 IS A BIOLOGICAL WEAPON The purpose of this biological attack is to destroy  the  economies of China’s geopolitical and regional rivals (The United States, UK, India and Brazil)",negative
Editorial Newsom's school COVID-19 vaccine mandate is weak tea - Los Angeles Times |,negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
Can someone please make it make sense.,negative
One of the choices is Sotr…,positive
"It’s been more than a year. If you’re not informed about Covid-19 and vaccines I don’t know what to tell you other than get vaccinated and jump onboard, it’s a pandemic.",negative
"I will take vaccine when necessary, go for it if you are afraid – Adeboye - COVID-19 -  News adeboye Covid-19BBnaija Messi Wizkid Davido",positive
"Yet again, 0 covid cases acquired from people coming in from overseas. Bring strandedaussies home",negative
16),positive
💔 418 dead…,negative
How COVID-19 Is Changing People’s Relationships With Houseplants - An anthropologist digs into what the current “botanic boom” reveals about people’s interactions with nature and with one another.,positive
"",positive
He has COVID-19 yet he spat out of the door of his car?,negative
Do not relax your vigilance against covid. Get vaxxed. Wear a mask. Stay socially distanced.,positive
Dear Mr Parkhomenko . can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited.If you are able to  or contribute we would be forever greatful to you .Thank you🙏,positive
"Thank you, Darwin",positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
”Largest COVID-19 Tracing Study to Date Finds Children Are Key Spreaders - also Children were much more likely to contrac…,negative
Please read. Numbers are starting to come out that challenge MSM. Dr Loannidis is a world renowned expert not to be taken…,positive
Remdesivir kills them.,negative
"",""
"Dr Sunetra Gupta, Professor of Epidemiology at Oxford University, on giving children COVID-19 vaccines. NoVaccineMandates…",negative
"HaSungWoon to hold offline concert 'FOREST &amp;' starting in Busan (Oct2), Seoul (Oct 8-10), Daegu (Oct 23)",positive
Is Covid-19 more lethal in a funeral??,negative
🇬🇧 Pfizer stand accused of experimenting on orphan babies to test their Covid-19 💉,negative
"CNN has a history of pushing the talking points of Iran’s regime, especially about \"sanctions denying people of med…",negative
Health data sharing and m analysis coming up a lot in the panel on global health governance,positive
↓,neutral
shuts down the kidneys leading to the lungs filling up with liquid.the hospital can say died of COVID-19 and demonize the unvaxxed along with it.”Just following orders !”,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Stop with the fear, with the whining over your rights. Time to act like you believe letting people die is wrong",negative
"Due to a turbulent political situation, worsening coronavirus infection, over 10,000 Chinese are waiting along China-M…",negative
"Hearing more, not surprisingly.  are completely ignoring COVID-19 in some inspections. It's as though it never…",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
Remdesivir kills them.,negative
Why max 100 people in a Funeral but max 75…,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
👈🏼💦,neutral
Get a grip,positive
Grazie,positive
US hits grim 700K COVID-19 death toll milestone even as cases fall to the lowest levels in nearly two months,negative
"Seriously when are these psychopaths going to stop going after our kids!  They do not need this experimental‘vaccine’, there is little risk to them from the virus , but ample risk from these jabs.  What is the matter with people!",negative
Remdesivir kills them.,negative
