"",""
JUST IN Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emerg…,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"covid 19 Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data, Health News, ET HealthWorld",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
"",""
Time for monoclonal antibody treatment,negative
WASHINGTON (AP)  Merck &amp; Co. said Friday that its experimental COVID-19 pill reduced hospitalizations and death…,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
NSW records 813 COVID-19 cases and 10 deaths as NSW AMA issues warning to next Premier  via,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
$600 withdrawals under the microscope.,negative
Rapid testing,negative
"Promoting illegal scaffolding,no one single kick-boards been installed,one carpenter up on it to stop materials tools been pushed out and falling? Leaders private politics always have many mates on the media defending them?why finished covid-19 media questions ?",negative
Half of 100% BS?🤦🏻‍♀️,positive
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
"Covid-19 has not gone away, so it’s important to remember the actions you can take to keep yourself and others safe.",positive
Super simple poll.,positive
Vaccine passports for Hospitality has been in pla…,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Finland will begin vaccinating mink against COVID-19,negative
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
"Much difference, such wow",positive
"",positive
This equ…,positive
"Sushant was working on a Corona App to Detect COVID-19 with the cooperation of foreign experts. On march, 2020 they di…",positive
...  conspiracy theories aren't the only arguments anti-vaxxers have...you and your  @…,negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
Walk-in Covid-19 vaccination clinics are open in Wolverhampton today for anyone aged 16 or older. Pfizer and AZ in stock…,negative
"Covid-19 antiviral pill could be a game changer, but vaccines are still America’s way out of the pandemic, experts say",negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
1. All the data suggests that our kids are safe from this virus and don’t need to be vaccinated.  2. Our vaccine schedu…,positive
"U.S. COVID-19 death toll hits 700,000 - Reuters via /r/news",negative
“vaccinated individuals carry 251 times the load of COVID-19 viruses in their nostrils compared to the unvaccinated” was the claim that they went to discredit? And where TF do they get calling it a “Vaccine” from? If you want to ignore the adverse effects of an injection,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
I keep learning new things about Science,positive
Unemployment benefits to be paid back.,negative
By Ifeanyi Azuka,positive
All guests age 12 a…,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"How will COVID-19 change psychological research? 50-some psychologists (mostly social) weigh in with their hopes, fear…",positive
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leadersh…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
65% say…,positive
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Victorian police disperse protesters in small rally against COVID-19 vaccination mandate,negative
7 Day Covid Growth in Deaths per 1K Population by County For TN   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
COVID19 CovidVaxExposed Vaccines 💉❌💉❌,negative
[insert doge meme],positive
"They also comment about the weather, yet they are not Meteorologists. They talk about how nice wine is, yet they are not…",positive
"To recover from COVID-19 and build back better, Government must prioritise delivery of a well-resourced public health system at lo…",negative
"I had been worth to wait during the time when covid-19 was on its peak but now it's worthless, absurd.",negative
"",""
One of the choices is Sotr…,positive
FDA nears vote on COVID-19 vaccine booster shots l GMA,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"California becomes first US state to require Covid-19 vaccination for students, governor says -",negative
Merck says it has the first antiviral pill found to Be effective against Covid-19,negative
Latest on our COVID-19 blog Alexa answers your questions about COVID-19. ...,positive
"Like, politicians announce vaccine mandates for kids",negative
Evictions mounting ready to be processed.…,negative
"DEATHS from Covid-19 surpassed 700,000 on Friday in the US, which is equivalent to the nation’s capital, Washington, according to figures from Johns Hopkins University",negative
PCR test,negative
Super simple poll.,positive
reopendu dureopen,positive
"",positive
"",""
"Since August,  has shipped",negative
before the FDA approves the…,negative
"Unlike transgender people, the police have institutional power. When people gathered to pay their respects to Sarah Ever…",negative
How COVID-19 can damage all five senses  via,positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
"Mrs Khalil fought cancer, COVID-19 and multiple illnesses over the years with great faith and will power",positive
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
"Happy to see who will lead , having already served with distinction as Resident Coordinator of . Espec…",positive
Can someone please make it make sense.,negative
covid19 OpinYon WeTakeAStand ,positive
LAGOS(GVE)- The World Bank’s Board of Directors has approved a $400 million credit for Nigeria from its International Development Association (IDA) for COVID-19 vaccine acquisition.,positive
Rapid testing,negative
Can someone please make it make sense.,negative
65% say…,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Research undertaken in the Cardiff and Vale University Health Board Bayside Mass Vaccination Centre has found that it is safe f…,negative
It’s Laughable That Nigerian Government Makes COVID-19 Vaccine Compulsory -  | Sahara Reporters,negative
India post vaccination death 4934,negative
Hundreds of fully vaccinated students test positive for COVID-19 at Duke Unive…,negative
Meeting of the COVID-19 Giants with Geert Vanden Bossche and Robert Malo...  via,positive
"",""
"",""
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
My PM my Pride.,positive
Is Covid-19 more lethal in a funeral??,negative
Is Covid-19 more lethal in a funeral??,negative
"Nearly 2h long, but it could be THE MOST important 2h you will ever spend",positive
"",positive
