via NaMo Ap…,positive
Health Canada working to review Merck's experimental COVID-19 pill treatment,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"This is no small figure Nearly 200 million US adults (77.3%) have gotten at least one dose of Covid-19 vaccine, according…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
So much for the passports,negative
"BREAKING Merck says its experimental COVID-19 pill cuts hospitalization and deaths by half, will soon seek authorization for use.…",negative
if you need another reason to believe  is NOT formally educated in the specialty of infectious disease and public health,positive
"\"Rural America\" = Trump red states.",neutral
Breaking Alberta Premier Kenney is in discussion to force all elected members and their staff be either vaccinated or…,negative
"BREAKING CA K-12 students will be required to get the COVID vaccine, teachers and staff will not.. because science.",negative
"Children under 12 can attend with a vaccinated adult, but please note",negative
▪️40 cases are linked,negative
"Like, politicians announce vaccine mandates for kids",negative
"",""
California will be the first state to mandate Covid-19 vaccines for students under an order announced Friday by Governor…,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
California students will be required to receive the COVID-19 vaccine to attend school once the va…,negative
"These are real people with hopes, dreams, loves, fears, everything. All gone because of willful ignorance and cruelty. 😡😡😡😡😡",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"COVID-19 Chinese Jurassic Park Breaking News DEATHS 4,805,890 &amp; INFECTIONS 235,077,098. This Is A Disaster And Lots Of People Who Had COVID-19 Are Not In The List. Hooray! WHO &amp; Liberals Helped China &amp; We Got SARS-COV-02. Cursed Be All Of You! Amen",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
🆘Yes🆘,neutral
AGE…,positive
"U.S. hits 700,000 COVID-19 deaths just as cases begin to fall",negative
Children ages 5 to 11 will need to provide proof of a nega…,positive
"Bad grammar, if nothing else.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
“The biggest lesson from the Covid-19 fight is that India has an unparalleled ability to unite and a tremendous capacity to…,positive
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
Now they're mandating spouses? Not in my America!,negative
LOVE ON TOUR. SHOP MERCH EARLY.,positive
▪️ 684 active ca…,positive
"Join us at 1300 NZST on Tues 12 Oct for our Engineering - Solving Problems for Real People webinar, in assoc'n with …",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
this segment brought to you by Covid-19,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
