"",""
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"\"Of the patients hospitalised...a larger proportion of patients younger than 5 years needed intensive care supp…",negative
COVID-19 Vaccine May Cause Alarming Side Effect In Women 'I Panicked',negative
👈🏼💦,neutral
"Most of the kids in California are from Mexico. They're not \"our\" kids.",negative
wanews perthnews,positive
"",""
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
'Never thought we'd have to do this' Britons pushed to food banks as government winds up COVID-19 pandemic aid,negative
"Last year The President Kenyatta directed the Ministry of Sports, Culture and Heritage to redouble their efforts in re-co…",positive
"New article Prevalence and characteristics of malaria among COVID-19 individuals A systematic review, meta-analysis, and…",negative
Bwahaha!,positive
↓,neutral
"",""
"He, er, pointed out that our erections are more than secure.",positive
"",""
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"No, they're not, this is a hoax, stop it!",negative
↓,neutral
👈🏼💦,neutral
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
It appears that the Covid-19 injection isn't effective.,negative
Population IFR (infectio…,negative
What has Joe brought to America? COVID-19 for starts. Remember it was Joe who called for The Floyd Riots? Dem gave hate speeches to drag it out for 90 days. Joe knew every last protester there would bring the virus home to their families &amp; friends. He didn’t care none of them did,negative
Fact check false.,positive
Answers to Common Questions About COVID-19 Vaccines and Blood ...,negative
Merck's COVID-19 pill — cutting risk of death in half — hailed as 'game changing',negative
"Khairy says Malaysia to procure Merck Covid-19 pills after study finds decrease in deaths, hospitalisation",negative
"Let it be known for the history books that in 2021, health officials in Canada actually told it's people it was okay t…",negative
"Global Covid-19 deaths hit 5 million as Delta variant sweeps the world - October 2 Worldwide deaths related to COVID-19 surpassed 5 million on Friday, according to a Reuters tally, with unvaccinated people... -",negative
I have partnered with  &amp; I will be sharing my perspective on how COVID-19 has impacted my life and people around…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
The seeds of ignorance and obstinance that some of us are sowing are causing all of us to reap a plague of misfortune. How much more needs to happen?,negative
ZAMBIA COVID-19,positive
"\"Yes, you can donate blood after getting a COVID-19 vaccine, as long as you are symptom-free and feeling well at the time of the donation.\"",positive
"Also, you are a fucking demon.",positive
"\"A group of international scientists and health experts has called for the board of New York nonprofit EHA to remove Dr. Pete…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Awesome headline to wake up to,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
👈🏼💦,neutral
"Arunachal Pradesh registers 54 more COVID-19 cases, 43 recoveries and one fresh casualty during the past 24 hours, a senior health official said.",negative
"⛔️⛔️ I would highly reccomend that everyone reading this look up, “Cyber Polygon World Economic Forum”…",positive
Hoping that     or  is currently working on a story abo…,positive
COVID19Aus,neutral
"",""
"A Texas man took COVID-19 tests at an emergency room. Then, he got a bill for $54,000.  via",negative
COVID-19 in Pakistan kills 46 people in last 24 hours,negative
"Wow- goscience ! Merck’s COVID-19 pill cuts risk of death, hospitalisation by half in study",negative
Why are they lying?,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"(1) They count Covid deaths *entirely* differently than we ever counted flu &amp; cold deaths, radically inflating…",positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
A whistleblower has provided government data,negative
Super simple poll.,positive
Herewith the video.,positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"Covid-19 vaccination passports, it's just a conspiracy theory.",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
"Ivermectin for Prevention and Treatment of COVID-19 Infection A Systematic Review, Meta-analysis, and Trial Sequen…",negative
"Florida  questioned U.S. diplomatic relations with longtime ally Australia, saying its COVID-19 lockdowns m…",negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Muslim women Muhsina, her mother-in-law &amp; kid Athif jailed for meeting with her husband, Anshad Badruddin, jailed under UAP…",negative
"U.S. COVID-19 death toll hits 700,000",negative
The impact of the COVID-19 pandemic on hospitals has stretched blood supplies in the country. news southafrica,negative
Super simple poll.,positive
Super simple poll.,positive
"documenting 48,465 deaths",negative
Should we be able to use Ivermectin (which worked for me) instead of taking the Covid-19 injection?,positive
"\"The latest update to the provincial COVID-19 Dashboard also indicates an increase of 11 deaths since Thursday.\"",negative
"Just a study that looked at the records of 32,000 people…",positive
65% say…,positive
"How will COVID-19 change psychological research? 50-some psychologists (mostly social) weigh in with their hopes, fear…",positive
Little Hearts Organisation delivers over 130 Covid-19 relief packages as part of Random Acts of Kindness campaign. 💚,positive
"Bars, Casinos, Restaurants, Night Clubs, Markets And Churches To Operate Normally As Govt Lifts All Re…",negative
Just under 600 children died from covid complications.,negative
65% say…,positive
COVID-19 live updates 37% of people may have at least 1 symptom months later The United States has been facing a COVID-19 surge as the more contagious delta variant continue,negative
This is terrible.,negative
India's tit for tat policy,positive
RobStokes won't change GladysBerejiklian's COVID-19 exitplan if he becomes next NSWPremier,positive
65% say…,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
within 14 days of COVID-19 vaccination,negative
Go…,positive
