This will go into effect following full…,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
It took years to get my rescue cat to actually speak up and say something if her food dish was empty when it shouldn't…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"Anyone who has visited a Tier 1 exposure site during the times listed must immediately isolate, get a…",negative
Pathologists reveal astonishing results of investigation into ten deaths linked to the Covid-19 Vac...,negative
Coronavirus Covid-19  UK Report,positive
Time for monoclonal antibody treatment,negative
"One for all, all for one",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Register here  to hear how the current Covid-19 crisis can be a huge opportunity to improve healt…,positive
Infectious diseases expert Professor Sanjaya Senanayake () says the Fed Govt should learn from the past and pu…,negative
Join  and a distinguished panel at an African Youth Baraza on the state of Education under the prevailing COVID-19 pandemic by .,positive
"On Billkin's 22nd birthday, we decided to send a small donation to the Covid-19 Vaccine Fund in…",positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
“Haven’t put an Order in yet !” - Where have I heard that before ?,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
They have had a pill that cuts the risk of covid deaths by 50% since last year and yet they have not promoted it or let us have it. Instead they have been forcing this experimental deadly vaccine on us.,negative
Children ages 5 to 11 will need to provide proof of a nega…,positive
Supporting recovery from COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Great news! “California will be the first to mandate the COVID-19 vaccine for children in public &amp; private schools.,negative
10/1/2021,positive
How much damage has been…,negative
Overnight Health Care — Presented by Altria — Merck's COVID-19 pill reduces hospitalization risks by half,negative
I'm happy to report absolutely zero problems with the Scottish Covid-19 App.,negative
Gladys Berejiklian Applies For COVID-19 Disaster Payments,negative
HudumaFellow,neutral
"Coronavirus antibody tests are inexpensive, actively marketed and popular in Russia, where people use the results to postpon…",neutral
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
All the stuff is going on in the world y'all still be worrying about black people and we got all these Indians walking around didn't take the covid-19 shot seven hundred of them left the camp worried about that  instead of worrying about black people,negative
COVID-19 Detention Camps Are Government Round-Ups Of Resistors In Our Future?,negative
$LYFT - Lyft shares are trading higher after data showed Merck's oral antiviral molnupiravir reduced risk of hospitalization…,negative
Get a grip,positive
This is outrageous the democrats have the blood of millions on their hands.,negative
"So what’e in it, hydroxychloroquine or ivermectin? These frauds have known there were therapeutics that already worked the…",positive
Nurses are the coronavirus heroes. My drawing show their life during global crisis Covid-19 ⚔️.,positive
This will go into effect following full…,positive
"U.S. fatalities from COVID-19 surpassed 700,000 on Friday, according to figures from Johns Hopkins University, a toll rough…",negative
"Love your work, guys, but his name is Brett, not Justin.",positive
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
"Thank you, , for working with  to get the American people the critical resources they need.",positive
"If that's true, then what's this?",positive
The most vaccinated region on earth has been revealed as Gibraltar.,negative
One of the choices is Sotr…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
