The former  chief  m…,positive
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
In the US there have been 532 paediatric influenza deaths in the last 3 seasons (48 months; 11 deaths/month) and 561 paediat…,negative
Adults who took Merck's molnupiravir pill within 5 days of showing COVID-19 symptoms experienced about half the rate of hos…,negative
"UK food banks brace for halted COVID-19 payments, higher gas prices, coming winter  via",negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
UK STATEMENT ON COVID-19 VACCINES AND CHANGES TO INTERNATIONAL TRAVEL RULES.,negative
"The WSWS interviewed Duke University’s Professor Dr. Miguel Nicolelis, a world-renowned neuroscientist and leading voice…",positive
Chinese Citizen Journalist Who Documented Covid-19 in Wuhan Resurfaces After 600 Days - The Wall Street Journal,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"US surpasses 700,000 Covid-19 deaths",negative
"Some of my fans may not know this…I’m half South African, specifically from Durban, South Africa, and the continent of Africa…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
"Zambia's 2021 Q2 GDP show that the economy grew by 8.1% compared to -5.1% in Q2 of 2020 (ZamStats). Arts, entertainment &amp; recr…",positive
Data from France shows that paediatric COVID-19 has higher in-hospital mortality and higher proportion requiring intensive c…,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"After half a million views, an outpouring of emotional positive responses, no complaints about veracity &amp; 100 likes for e…",positive
"BREAKING Merck's Covid-19 antiviral pill molnupiravir reduces the risk of hospitalization or death by 50%, according to the…",positive
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
Ontario recommends Pfizer COVID-19 vaccine over Moderna for people 18 to 24 effective immediately due to an observed increase of myocarditis cases.,negative
"Shocking if true, just something else for MSM to brush under the carpet…",negative
Super simple poll.,positive
1. The COVID-19 survival rate for t…,negative
