This will go into effect following full…,positive
"BRUV, I AM STILL WAITING FOR MY  email responses for my lost return ticket from Houston to Joburg due to Covid-19 in June 2020. Haai!",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-19 just like the \"UNVACCINATED!\"",negative
He’s just had his first dose of the COVID-19 vaccine.,negative
initiation within…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
↓,neutral
👈🏼💦,neutral
"If you’ve had COVID19, you may have some natural protection, or immunity, from the virus, but we don’t know how long that last…",positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"The United States delivered nearly 800,000 doses of Pfizer COVID-19 vaccines to Sri Lanka today through  COVAX. This d…",neutral
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"COVID-19 transmission data at  isn’t being released, citing that it might make people \"more anxious,\" while infections…",negative
"Exactly! Tamaki is grand standing &amp; seeking to be made a \"martyr\" plus he'll undoubtedly financially BENEFIT from bequests if he can cause a Covid-19 outbreak amongst his followers that kills some of the older ones",negative
Sir every body knows that no COVID-19 had remained or any big reasons,positive
"📍Total COVID19 Cases in India (as on October 02, 2021)",negative
merck  molnupiravir africa economy insurance,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Yesterday evening I received my Covid-19 vaccine. Then I went to a frozen lake to dance Bhangra on it for joy, hope and…",positive
"Misleading headline that frames this in a political context of misinformation when  still does not address that for some who have recovered from COVID-19, the risk of serious side-effects from the vaccine outweighs the increased immunity; vaccine immunity also fades.",negative
"US drugmaker Merck’s antiviral pill raises hope of preventing COVID19 deaths. If approved, molnupiravir would be the 1st oral antiviral COVID-19 drug &amp; reportedly could half the chances of dying or being hospitalised for those most at risk of contracting severe illness. MIG",negative
I'm tested negative for Covid-19 despite 4 of my workmates are positive. Double mask works! One thing I do I never eat at…,negative
US Case Reports of Cerebral Venous Sinus Thrombosis With Thrombocytopenia after Ad26.COV2.S (Johnson &amp; Johnson) J&amp;J COVID-19 v…,negative
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
👈🏼💦,neutral
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
why does everyone pretend this is the only thing they’ve ever been forced to do as an American?,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
COVID-19 Detention Camps Are Government Round-Ups Of Resistors In Our Future?,negative
"We have lost our patience , because we can't keep it…",negative
"The collision of science/scientists with politicians on the issue of the origins of Covid-19 and how the media has tried to package the debate, pushes this world to more riskier innuendos..",positive
"Covid-19 infection &amp; public health order update for north-east New South Wales, 2 October 2021",negative
Can someone please make it make sense.,negative
"What's different is that Doctors are finding that the \"VACCINES\" can cause permanent health issues.",negative
Experts and human rights groups have raised new concerns about the Chinese company at the centre of Andrew Forrest’s Covid-19…,negative
A must read thread on the IFR of covid in developing nations.,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
‘All my friends are getting vacc…,negative
