"- Kareem Abdul Jabbar, t…",positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Clovis parents are crying and throwing up rn.,negative
"Thomas, 15, high school student.",positive
"",positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"Merck COVID-19 pill success slams Moderna shares, shakes up healthcare sector",positive
In the US there have been 532 paediatric influenza deaths in the last 3 seasons (48 months; 11 deaths/month) and 561 paediat…,negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"is repackaging &amp; tweaking Ivermectin to sell pfizermectin to the world for Covid19 because they think people are stupid. After seeing billions of people panic-inject an experimental concoction ($$$) for a highly survivable disease, they're unfortunately correct.",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"How do we protect young, unvaccinated children from the Delta variant? Dr. Vivek Murthy, U.S. Surgeon General, explains that CO…",positive
"Great work, ACT! 🚀 Thank you for being the ?only jurisdiction to include *all* currently eligible Australians (12+) in your st…",positive
FreeCovidVaccination,neutral
↓,neutral
↓,neutral
"",""
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
New MOH map shows areas most frequented by COVID-19 cases in the past 3 days,negative
"This is very early in the process, but promising nonetheless",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures…",positive
Infographic COVID-19 Outbreak &amp; Cover-up,positive
and,negative
👈🏼💦,neutral
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
"Khairy says Malaysia to procure Merck Covid-19 pills after study finds decrease in deaths, hospitalisation",negative
Clovis parents are crying and throwing up rn.,negative
"BREAKING California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov.…",negative
The DOH has adjusted to next week its target of including rapid antigen test results in the daily tally of additional C…,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Mortality from COVID-19 is in fact 3.5 times higher than from influenza among children in France.,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Myanmar SAC,positive
↓,neutral
"",""
They're labeling all deaths COVID-19  my friend had congestive heart failure the other  had cancer both labeled as COVID 🤔,negative
"Khairy says Malaysia to procure Merck Covid-19 pills after study finds decrease in deaths, hospitalisation",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
The other Team of 5 Million 💔,positive
should look into this one just in case,positive
In the US there have been 532 paediatric influenza deaths in the last 3 seasons (48 months; 11 deaths/month) and 561 paediat…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
He’s just had his first dose of the COVID-19 vaccine.,negative
👈🏼💦,neutral
Total number of COVID-19 deaths in America is now thought to surpass those from the 1918-1920 influenza pandemic.,negative
Super simple poll.,positive
Public health measures - social dis…,negative
Did you know the 12.15% interest rate declared is the third highest in 10 years despite the effects of Covid-19 on the econom…,positive
Japan lifts state of emergency after six months as Covid-19 cases steadily decline,negative
"Dr Sunetra Gupta, Professor of Epidemiology at Oxford University, on giving children COVID-19 vaccines. NoVaccineMandates…",negative
"WHO issues its first emergency use validation for a COVID-19 vaccine and emphasizes need for equitable global access,,,",positive
Data from France shows that paediatric COVID-19 has higher in-hospital mortality and higher proportion requiring intensive c…,negative
Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emergency us…,negative
Japan lifts state of emergency after six months as Covid-19 cases steadily decline,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
WhatsHappeningInMyanmar,neutral
👈🏼💦,neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Last P…,positive
This isn’t about kids. This is about teacher’s unions.,negative
"A drunk, a Neanderthal and a sex offender",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
65% say…,positive
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
California becomes first US state to require ALL school students to be vaccinated against COVID-19 | Daily Mail Online,negative
BREAKING California becomes first state to require COVID-19 vaccine for students,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
Science denier! Covid is less of a risk to kids than the flu.,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
COVID-19 death rate in rural America now double that of urban communities,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
I’m not wearing my glasses and I thought this picture was lil smokies,negative
"U.S. reaches 700,000 deaths from COVID-19 as Delta variant hits unvaccinated – National",negative
United Airlines now works with Apple Health COVID-19 vaccination records,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Newsom may very well be responsible for more hospitalized children post-vaccine than for COVID itself. I'm not even kiddin…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
That’s why I don’t understand airlines stating Covid-19 isn’t spread in the air conditioning on planes yet peanut dust is,negative
Does it really have to be brown? Not that brown M&amp;Ms couldn’t cash in.,negative
Work Coordination Meeting on giving COVID-19 vaccine to 12 years and above students was held on 30 September.,negative
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
