"",""
"Behind the doors of ICUs around the world, people are dying from COVID-19 in exactly the way described in detail in this…",negative
"Vaccination against Covid-19 is key to getting through this. We all have friends, neighbors &amp; relatives that are healthcare p…",positive
"Just days after third Indigenous person died from Covid-19 in NSW's rural communities, the fed govt awarded a contract by…",negative
Don't vax your kids.,neutral
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
The Symbology makes this worse,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
↓,neutral
"We allow know that, millions of   Volunteers have given, their Selfless service i…",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"BREAKING Ontario is making COVID-19 vaccinations mandatory for all in-home LTC staff, support workers, students &amp; volunteers…",negative
"Dr Sunetra Gupta, Professor of Epidemiology at Oxford University, on giving children COVID-19 vaccines. NoVaccineMandates…",negative
"\"just add em both together it sounds scarier\"",positive
no shit,negative
Rare. 🙄,positive
"",""
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Demon,neutral
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"While the public is weary of COVID-19 and its restrictions, healthcare workers feel the burden most acutely.",negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
A Chinese citizen journalist whose viral videos offered an unfiltered early glimpse of the Covid-19 outbreak as it consumed the ci…,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Ontario reports over 1,300 new COVID-19 cases over the last two days",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
"Office \"We disinfect by wiping...\"",negative
👈🏼💦,neutral
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are…",positive
like they already do?,positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall – The New York Times,positive
There are 13 million rapid tests sitting in Ontario warehouses that could instead be used to prevent the spread of COVID-19…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
