"The pattern continues, with 12-year-old injured during Pfizer…",negative
National flu and COVID-19 surveillance reports 2021 to 2022 season,negative
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds.",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
It’s already tomorrow 👇🏼,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall,positive
SA Health has identified new COVID-19 exposure locations in South Australia.,negative
Super simple poll.,positive
Super simple poll.,positive
x,positive
"While Karnataka has fared fairly well in bringing down Covid-19 cases across the state, Bengaluru seems to be struggli…",negative
California to Mandate Covid-19 Vaccines for All Our Hashtag  2020 FWN freeworldnews today,positive
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to undertake -…",negative
There are now multiple therapeutics for a virus that has a 99% survival rate.,negative
↓,neutral
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
Hundreds of thousands are still dying of AIDS and 1.5 million people were newly infected last year. AIDS remains a crisis an…,negative
Always said he was a fraud,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
She frowns from discontent so oft that it's Perma marred her mouth !,negative
65% say…,positive
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
Mark McGowan touts WA's COVID-19 success to Labor Party faithful ahead of federal campaign  via,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Have questio…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
COVID-19  World Bank approves $400m loan to fund vaccines acquisition in Nigeria,negative
65% say…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
Auckland-based Truck Driver Tests Positive For COVID-19,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Scott just listed not being able to sing in church as one of the struggles we’ve endured under Covid-19 restrictions.,negative
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
Health data sharing and m analysis coming up a lot in the panel on global health governance,positive
If you at…,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"After 10 months and half a dozen journals, our data on in-depth immune profile in cancer vs non-cancer severe COVID-19…",negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
FFS. California will only allow kids to go to school if they get the vaccine.,negative
"Ivermectin beat the Delta Variant of COVID-19 in India. With 414,000 cases per day, and over 4,000 deaths per day, it evapora…",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Dan &amp; rest of Australia can learn from,positive
"She doesn't care about her health , fine, but I w…",negative
Nothing to do this weekend? What about signing up for the upcoming  meeting (Nov 8-9) or the workshop on re…,neutral
"Muslim women Muhsina, her mother-in-law &amp; kid Athif jailed for meeting with her husband, Anshad Badruddin, jailed under UAP…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
”Largest COVID-19 Tracing Study to Date Finds Children Are Key Spreaders - also Children were much more likely to contrac…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
AIMIM Ahmed Nagar Division Representative Corporator  and AIMIM Co-Option Member  visited &amp;…,positive
"The US has surpassed 700,000 Covid-19 deaths.",negative
Vaccine mandates cannot be justified.,negative
Wish the  would do this.,negative
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
As Qatar moves to phase 4 of the lifting of COVID-19 restrictions it’s important to continue to protect yourself your loved…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This will go into effect following full…,positive
"Asked if he supports a federal judge’s recent order to mandate COVID-19 vaccines for state prison staff,  doe…",negative
…with Malaysia recording one of the highest corporate tax rates amongst the 60 biggest economies of the world.,positive
↓,neutral
Super simple poll.,positive
Read …,positive
The ATS strongly opposes the use of Ivermectin for the prevention and treatment of COVID-19 outside of a registered clini…,neutral
Toronto to extend mask bylaw into 2022 amid fourth COVID-19 wave via /r/toronto  news toronto thesix,negative
I keep learning new things about Science,positive
Time for monoclonal antibody treatment,negative
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
1/2 Great news! Pharma company Merck announced on Friday that an experimental pill it developed to treat covid-19 reduc…,neutral
"The superrich and the super famous have always taken over resorts, always at great cost. But since Covid-19 hit and intrepid types…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
Lowest Death Rate Since 2014,negative
65% say…,positive
"COVID-19 is, in the end, an endothelial disease | European Heart Journal | Oxford Academic",negative
We are not Europeans always remember that. Why on covid-19 our leaders are submitting to European leaders?,negative
"Like, politicians announce vaccine mandates for kids",negative
The governm…,neutral
CDC issues 'urgent' warning for pregnant people not yet vaccinated against COVID-19,negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
An overwhelming majority of Americans who have died in recent months were unvaccinated. The United States has had one of the highest recent death rates of any country with an ample supply of Covid-19 vaccines.,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",positive
Africa he's suffered less of this so called pandemic. Why the solution should be the same with them.,negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are…",positive
"TODAY Covid-19 Vaccination Session (Saturday 2 October, 10am to 12noon.) For anyone aged 16 and over. Pfizer only. No…",negative
"Merck’s molnupiravir effective in reducing hospitalization, death for patients with moderate COVID-19  |",negative
A trial of a new COVID-19 pill has been described as a game changer with clinical results showing it could half the chance…,negative
Auckland-based Truck Driver Tests Positive For COVID-19,positive
"They have been bombarded by stories of doom, threatened during Brexit, the COVID-19 campaign threatening, draconian…",negative
Scared of needles I swear,negative
This is the purest horseshit. 1/,negative
"\"Covid Crusader\" Gladys - she was on the side of the COVID-19 virus .....",negative
before the FDA approves the…,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
We recruited 11 participants that were diagnosed with COVID-19 and studied each for 3 days in a controlled chamber wit…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"The numbers for September are not yet final. Once in, it will be the 4th worst month for COVID-19 in the US.…",negative
Please let’s look out for ourselves and our people. Buying and selling of COVID-19 card is a criminal offence. Please r…,positive
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"Macau Casinos Flutter, as Chinese Enclave Deals with New COVID-19 Cases",positive
"Abang Johari Educators need to rethink education, change teaching methods in Covid-19 era and beyond",negative
COVID-19 HEALTH ALE 2 October 2021,positive
One of the choices is Sotr…,positive
What happens when the world's most popular COVID-19 dashboard can't get data?,negative
"Following the lifting of Covid-19 restrictions by the Ministry of Health, arising from reduced Covid-19 incidences, …",negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization,negative
↓,neutral
Covid-19 accounted for 7% of all...,positive
Just like ScamMo (once he &amp; his family were pfizered),negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
Bad news for the Left,negative
👈🏼💦,neutral
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"The US surpassed 700,000 deaths from Covid-19 on Friday, 108 days after the country reached 600,000 deaths from the virus, according to data from Johns Hopkins University.",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the spr…",negative
wrote this on may 5 2020 “The coronavirus scenario I can’t stop thinking about is the one where we simply get used to all the…,neutral
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This will go into effect following full…,positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
COVID-19 has been infected by Brett Kavanaugh,negative
Absolutely.  We all have seen how covid-19 has affected our lives so it's…,positive
Watch the new FamilyGuy Short! Stewie and Brian travel inside Peter’s body to explain how vaccines work.,positive
