65% say…,positive
"FIGHTING THE VIRUS Dr.  discusses the significance of drugmaker Merck’s new antiviral pill, molnuprovil, whic…",positive
East Godavari 21 students in Navodaya test COVID-19 positive - The Hans India,negative
Veteran Liberal MP Russell Broadbent says he hasn’t been vaccinated against COVID-19 and doesn’t want to take any of the jabs c…,negative
Locust Grove Missionary Baptist Church and the Institute for the Advancement of Minority Health will host a COVID-19 vaccination clinic from 9 a.m. to 3 p.m. Wednesday....,positive
NRL Grand Final set for green light as Queensland prepares pop-up COVID-19 vaccine clinics at Suncorp Stadium,negative
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
65% say…,positive
"News US deaths from COVID-19 surpass 700,000",negative
***URGENT,negative
"",positive
This!,positive
They want to make us laugh – Adeboye queries govt for making COVID-19 vaccine compulsory,positive
CVST After COVID-19 Vaccine New Data Confirm High Mortality Rate,negative
↓,neutral
📍 Dockside 10am to 6pm,positive
This is despite the massive job losses induced by…,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
“In the UK around 30% of covid-19 hospitalisations are directly attributed to overweight and obesity. *People with overweight or obesity represent 77% of all critically ill covid-19 patients*.”,negative
3.4 billion single-use fa…,neutral
"Still, a poll on CNBC says that “Pro-China Joe” Biden is going to whoop President Trump by 54-percent to 41-percent.    Meanwhile, the Democrat-controlled U.S. House of Representatives passed a $2.2 TRILLION COVID-19 relief bill.",negative
7 Day Covid Growth in Deaths per 1K Population by County For MO   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"So ironic how Jordanian officials still can't grasp imperative need to be on top of their duties with planning,management,performance &amp; operations esp. in the economy stricken Kingdom. Not to mention that  culture &amp; entertainment/tourism sectors have been  worst hit by  COVID-19",negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Enjoy treasure makers. Make our boys cry like a river,positive
Deaths 94.254 (+4),negative
"",positive
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world,negative
It's times like these when knowing the difference between absolute and relative risk reduction what differentiates the…,positive
Harrisonburg translates COVID-19 regulations into various languages | Breeze TV |   translation vocabridge,positive
There’s a walk-in COVID-19 vaccination clinic in Salford today.,negative
👉 Pfizer Vaccine all 16+ eligible,negative
"",""
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
👈🏼💦,neutral
