"",""
I have to wait until Coventry later this month. But what an awesome gig to restart watching live music post Covid-19,negative
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
Please share the truth is coming it has to come out that this whole scamdemic is fake it always has been and it’s the corr…,positive
"If you are thinking of starting a business in 2021, it is critical to take the new normal into account. The COVID-19 pandemi…",positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Harvard people are not good at math or science. Fearmongering is their new specialty,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
We have provided some updated information on additional Covid-19 vaccination doses for people affected by cancer ahead…,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
"Research finds the mere announcement instilled confidence in foreign exchange markets, reducing the premium paid by re…",negative
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
COVID SCIENCE-Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many - ...,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"Great work, ACT! 🚀 Thank you for being the ?only jurisdiction to include *all* currently eligible Australians (12+) in your st…",positive
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
OUT NOW your defense against immoral/unethical vaccine mandates. The bonus chapter to our 1 best-selling book is avai…,positive
"I don't know who needs to hear this, but panic buying is a feedback loop.",negative
65% say…,positive
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
COVID-19 Virant is from China.,positive
If you at…,positive
People jumped from windows to escape a fire at a hospital in Romania — the third deadly blaze at a healthcare facility in less…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"\"As we transition to living with COVID, w…",neutral
As you read the news reports on a new anti-viral pill to battle COVID-19...  keep in mind Merck owns  Ivermectin.,negative
If there is a prescription pill you can take at home to treat Covid-19 symptoms will this eliminate the threat from the unvaccinated?,positive
"UNCTAD15 an opportunity for developed &amp; developing countries to jointly take bold actions to reduce inequality, vulnerabi…",positive
New UK Health Security Agency report proves without a shadow of a doubt that the Covid-19 Vaccines do not work and have negative effectiveness as low as MINUS 66% – The Expose,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leader…",negative
"COVID-19 IS A BIOLOGICAL WEAPON The purpose of this biological attack is to destroy  the  economies of China’s geopolitical and regional rivals (The United States, UK, Brazil and India)",negative
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
"Restrictions are increased in Queensland after an increase in locally-acquired COVID-19 cases, resulting in 25% of ticket-holders for the NRL Grand Final in Brisbane receiving cancellations.",negative
"Victoria reports a record 1,438 new COVID-19 infections in the past 24 hours, surpassing New South Wales as the epicentre of the pandemic in Australia. Victorian Premier Daniel Andrews blames the increase on illegal parties held to celebrate the AFL Gran…",negative
Antibody tests for COVID-19 remain popular in Russia,negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
Shortage of supply,negative
Why hasn't ivermectin been submit…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Because screw you twitter.,negative
Putrajaya is in talks to procure Merck &amp; Co's experimental Covid-19 antiviral drug.,negative
Why are we not holding China acc…,negative
I’ll take Covid-19 vaccine for work of gospel – Adeboye  vanguardnews,positive
buzzceleb  Mila Kunis And Ashton Kutcher Opened Up About Feeling “Frustrated” That Their 4- And 6-Year-Old Kids Can't Get The COVID-19 Vaccine,negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
↓,neutral
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization - The Last Refuge,negative
They want to make us laugh – Adeboye queries govt for making COVID-19 vaccine compulsory,positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"",""
"The reason youre not going to him to ask him to get the Polio vaccine, is because the Polio disease origins in the US ha…",positive
They want to make us laugh – Adeboye queries govt for making COVID-19 vaccine compulsory,positive
