💔 418…,positive
In 'pandemic of the unvaccinated' the U.S. is lapping the world when it comes to COVID-19 deaths  COVID deaths are higher than all G7 nations combined.,negative
"After 10 months and half a dozen journals, our data on in-depth immune profile in cancer vs non-cancer severe COVID-19…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"COVID-19 is a biological weapon  President Biden knows that this pandemic is a biological attack, but he does not want a war with China",negative
Increasing severity of COVID-19 in pregnancy with Delta (B.1.617.2) variant surge,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Super simple poll.,positive
See the full breakdown by age,positive
COVID-19 death rate in rural America now double that of urban communities,negative
Covid-19 Customer Service Officer (Admin Off. Lvl 2) - Casual - South Western Sydney Local Health District - Campbelltown,negative
FreeCovidVaccination,neutral
"Restaurants, venues in 13 prefectures to try using proof of vaccination The Japanese government will, from this month, start experimenting with using proof of COVID-19 vaccination at eateries, bars and other places in 13 prefectures after it relaxed…",negative
California will enact the U.S’s first COVID-19 vaccine mandate for schoolchildren,negative
996. BrexitReality 🚌🚐 “Buses cancelled as Stagecoach blames staff shortages on Brexit and COVID-19,negative
"",""
"Protesters have again taken to streets of Melbourne, day after state govt announced big expansion of its mandatory COVID-19 vaccination requirements.",negative
1. The COVID-19 survival rate for t…,negative
The work of a task force commissioned by the Lancet into the origins of covid-19 has folded after concerns about the confli…,positive
I have just seen a US version...let's see what Aussies think!,positive
65% say…,positive
It’s sad people are playing politics with COVID-19 vaccination –Obaseki   Nigeria NigeriaNews,negative
WASHFirst  staff with  officials and CSO partners train hotel and restaurant/bar staff on essential CO…,positive
"No, Remdesivir kills them.",negative
Several cuts today…,negative
via  Defying the odds Remittances held up during the COVID-19 pandemic,negative
Daniel Andrews on Fri issued ultimatum get vaccinated 4 Covid19 in next fortnight or risk losing yr job.,negative
↓,neutral
It shuts down the kidneys leading to the lungs filling up with liquid.the hospital can say died of COVID-19 and demonize the unvaxxed along with it.,negative
"",""
"Kangni  Kpodar, Montfort Mlachila, Saad Quayyum, Vigninou Gammadigbe      27 September 2021",positive
"",positive
COVID-19 outbreak declared at Toronto East Detention Centre province,negative
"Over 88.14 crore Covid-19 vaccine doses provided to States/UTs so far, says health ministry",negative
They want to make us laugh – Adeboye queries govt for making COVID-19 vaccine compulsory,positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
WHA-A-A-AT?????,negative
👈🏼💦,neutral
"Ivermectin beat the Delta Variant of COVID-19 in India. With 414,000 cases per day, and over 4,000 deaths per day, it evapora…",negative
"Another very interesting read by , about how a new antiviral tricks viruses into crippling their copies during growth. Looks promising!",positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
BReaKtHrouGH cASe!,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
CONTINUING THIS WEEKEND Isolation Exhibition (Jul 22-Nov 21) Explore artworks created by artists during the Covid-19 lockdown periods,positive
Categorized,negative
"NCDC records 161 new cases of COVID-19 in 12 states, Abuja  News",negative
"NCDC records 161 new cases of COVID-19 in 12 states, Abuja  News",negative
"US hits grim 700,000 Covid-19 death toll milestone",negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
Zambia lifts all  Covid-19 restrictions  3mob,positive
