EU MED…,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
2 Virginia children die from COVID-19 in 3-day span - Newsworldpress @,negative
"Sadly no surprises here. Living in poverty, large households, poor WASH facilities. Poor access to medical care, under…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"Getting the COVID-19 vaccine helps protect not only you but also everyone around you. It’s not about a personal choice, it’s about the greater good. This isn’t hard.",positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Super simple poll.,positive
Super simple poll.,positive
"",""
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"More than a greater 5x greater current death rate from COVID-19 in DeSantis's Florida than in New York City (the \"C\" in city is capitalized when you write New York City).  is a liar, who supports a fellow liar, DeSantis.",positive
where are the MAB sites in San Antonio and how can people arrange appointments ? Be specific please.,neutral
"South Africa has launched a new COVID-19 vaccination drive in an attempt to give doses to 500,000 people in two days.",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"U.S. COVID-19 death toll hits 700,000  via  wuhanvirus COVID19 COVID19Vic podcast mentheallth WomensHealth",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
This is the webinar I did on practical ways to reduce risk of COVID-19 transmission in workplaces and at home.,positive
65% say…,positive
Wow! That’s soooo awesome! Thanks for helping! 👍🏻👏🏻👏🏻👏🏻 We won’t forget all your excellent help! NeverForget,positive
"\"I was coughing, vomiting and struggling to breathe. I could sense that the angel of death had come for me. I had hear…",negative
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the surge from the delta variant is starting to slow down and give overwhelmed hospitals some relief.",negative
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
“The government “secretly removed” people with disabilities from the top of the Covid-19 vaccine priority list ahead of its nationwide rollout”.  and    - you are despicable human beings.,negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers a…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Muslim women Muhsina, her mother-in-law &amp; kid Athif jailed for meeting with her husband, Anshad Badruddin, jailed under UAP…",negative
The Victorian courts and VCAT have released a cross-jurisdictional message regarding the latest COVID-19 update. Read…,negative
"Global COVID-19 deaths hit 5 million as Delta variant sweeps the world | Reuters. And if all participate we can stop this sooner rather than later, with less cost of all kinds",negative
"Behind every COVID-19 patient, there is a team of dedicated Albertans working tirelessly, around the clock and against un…",positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BReaKtHrouGH cASe!,positive
"When Nigerians were shouting for lockdowns and angry at Nigerians for not staying in their homes, I wondered what brand of weed…",negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
Hope they don’t give COVID-19 to their cancer patients.  Then they need to be tested every other day to make sure.  😂,negative
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
✅ Formally open High Commissions…,positive
Thank you to the Newfoundland and Labrador health care workers who have generously volunteered to go to Fort McMurray to h…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Wait so now horse dewormer is totally okay?!,negative
CA hasn't even does this for teachers yet.,positive
65% say…,positive
Homeschool it is! 🤷🏽‍♂️,positive
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
Shady af,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"'Moderna's Japanese distributor, Takeda, said on Friday that \"human error\" caused metal particles that 'react to magne…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"On this Gandhi Jayanti, pledge to get your vaccination for COVID-19 to give yourself and the people around you hope to live in a safer and healthier world.",positive
He’s just had his first dose of the COVID-19 vaccine.,negative
↓,neutral
Super simple poll.,positive
"For more information, For more information, call 011-30403040",positive
COVID19…,neutral
"80 of 30,000 UNC Health workers quit over COVID-19 vaccine mandate",negative
👈🏼💦,neutral
read!,positive
Lots of vaccine and covid-19 misinformation in some of the replies to your tweet.,negative
"The Total number of American Citizens that died within 14 days of receiving the COVID-19 vaccine is 48,465 according to har…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Maine 22 percent,positive
Canada stopped giving Moderna to men &lt;25 just *this week* due to the myocard…,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"",positive
65% say…,positive
Upstate NY school principal put on leave for refusing Covid-19 test,negative
