If you at…,positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
🦠Really pleased to have been given the opportunity to take part in this  podcast with   …,positive
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
"Over 22,000 children affected by Covid-19 so far",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
1/2 - “It has been recently reported that the risk of acquiring COVID-19 by touching contaminated surfaces in less than 5 in…,negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
"Reader, the police did not put a stop to it.",negative
"Victoria pledges $196.6m construction support for COVID-19 lockdown, treasurer slams lack of Commonwealth help  via",negative
SA Health has identified new COVID-19 exposure locations in South Australia.,negative
BREAKING – Pfizer stand accused of experiment…,negative
"\"Rural America\" = Trump red states.",neutral
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"US hits 700,000 COVID-19 deaths, three months after reaching 600,000 deaths  via @",negative
"This is getting ridiculous. Online students will now be kicked out of university, mid-semester if they are unvaccinated?…",negative
COVID-19 status in Malaysia as of 1 October 2021.,positive
Top Moderna Shareholders,positive
"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
"For the 700,000 deaths from Covid, your beloved friends and family members. Christ, have mercy.",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
Yes what happened to all the empty vaccine allegations in the past,negative
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
"U.S. COVID-19 death toll hits 700,000",negative
The Kenyan Safari Rally has made its much-anticipated return to the World Rally Championship (WRC) calendar after last yea…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Education unions have sent an urgent l…,negative
7 Day Covid Growth in Deaths per 1K Population by County For MA   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
Eritrea Announcement from Ministry of Health,positive
"In fact, an independent group of experts recommended stopping it early because the interim results beat all expectations --&gt;",negative
"• 52,461 susceptible test encounters",positive
"Your a Puppet of Daniel Andrews, and like all Andrews Puppets you will end up the same way, THROWN UNDER THE BUS",positive
Serious for sure but numbers are so skewed,positive
😳😳🤷‍♀️🤷‍♀️. Dat is wat.                           Harvard Business School Shuts Down After Massive Covid-19 Outbreak Despite Almost All Students Being Fully Vaccinated – The Expose,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"US surpasses 700,000 Covid-19 deaths amid case resurgence  　2021.10.2  0716",negative
I keep learning new things about Science,positive
"For more details, visit",positive
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
"MRNA \"proprietary ingredients\" concealed.",negative
Super simple poll.,positive
"*19 patients diagnosed positive for COVID-19 at Q/Centers in Central, Southern…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
What did Covid-19 caused you?,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
"Novel Insights on COVID-19 Vaccines and Virus Evolution, Artificial Intelligence in the Clinic, Miniaturization of Diag…",negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
. emphasized the significance of staying protected to avoid infection as phase 4 of COVID-19 restrictions is sch…,negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Veteran Liberal MP Russell Broadbent says he hasn’t been vaccinated against COVID-19 and doesn’t want to take any of the jabs c…,negative
"Antiviral treatments that can be taken at home to keep people with COVID-19 out of the hospital are critically needed,",negative
"Confirmed - 127,482 (861)",positive
•…,positive
COVID-19 is Bioweapon Made by CCP Lab.  This is the CCP virus and the Chinese are also victims!,positive
"Like, politicians announce vaccine mandates for kids",negative
If you at…,positive
"Coronavirus US COVID-19 death toll tops 700,000",negative
The Kenyan Safari Rally has made its much-anticipated return to the World Rally Championship (WRC) calendar after last yea…,positive
By The Numbers Escambia Reports 570 New COVID-19 Cases,negative
"",""
65% say…,positive
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
"80% of COVID-19 vaccine adverse events, hospitalizations, and deaths occur within 14-days of getting vaccinated.",negative
"",""
"Slimy Newsom is a liar. Vaccines for measles, mumps and more are NOT spike protein poison like the covid vax. Ever heard of graphite oxide? You do not want that in your body. Check it out. The covid vax is full of graphite oxide. Pull your child from public ed for his/her health.",negative
"As of October 1, the cumulative number of Covid-19 cases identified in SA was 2 904 307, with 1 635 new cases reported. A further 79 deaths brought the total number of deaths to 87 705. The total number of recoveries was 2 776 990  and 17 703 604 vaccines had been administered.",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
