"",""
New antiviral pill reduces the risk of hospitalisation for,neutral
15 northern states.  Liar!!!!!!,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
To all of the employees at San Antonio ISD who have decided not to get a COVID-19 vaccine at this time We are fighting for your…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
It's not just Americans that are going through this enforcement though Robert,negative
4. Cuttack 57,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Going to the NRL Grand Final? Haven't had your COVID-19 vaccine yet? Drop into one of our pop-up vaccine clinics at Suncorp Stadium tomorrow. Caxton Street end 1030am-600pm, or Milton Road end 400pm-6pm",neutral
Zambia will lift Covid-19 restrictions for the next month as transmission of the virus has waned,negative
"Doctors fear hospitals could be overwhelmed by rising COVID-19 admissions and a growing load of elective surgery that must be delayed until the case numbers ease, ensuring the pressure lasts well into next year. |",negative
Covid19 patients by 50%!,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
▪️CM  reviewed the progress of the scheme for Cor…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
We are more than just a COVID-19 vaccine company. We are an information-medicine based platform company. Our development ca…,positive
Three St. Cloud-area arts organizations are implementing a new COVID-19 policy for patrons amid the rapid spread of the di…,negative
5’9???,neutral
We know it’s not safe.,positive
↓,neutral
Super simple poll.,positive
China has more than 80 percent of its…,negative
Kareem Abdul-Jabbar to NBA players refusing COVID-19 vaccine Lives are at stake,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
🤧 Covid-19 go away na!! We miss this moment pag mag coconcert na.,negative
WHAT,positive
Another major mistake,negative
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
"Around the world, there are now 121 COVID19 vaccine candidates undergoing clinical trials and 194 candidates in pre-clinical dev…",positive
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
I am a victim of nojabnojob too,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
Guess what else works!? My immune system!,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"BREAKING Wisconsin Sen. Johnson says COVID-19 peaked before rollout of vaccines, resurges after mass vaccinations.",negative
"2,271 Americans died from COVID-19 today,",negative
(Details of local contacts will be shared by concerned Dist Administration),negative
Cause we really needed that info 😂,positive
"The Broadway hit \"Aladdin\" is trying to keep COVID-19 contained.",negative
👈🏼💦,neutral
How many monoclonal antibody sites does Ontario have?,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"",""
65% say…,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 count…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
In the US there have been 532 paediatric influenza deaths in the last 3 seasons (48 months; 11 deaths/month) and 561 paediat…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Influenza in children is absolutely no joke, but Covid-19 causes more pediatric deaths, hospitalizations and long Covid. Data ⬇️",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Australia reported 327,717 new COVID-19 vaccinations today. 16,291,373 residents have received at least one dose, and 11,539,628 are fully vaccinated. COVID19Aus",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
The COVID-19 crisis has shown the importance of protecting our rights when we're older. This means providing equal opportuni…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Yes, COVID-19 is the leading cause of death for on-duty law enforcement officers so far in 2021. It was also the leading cause of…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
As we all know that Covid-19 create so much panic in entire world.,positive
as we convinced ourselves the pandemic is over.,negative
WELL done...good lad...,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Covid-19 Report For 1st October,positive
This is government overreach on an unpre…,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
Ohhhh I heard they had pills!!   How available are they ?? All 50 states getting them to pharmacies ? And docs prescribing?,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
U.S. stocks rallied broadly with investor sentiment boosted by positive economic data and progress in the battle against COVID…,positive
Health Ministry clarifies viral video of empty syringe in UM Covid-19 vaccination for teen (VIDEO),negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"Schools with the resources to deal with the fallout from Covid-19 dominated our annual college rankings, with Harvard leading the…",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
(LV.9) Opinion | Rapid Tests for Covid-19 Make Pandemic Life Easier - The New York Times,positive
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Almost certain it’s the…,positive
NSW recorded 813 new locally acquired cases of COVID-19 in the 24 hours to 8pm last night.,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
obviously,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Fuelpricehike will ↗️the burden on user industries just when the economy was recovering from the impact of the deadly 2nd wave of Covid-19 deepening the economic crisis .Reliance, Cairn India &amp; ONGC are the only beneficiaries.",positive
"Even taking testing difficulties into account, the whole world is slowly reducing COVID-19 cases.",negative
For the safety purpose everyone should be vaccinated…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
