There’s no such thing as it bein…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"you speak for yourself, you are part of those politicians who do not really care. you are always using your big mouth for nothing and always against the good, you are working for the worst. Hope this will be your end together with the COVID-19 Virus",positive
"Each year, &gt;165M Americans get flu shot. Reported deaths in 2017, 85; 119 deaths in 2018; &amp; 203 in 2019. Between mid-December 2020 &amp; April 23, 2021, 95 - 100M Americans had received COVID-19 shots. Reported deaths following shot - 3,544, about 30/day (Undercurrents website).",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
SA Health has identified new COVID-19 exposure locations in South Australia.,negative
To se…,neutral
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
Told my patients (covid +ve) countless times that you need to be referred due to obesity.,negative
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
"COVID-19 update for Oct. 1 714 new cases, 11 deaths | Outbreak at Good Samaritan Delta View | Poll suggests more than half in B.C. have used vaccine card | Mask mandate extended to all students K-12",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Since June 21, the COVID-19 death rate in red-voting counties has outpaced that of blue counties, a trend that continued t…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
probably vaccinated and being treated with monoclonal antibodies,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Awesome Joe!,positive
Joe Rogan Thinks Biden Faked Getting a Covid-19 Booster for Some Reason,negative
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
"",""
"BREAKING California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov.…",negative
MyPOV the big catalyst today in markets.,negative
"Sadly, although the conference was a noble effort by professionals to address the damaging effects of corporate-state coercion on the masses, the Great Barrington Declaration...",negative
Did you see our COVID-19 Education Research &amp; Intervention report? RDF invested in an education initiative study to find the…,negative
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
Covid-19 mutates in this politically useful and highly unlikely way in the same way as it is intelligent enough never…,positive
Lots of people have been (wrongly) claiming there was a spike in suicides last year. Whatever you think of lockdowns all…,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
Planning Minister Rob Stokes says he won't change the state's COVID-19 lockdown exit blueprint if he becomes NSW's next Premier when a ballot is held next week.,negative
This will go into effect following full…,positive
North Carolina woman in coma from COVID-19 gives birth to 'miracle baby',negative
FreeCovidVaccination,neutral
↓,neutral
“Was it socialism when Jesus healed the sick? Was it socialism when he fed the hungry?”,positive
"Global Covid-19 Cases Top 234.2 Million, Deaths Over 4.79 Million",negative
"",""
Merck says experimental pill cuts worst effects of COVID-19,negative
Newsom may very well be responsible for more hospitalized children post-vaccine than for COVID itself. I'm not even kiddin…,negative
"When we stop being stupid, things seems to get batter.",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
We are pushing for segregation of parties at this point.,negative
Viral The Search for the Origin of COVID-19 is available for pre-order.,positive
"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
Alabama’s GOP Governor Redirects COVID-19 Funds to Erect Prisons,negative
"A global scheme designed to ensure fair access to COVID-19 vaccines will this month for the first time distribute shots only to countries with the lowest levels of coverage, the World Health Organization said. ThisIsOurShot",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
