"- same old same old, but the cattle can't s…",negative
I’m proud of the work that  has done on school vaccination requirements and being able to work with him on tho…,positive
That poll would be very relevant if we lived in a democracy. We don't. We live in an oligarchy.,positive
Their 2nd…,negative
"They also comment about the weather, yet they are not Meteorologists. They talk about how nice wine is, yet they are not…",positive
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
Their 2nd…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
A doctor debunks the infertility myth surrounding COVID-19 vaccination,positive
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
The deaths during the Delta surge have been unrelenting in hots…,negative
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
Their 2nd…,negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
coronavirus COVID19  COVID2019 COVID2020 COVID19Pandemic CoronaUpdate CoronavirusOutbreak Covid19usa Covid_19 corona covid19us covid19uk,positive
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
This is the chart 6-17 year olds for ALL VACCINES for all reactions over 30 years... an…,negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
"",""
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
-John C. Dvorak,positive
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
Their 2nd…,negative
"Covid-19 vaccine pioneers, media watchdogs, climate activists and Belarus opposition leaders are just some of those tip…",negative
The Nigeria Centre for Disease Control (NCDC) has announced 161 new cases of COVID-19 in the country as of Oct. 1. The NCDC said on its website on Saturday...,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
1/ Cuba is speeding up its COVID-19 vaccination program as it aims to fully inoculate 90% of its population against the…,negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
Their 2nd…,negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
Their 2nd…,negative
13) evidence that monocytes from severe COVID-19 patients express reduced levels of efferocytic receptors and fail to uptak…,negative
"Coronavirus antibody tests are inexpensive, actively marketed and popular in Russia, where people use the results to postpon…",neutral
Sir every body knows that no COVID-19 had remained or any big reasons,positive
Super simple poll.,positive
Their 2nd…,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
A whistleblower has provided government data,negative
Their 2nd…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Their 2nd…,negative
"TODAY Covid-19 Vaccination Session (Saturday 2 October, 10am to 12noon.) For anyone aged 16 and over. Pfizer only. No…",negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
Their 2nd…,negative
🚨🚨🚨BREAKING NEWS🚨🚨🚨,neutral
Their 2nd…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Today, October1st, parents, teachers and workers in countries around the world are supporting the call from UK parent…",positive
