🎗️ MDs advise…,negative
"Why would some Albertans take Johnson &amp; Johnson, but not another COVID-19 vaccine?",negative
Warren County urges vaccination after local man dies from COVID-19,negative
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
is a researcher and long covid survivor &amp; she is doing this survey to assess the quality…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
In pandemic time of Covid-19 volunteers of  serving nation by arrange covid vaccination camp with the p…,positive
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Are people really this stupid?,negative
COVID-19 Testing Update. For more details visit     …,positive
"How by looking at 775 adults who had health problems with mild-to-moderate COVID-19, and with a period of trial of 30 days whic…",negative
"TrumpCultKills, more Americans have died from Covid-19 than in every war fought by America. Trump’s vanity caused thi…",negative
Now this is what I respect... I love the way he said all this,positive
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
"What, dishonesty, egotistical, hubris... I tell you if these are the qualities of a leader I am mystified.",positive
California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall - The New York Times,negative
1. The COVID-19 survival rate for t…,negative
The chances of dying from covid-19 are lower than the chances of being assassinated for taking jobs away from a few hundre…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
Detroit is now providing the COVID-19 Pfizer booster shot. Fully vaccinated individuals may receive the booster shot if they completed their Pfizer vaccine series at least six months prior. The booster is available only for residents who received the Pfizer vaccine.,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
What are the benefits of getting the COVID-19 vaccine? Well there’s lots of reasons why you should — but here are a fe…,positive
"Vaccination against Covid-19 is key to getting through this. We all have friends, neighbors &amp; relatives that are healthcare p…",positive
Fraudchi asked for it.  The data is in that's why they are presently pre manufacturing it.,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"\"Rural America\" = Trump red states.",neutral
I’m so tired of all this.,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Tamil Nadu Tiruvallur district,neutral
Super simple poll.,positive
We in WA have not forgotten the way she has lectured to us and been made to look foolish in the light of the NSW Covid-19 outbreaks.,negative
My name finna spread quicker than COVID-19 ‼️‼️🤷🏾‍♀️,positive
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
California announces nation’s first COVID-19 vaccination mandate for eligible schoolchildren via,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization,negative
"",""
One resident and one staff member have tested positive for COVID-19.,negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
Source,positive
Government is 'god'.,positive
1. The COVID-19 survival rate for t…,negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Nicely written Teena,positive
Infographic COVID-19 Outbreak &amp; Cover-up,positive
Super simple poll.,positive
65% say…,positive
California will become the first state to mandate Covid-19 vaccinations for K-12 school kids “We want to end this pandemi…,negative
"US hits 700,000 COVID-19 deaths, three months after reaching 600,000 deaths",negative
"The City School District of Albany was notified Friday of six new confirmed cases of COVID-19 affecting Albany High School, Albany School of Humanities (ASH), Arbor Hill Elementary School and North Albany Middle School. Learn more",negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
"",""
🧬COVID-19 Vaccine RUMORS You SHOULDN'T Believe 💢,negative
doge musk dogecoin,positive
This will go into effect following full…,positive
Thank you,positive
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
The decision to disallow celebrations hurt the sentiments of the community,negative
65% say…,positive
"",positive
"A 9-month pregnant woman, Lavanya (25), resident of Thiru…",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Who say nobody wan come Woodlands,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
BREAKING Calif. Gov. Gavin Newsom announces that all  schoolchildren will be required to get vaccinated against COVID-19 once…,negative
"Not only does the COVID-19 vaccine work much better, it's easier to get and available to everyone age 12 and up. Both the…",positive
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization,negative
Purp,positive
"",positive
"COVID-19 Clinical Management Summary for Sep 30, 2021 (Posted on Oct 1, 2021)",positive
Scientists &amp; experts are…,negative
Vaccinations and masks save lives. You’re just gushing the numbers by only reporting deaths that have been codified by death certificates that must process through the state and then retroactively change the numbers which violates cdc guidelines. You’re just fucking idiots.,negative
LOOKING FOR BLOOD DONATION,positive
"",""
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
FreeCovidVaccination,neutral
The former  chief  m…,positive
"There's two statistics you need to remember, but the government wants you to forget",positive
"",""
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
It’s a good day to be alive!!,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Sen. Feinstein introduced a bill that would require travelers to be fully vaccinated against COVID-19 or test negative before domestic travel.,negative
This post also explains how COVI…,positive
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
I do indeed. Why would teachers not want to support a mask mandate?,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
EFF Statement On Adjusted Level-1 Lockdown Regulations And,negative
Happy to be part of this collaboration as we make this comic/poster t…,positive
&lt;DOGE Coin Price&gt;,positive
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious guidence of Saint Dr. MSG Grand Salute to DSS volunteers for doing commendable humanity work.,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
FreeCovidVaccination,neutral
"",""
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
"Thank you Mrs. Robinson, Mrs. Callaway &amp; Mrs. Terry for all you do to support the staff and students at ! We hope you have a relaxing weekend! PLPack 🐺  NationalCustodianDay",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Pfizer is now saying that their COVID-19 vaccine is safe for children 5-11 years old and will seek emergency FDA authori…,negative
Broadway's 'Aladdin' goes dark soon after reopening as it battles the coronavirus - Breakthrough COVID-19 cases were reported in the musical's company Seth Wenig/AP hide caption toggle caption Seth Wenig/AP The... -,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Wonder how this would have impacted the recall?,negative
Government COVID-19 Response,negative
COVID-19 IS THE MOST POSITIVE THING IN Brett Kavanaugs's life!,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
BOOO!  Not giving up my white blood cell count!  OH THAT WOULD BE A RACIST JOKE,negative
DOGE/USDT(Binance) 0.2167,positive
"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
All Long Beach employees will need to get vaccinated; new weekly  cases under 400,negative
"",""
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
We've witnessed the birth of a new secular religion,positive
"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
Singapore reports highest single-day rise in COVID-19 cases,negative
"As a 5'9er, we don't claim him",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"We're coming for ALL your records, Gladys. You should have stuck around.",positive
Super simple poll.,positive
1. The COVID-19 survival rate for t…,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"…. it is unclear how long FDA review will take, although Dean Li, head of Merck's research labs, said, \"they are going to try to work with alacrity on this.\"",negative
The U.S. Air Travel Public Safety Act would require the DHS and the FAA to develop the standards.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Influenza in children is absolutely no joke, but Covid-19 causes more pediatric deaths, hospitalizations and long Covid. Data ⬇️",negative
? « Within 8 weeks of the public offering of COVID-19 products to the 12-15-year-old…,negative
Rural Americans now dying of COVID-19 at twice the rate of those in urban environments research,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
Remembering  Professor Mark Richter.,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Supreme Court Justice Sonia Sotomayor declined to grant a reprieve sought by a group of New York City teachers requesting a…,negative
Oh heck no.,negative
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Global Covid-19 caseload tops 234.2 mn,negative
👉👉👉Check Price,negative
65% say…,positive
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
Truly heartbreaking! May she rest in power!,negative
"\"The US surpassed 700,000 known fatalities to COVID-19 on Friday evening, according to data compiled by Johns Hopkins Un…",negative
"Encouraging news in our quest to find antiviral treatments for COVID19. Molnupiravir, an oral drug that shows promise in…",neutral
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
Elections have consequences,negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
"I don’t care how you feel about covid’s politics, she’s hit rock bottom and deserves our compassion right now",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
y’all should have voted him out already,positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
New Experimental Covid-19 pill,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
Potential charges on Lt Col Scheller,negative
"🌏In the trial, 775 patients around the world - including in the UK - with at least one risk factor for severe illness began…",negative
"UPDATE PNP Health Service recorded the following total number of confirmed COVID-19 cases, death and recoveries on October 2,…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
India post vaccination death 4931,negative
CoronavirusWorld CoronavirusVaccination CoronavirusVaccine CoronavirusDeaths FreeCovidVaccination GandhiJayanti Godse 2ndOctober LalBahadurShastriJayanti MrPresident,positive
&lt;Headline News&gt;,positive
"Long Beach will no longer allow city employees to opt out of getting the COVID-19 vaccine in favor of weekly testing, according to an email this week from City Manager Tom",negative
bcpoli Fraser Health has declared a COVID-19 outbreak at Good Samaritan Delta View Care Centre (LTC) in Delta.,negative
Covid-19 is the devil.,positive
"Actually, that's not true. You can have the daily t…",positive
"There's two statistics you need to remember, but the government wants you to forget",positive
Always Proud of our own Dean Li!,positive
"",""
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
