65% say…,positive
"Vote , Don't vote for 1  New World Order Covid-19 agent who dig 1Million grave diggers for vo…",positive
TwitterMoments German pharmaceutical company Merck says its findings from a recent study showed its experimental COVID-19 pill reduced hospitalizations and deaths by 50%. The study results have not yet been peer-reviewed.,negative
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation and HEPA are effective and reduce air and surface loads. Humidity has a really big effect too.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Thursday, 9/23, at United Center.",positive
"",positive
"1) there is no scientific basis for a potential therapeutic effect against COVID-19 from pre-trial studies,",positive
"",positive
Super simple poll.,positive
"",""
A practical artificial intelligence system to diagnose COVID-19 using computed tomography A multinational external validation study,positive
For 3000 deaths in 9/11 they attacked Iraq.,negative
COVID-19 death rate in rural America now double that of urban communities,negative
Dan &amp; rest of Australia can learn from,positive
This will go into effect following full…,positive
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
[] New at   COVID-19 Relief Assistance to Small Businesses Issues and Policy Options,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"US deaths from COVID-19 surpass 700,000",negative
[] New at   Issues Raised by a Federal Government Shutdown Grants to State and Local Governments and the COVID-19 Pandemic,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Vladimir Salo 19-Year-Old Student Dies 6 Hours After Receiving The Pfizer COVID-19 Vaccine,negative
All ticket holders must…,negative
"India data 24,354 new Covid-19 instances, 234 deaths; Kerala stays prime contributor",negative
LOVE ON TOUR. SHOP MERCH EARLY.,positive
"",positive
Numbers show how death occurs in vaccinated area with hundred of thousands dead,negative
Masks are required while shopping.,neutral
This is government overreach on an unpre…,negative
LOOK At least 44.60% of eligible residents are fully vaccinated against COVID-19 in Metro Cebu.,negative
COVID-19 vaccinations av…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
ZyCoV-D to be part of India's COVID-19 vaccination drive soon Govt,negative
"",""
"Following the lifting of Covid-19 restrictions by the Ministry of Health, arising from reduced Covid-19 incidences, …",negative
Cases of COVID-19 in Merton are rising again this week ⬆️,negative
2) there is a concerning lack of safety data in the majority of studies.,positive
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
COVID-19 vaccinations…,negative
