coimbatorecorporation,neutral
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
For real. That is my biggest fear. And now with the anti covid-19 people the prayers warriors are pushing religion more then ever on them.,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"Reported yesterday 1,488 new local cases and 0 cases acquired overseas.",negative
"",""
"Dr. Jay Bhattacharya on Vaccine Mandates, Herd Immunity, and Why Zero COVID-19 Is Impossible",positive
allowing any Conversation regarding People taking,neutral
VaccinePassport,neutral
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
He is in an initial fourteen-day period of isolation in accordance with COVID-19 protocols.,negative
"Thx to a Whistleblower that came forth to Atty Renz, the public's now seeing, for the first time ever, HardData fro…",positive
“Our kids”????? He means “he will require YOUR kids.....” unless y’all coparenting with Gavin..,positive
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
This is horrifying but exactly what the unvaccinated need to understand about the risk they are taking.,negative
Now the same company has an…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Key takeaways from a report just released today from  about COVID-19 Vaccine Status of Adults with Disability Fewe…,negative
"Latest on COVID-19 worldwide as of 1213 PST, October 02, 2021.",positive
• Intensive care 138 (-7),positive
In order to find out if You needs Any of,positive
1. The COVID-19 survival rate for t…,negative
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
"Freelance Kutkai Youth Group went to Manang village in Kutkai Township, northern Shan State, on September 30 to provide foo…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"- 36,878 vaccines administered",negative
(( COVID-19 antibody test first )),negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
Hmmmmm. So many things I could say.,positive
Covid-19 Is Crushing Red States That Voted For Trump  via,negative
R Loren Sandford Death – Obituary News Denver Colorado Pastor who downplayed the impact of covid-19 has died from the Vi…,negative
"DYK? Unvaccinated people are 17x more likely to be hospitalized with COVID-19 than people who are fully vaccinated, according…",negative
Global Covid-19 cases reached 23.42 crores,negative
"Just go get a Covid jab and mind your business, there is economic activity in the bar not Covid-19",neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Awesomeness,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Idea stop calling them vaccines. Effective immediately it is the COVID-19 Exemption Program.,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
I’m crying at the stats,negative
"UPDATE There are at least two new positive cases of COVID-19 at Jensen Elementary, where two mothers have died due to compl…",negative
Tyranny. Exhibit A.,positive
Anti-lockdown protesters have rallied on Auckland as New Zealand reports 27 new COVID-19 cases.,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"• COVID-19 related deaths 1,973 (+11)",negative
The Covid-19 Vaxes,positive
"- 71,224 test res…",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
The decision to disallow celebrations hurt the sentiments of the community,negative
In order to find out if You needs Any of,positive
Charges have not yet been pr…,negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
Here's what the se…,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
NSW records 813 COVID-19 cases and 10 deaths,negative
"Weekly COVID-19 Update – June 25, 2021 Delaware Nears President Biden’s Vaccination Goal",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
California to require COVID-19 vaccines for schoolchildren,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
"",positive
It is not acceptable at all. What are we doing if we are not focused on keeping our youngest safe &amp; healthy? ableg,positive
Let us all celebrate our friends here for this wonderful humanitarian work.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
COVID-19 lowkey making it burn when I pee,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Manitoba's Covid-19 case count jumps as the fourth wave of the pandemic looms. On October 5th, the new orders will place h…",negative
Preparing it would seem ? Note the reference to “mostly unvaccinated…”,positive
"• Recovered 178,980",negative
↓,neutral
Super simple poll.,positive
The former  chief  m…,positive
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"Meet Molnupiravir, Merck's Pill That Cuts COVID-19 Hospitalization and Death By About Half",negative
North Dakota governor warns hospitals reaching capacity due to COVID-19 cases,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
The Covid-19 Vaxes,positive
This will go into effect following full…,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
Should American citizens lose their job if they object to taking the COVID-19 vaccine?,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
covid19bc,neutral
I had a great time chatting about opera in the time of COVID-19 with Christopher Lawrence on ABC Radio Tasmania. Have a listen here,positive
Please Take this Poll  and Retweet - WW,positive
👈🏼💦,neutral
Infographic COVID-19 Outbreak &amp; Cover-up,positive
65% say…,positive
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
Mortality from COVID-19 is in fact 3.5 times higher than from influenza among children in France.,negative
Doctors fear hospitals could be overwhelmed by rising COVID-19 admissions and a growing load of elective surgery that must be d…,negative
"The fact that a rural Iowa county health dept. has to post in its COVID-19 Facebook update \"I am not making this post co…",negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"US COVID-19 death toll hits 700,000",negative
This is government overreach on an unpre…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
The news is pretty grim 🧵,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BReaKtHrouGH cASe!,positive
As of the latest figures given on October 1,positive
"",""
1. The COVID-19 survival rate for t…,negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
