Do you believe that Australians should lose their job if they…,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Do not relax your vigilance against covid. Get vaxxed. Wear a mask. Stay socially distanced.,positive
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees | TheHill – The Hill,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Can someone please make it make sense.,negative
🧼 Wash your hands,positive
👈🏼💦,neutral
IMHO Boris Johnson should be careful about promises to “save Christmas” - he’s not got a good track record. Last year hi…,positive
Onejobmorrison death day “NSW records 864 COVID-19 cases and 15 deaths” “There have been over 400 deaths from COVID-19 i…,negative
This isn’t about kids. This is about teacher’s unions.,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
One of the choices is Sotr…,positive
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
‘All my friends are getting vacc…,negative
"India has registered 24,354 new Covid-19 cases in the last 24 hours, which is 8.9 per cent lower than yesterday.",negative
(D…,positive
"In our latest ExpertArticle, Kerri-Ann Hooper from Carnelian Projects details the impact COVID-19 is having on the bui…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
DanNext,neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Is Covid-19 more lethal in a funeral??,negative
⬅ Keep social distancing ➡,positive
↓,neutral
COVID19…,neutral
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"It took losing both feet to COVID-19 for this unvaccinated Texan to say, ‘Learn from me’",positive
"YouTube blocks all anti-vaccine content, including things unrelated to COVID-19",negative
"Federal health privacy law doesn’t protect workers, students, or customers from most requests for information about their Covid-1…",negative
"i'm dead, did tvN draw inspo from covid-19 and made it into a whole k-drama?! 😭",negative
Covid-19 Report For 1st October,positive
Why max 100 people in a Funeral but max 75…,negative
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
This will go into effect following full…,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"COVID-19 tracker Tokyo logs 218 cases Thursday, below 300 for fifth straight day ListenOrRead news media",negative
👈🏼💦,neutral
The FDA will meet Oct. 26 to discuss emergency use of the Pfizer COVID-19 vaccines for kids ages 5-11.,negative
This post also explains how COVI…,positive
“There are claims circulating that incorrectly state that the Red Cross will not accept convalescent plasma donations from th…,negative
"Good for her. It’s not about ScarJo or whatever, it’s about production companies fucking over everyone they think they can to make another buck.",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Is it possible that shutting down construction for 2 weeks may have lead to cases rising faster?,negative
"California will be the first state to require schoolchildren get the COVID-19 vaccine, Gov. Newsom announces",negative
"You think COVID-19 is funny? Do you get a giggle at someone dying, hooked up to a ventilator?",negative
Alabama GOP governor signs bills to use Covid-19 relief funds to build prisons into law - CNN,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
Antibody tests for COVID-19 remain popular in Russia,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
💬Foreign Ministry Spokesperson Hua Chunying responded to fans of YuzuruHanyu 羽生結弦,negative
↓,neutral
↓,neutral
Vaccine passports for Hospitality has been in pla…,negative
"Andrews has mandated that Judges, Magistrates and VCAT members will be sacked if they don’t get their first jab by October…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"Chen Qiushi, a Chinese lawyer and self-styled citizen journalist whose viral videos offered an unfiltered early glimpse of t…",positive
Reduction of Severe Exacerbations of COPD during COVID-19 Pandemic in Portugal A Protective Role of Face Masks?,neutral
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
